Title:               Number of Private Establishments for All Industries in Wake County, NC
Series ID:           ENU3718320510
Source:              U.S. Bureau of Labor Statistics, Federal Reserve Bank of St. Louis
Release:             Quarterly Census of Employment and Wages
Seasonal Adjustment: Not Seasonally Adjusted
Frequency:           Quarterly
Units:               Establishments
Date Range:          1990-01-01 to 2018-01-01
Last Updated:        2018-09-05 11:22 AM CDT
Notes:               An establishment is an economic unit, such as a factory, mine, store,
                     or office that produces goods or services. It generally is at a single
                     location and is engaged predominantly in one type of economic
                     activity. Where a single location encompasses two or more distinct
                     activities, these are treated as separate establishments, if separate
                     payroll records are available, and the various activities are
                     classified under different industry codes.

DATE        VALUE
1990-01-01  11071
1990-04-01  11368
1990-07-01  11587
1990-10-01  11880
1991-01-01  12009
1991-04-01  12116
1991-07-01  12338
1991-10-01  12650
1992-01-01  12661
1992-04-01  12805
1992-07-01  13020
1992-10-01  13180
1993-01-01  13327
1993-04-01  13551
1993-07-01  13791
1993-10-01  14124
1994-01-01  14144
1994-04-01  14451
1994-07-01  14701
1994-10-01  15054
1995-01-01  15105
1995-04-01  15367
1995-07-01  15633
1995-10-01  16001
1996-01-01  16194
1996-04-01  16445
1996-07-01  16746
1996-10-01  17150
1997-01-01  17404
1997-04-01  17749
1997-07-01  18164
1997-10-01  18230
1998-01-01  18373
1998-04-01  18576
1998-07-01  18837
1998-10-01  19170
1999-01-01  19344
1999-04-01  19886
1999-07-01  20488
1999-10-01  21027
2000-01-01  21048
2000-04-01  21381
2000-07-01  21547
2000-10-01  21716
2001-01-01  21444
2001-04-01  21837
2001-07-01  21976
2001-10-01  22107
2002-01-01  22716
2002-04-01  22872
2002-07-01  23106
2002-10-01  23223
2003-01-01  22038
2003-04-01  22167
2003-07-01  22550
2003-10-01  22823
2004-01-01  22700
2004-04-01  22883
2004-07-01  23037
2004-10-01  23354
2005-01-01  23182
2005-04-01  23487
2005-07-01  23875
2005-10-01  24249
2006-01-01  24426
2006-04-01  24751
2006-07-01  25220
2006-10-01  25605
2007-01-01  27020
2007-04-01  27140
2007-07-01  27520
2007-10-01  28016
2008-01-01  28158
2008-04-01  28124
2008-07-01  28288
2008-10-01  28539
2009-01-01  28287
2009-04-01  28113
2009-07-01  27973
2009-10-01  27987
2010-01-01  27700
2010-04-01  27866
2010-07-01  28039
2010-10-01  28380
2011-01-01  28225
2011-04-01  28525
2011-07-01  28928
2011-10-01  29194
2012-01-01  29040
2012-04-01  29415
2012-07-01  29438
2012-10-01  29538
2013-01-01  28886
2013-04-01  29200
2013-07-01  29183
2013-10-01  29519
2014-01-01  29942
2014-04-01  29944
2014-07-01  30194
2014-10-01  30389
2015-01-01  30799
2015-04-01  31233
2015-07-01  31419
2015-10-01  32102
2016-01-01  32570
2016-04-01  32965
2016-07-01  32933
2016-10-01  33413
2017-01-01  33343
2017-04-01  33668
2017-07-01  33964
2017-10-01  34239
2018-01-01  34772
