Title:               Net Interest Income for Commercial Banks in North Carolina
Series ID:           NCNII
Source:              Federal Financial Institutions Examination Council (US)
Release:             Reports of Condition and Income for All Insured U.S. Commercial Banks
Seasonal Adjustment: Not Seasonally Adjusted
Frequency:           Quarterly
Units:               Thousands of Dollars
Date Range:          1984-01-01 to 2018-07-01
Last Updated:        2018-12-13 11:02 AM CST
Notes:               This series represents Net Interest Income call item RIAD4074.
                     
                     Geographic location is determined by Abbreviated State Name call item
                     RSSD9200 = 'NC' representing two character state abbreviation of North
                     Carolina.
                     
                     For more information and definition about the specific call item
                     codes, please see
                     http://www.federalreserve.gov/apps/mdrm/data-dictionary.
                     
                     This series is calculated by the Federal Reserve Bank of St. Louis
                     using raw data that are collected by the FFIEC. Raw data can be found
                     at https://cdr.ffiec.gov/public/.

DATE           VALUE
1984-01-01    339491
1984-04-01    706651
1984-07-01   1086843
1984-10-01   1469923
1985-01-01    389221
1985-04-01    808691
1985-07-01   1227444
1985-10-01   1661302
1986-01-01    434156
1986-04-01    870518
1986-07-01   1325090
1986-10-01   1792114
1987-01-01    476163
1987-04-01    972633
1987-07-01   1478683
1987-10-01   1995935
1988-01-01    510565
1988-04-01   1024371
1988-07-01   1563221
1988-10-01   2112261
1989-01-01    556228
1989-04-01   1121814
1989-07-01   1670036
1989-10-01   2246375
1990-01-01    587826
1990-04-01   1196649
1990-07-01   1812007
1990-10-01   2433340
1991-01-01    634922
1991-04-01   1284391
1991-07-01   1965333
1991-10-01   2638507
1992-01-01    713856
1992-04-01   1461642
1992-07-01   2220696
1992-10-01   3022791
1993-01-01    778210
1993-04-01   1562584
1993-07-01   2396130
1993-10-01   3223644
1994-01-01    853235
1994-04-01   1720584
1994-07-01   2606588
1994-10-01   3486125
1995-01-01    954402
1995-04-01   1952643
1995-07-01   3793755
1995-10-01   5126237
1996-01-01   1381606
1996-04-01   2810772
1996-07-01   4239857
1996-10-01   5772026
1997-01-01   1497374
1997-04-01   5942520
1997-07-01  10099919
1997-10-01  13981086
1998-01-01   3916029
1998-04-01   9497891
1998-07-01  14353831
1998-10-01  21166059
1999-01-01   5393699
1999-04-01  10980509
1999-07-01  22496626
1999-10-01  30384539
2000-01-01   7624161
2000-04-01  15416020
2000-07-01  23057634
2000-10-01  30794808
2001-01-01   7457138
2001-04-01  15132895
2001-07-01  21486377
2001-10-01  29207615
2002-01-01   7754047
2002-04-01  15492719
2002-07-01  23482980
2002-10-01  31391715
2003-01-01   7723044
2003-04-01  15611875
2003-07-01  23419790
2003-10-01  31697073
2004-01-01   8340162
2004-04-01  16795568
2004-07-01  25484014
2004-10-01  34959051
2005-01-01   9476203
2005-04-01  21857937
2005-07-01  32839130
2005-10-01  44074066
2006-01-01  11093735
2006-04-01  22667997
2006-07-01  34364301
2006-10-01  46983073
2007-01-01  11703741
2007-04-01  23665692
2007-07-01  35826509
2007-10-01  48402337
2008-01-01  12495400
2008-04-01  25166432
2008-07-01  38170022
2008-10-01  37169527
2009-01-01  13018131
2009-04-01  27501446
2009-07-01  42221525
2009-10-01  59325916
2010-01-01  11165623
2010-04-01  22065270
2010-07-01  32547489
2010-10-01  43311531
2011-01-01  10969060
2011-04-01  21577971
2011-07-01  31476456
2011-10-01  41583490
2012-01-01  10409406
2012-04-01  19818118
2012-07-01  29290811
2012-10-01  38837737
2013-01-01  10034003
2013-04-01  20350245
2013-07-01  30240476
2013-10-01  40449351
2014-01-01   9584939
2014-04-01  19087777
2014-07-01  28657099
2014-10-01  49060645
2015-01-01  11635984
2015-04-01  24431740
2015-07-01  36266485
2015-10-01  48841585
2016-01-01  11629160
2016-04-01  23474221
2016-07-01  38422462
2016-10-01  51265619
2017-01-01  13609499
2017-04-01  27303777
2017-07-01  41226643
2017-10-01  54789269
2018-01-01  14251876
2018-04-01  28793991
2018-07-01  43522132
