Title:               Resident Population in Nash County, NC
Series ID:           NCNASH5POP
Source:              U.S. Bureau of the Census
Release:             Annual Estimates of the Population for Counties (Not a Press Release)
Seasonal Adjustment: Not Seasonally Adjusted
Frequency:           Annual
Units:               Thousands of Persons
Date Range:          1970-01-01 to 2017-01-01
Last Updated:        2018-03-27 3:22 PM CDT
Notes:               Data for "Resident Population" are from estimates as of July 1. Data
                     for 1970 and 1980 are annual census.

DATE         VALUE
1970-01-01  59.122
1971-01-01  60.200
1972-01-01  60.800
1973-01-01  62.200
1974-01-01  63.200
1975-01-01  64.200
1976-01-01  64.900
1977-01-01  66.200
1978-01-01  66.800
1979-01-01  67.000
1980-01-01  67.153
1981-01-01  68.074
1982-01-01  68.784
1983-01-01  69.573
1984-01-01  70.149
1985-01-01  71.102
1986-01-01  71.639
1987-01-01  72.659
1988-01-01  73.056
1989-01-01  74.958
1990-01-01  77.060
1991-01-01  78.235
1992-01-01  79.292
1993-01-01  80.681
1994-01-01  82.378
1995-01-01  83.507
1996-01-01  84.531
1997-01-01  85.922
1998-01-01  86.493
1999-01-01  87.042
2000-01-01  87.703
2001-01-01  88.169
2002-01-01  88.693
2003-01-01  89.249
2004-01-01  89.908
2005-01-01  90.412
2006-01-01  91.559
2007-01-01  93.125
2008-01-01  94.068
2009-01-01  94.797
2010-01-01  95.782
2011-01-01  95.749
2012-01-01  95.206
2013-01-01  94.445
2014-01-01  94.253
2015-01-01  93.929
2016-01-01  94.008
2017-01-01  93.991
