Title:               Total Nonperforming Loans for Commercial Banks in North Carolina
Series ID:           NCNP
Source:              Federal Financial Institutions Examination Council (US)
Release:             Reports of Condition and Income for All Insured U.S. Commercial Banks
Seasonal Adjustment: Not Seasonally Adjusted
Frequency:           Quarterly
Units:               Thousands of Dollars
Date Range:          1984-01-01 to 2018-07-01
Last Updated:        2018-12-13 11:02 AM CST
Notes:               This series is constructed as a sum of Total Loan and Lease Finance
                     Receivables, Nonaccrual call item RCFD1403 and Total Loan and Lease
                     Finance Receivables, Past Due 90 Days or More and Still Accruing call
                     item RCFD1407.
                     
                     Geographic location is determined by Abbreviated State Name call item
                     RSSD9200 = 'NC' representing two character state abbreviation of North
                     Carolina.
                     
                     For more information and definition about the specific call item
                     codes, please see
                     http://www.federalreserve.gov/apps/mdrm/data-dictionary.
                     
                     This series is calculated by the Federal Reserve Bank of St. Louis
                     using raw data that are collected by the FFIEC. Raw data can be found
                     at https://cdr.ffiec.gov/public/.

DATE           VALUE
1984-01-01    260767
1984-04-01    237939
1984-07-01    237322
1984-10-01    210821
1985-01-01    219940
1985-04-01    210407
1985-07-01    214717
1985-10-01    218397
1986-01-01    240990
1986-04-01    248507
1986-07-01    287449
1986-10-01    278184
1987-01-01    386625
1987-04-01    397035
1987-07-01    400582
1987-10-01    372249
1988-01-01    291213
1988-04-01    294287
1988-07-01    295843
1988-10-01    284585
1989-01-01    320953
1989-04-01    363044
1989-07-01    436797
1989-10-01    438403
1990-01-01    511270
1990-04-01    668472
1990-07-01    832844
1990-10-01   1008289
1991-01-01   1193518
1991-04-01   1227601
1991-07-01   1210701
1991-10-01   1024614
1992-01-01    988849
1992-04-01    976408
1992-07-01    873136
1992-10-01    728172
1993-01-01    709186
1993-04-01    678252
1993-07-01    582058
1993-10-01    504385
1994-01-01    453386
1994-04-01    390398
1994-07-01    388725
1994-10-01    368741
1995-01-01    549808
1995-04-01    468170
1995-07-01    725546
1995-10-01    677586
1996-01-01    744186
1996-04-01    682315
1996-07-01    723707
1996-10-01    648565
1997-01-01    660895
1997-04-01   1555420
1997-07-01   1802817
1997-10-01   1901310
1998-01-01   2161926
1998-04-01   2517214
1998-07-01   2475650
1998-10-01   2970050
1999-01-01   3384772
1999-04-01   3351124
1999-07-01   4712303
1999-10-01   5045101
2000-01-01   5449912
2000-04-01   6023570
2000-07-01   6748724
2000-10-01   8343835
2001-01-01   8514246
2001-04-01   8679757
2001-07-01   8344930
2001-10-01   8598237
2002-01-01   7849238
2002-04-01   7713450
2002-07-01   7794887
2002-10-01   8015281
2003-01-01   7841535
2003-04-01   6908828
2003-07-01   6015783
2003-10-01   5334516
2004-01-01   4412909
2004-04-01   4033923
2004-07-01   3702154
2004-10-01   3445775
2005-01-01   3568832
2005-04-01   3818502
2005-07-01   3506546
2005-10-01   3385959
2006-01-01   3636900
2006-04-01   3536018
2006-07-01   3603284
2006-10-01   3875312
2007-01-01   4123207
2007-04-01   4704710
2007-07-01   6240246
2007-10-01  10626354
2008-01-01  15303590
2008-04-01  19033112
2008-07-01  25111592
2008-10-01  35327913
2009-01-01  46854475
2009-04-01  57688314
2009-07-01  68445600
2009-10-01  87332071
2010-01-01  68312908
2010-04-01  66028330
2010-07-01  66014563
2010-10-01  64207483
2011-01-01  65284346
2011-04-01  63561422
2011-07-01  66338337
2011-10-01  68095875
2012-01-01  67362859
2012-04-01  67832086
2012-07-01  70451592
2012-10-01  65162233
2013-01-01  59949315
2013-04-01  54174194
2013-07-01  47406033
2013-10-01  42321364
2014-01-01  38907874
2014-04-01  35293466
2014-07-01  31557631
2014-10-01  28892546
2015-01-01  25475410
2015-04-01  23279806
2015-07-01  21174533
2015-10-01  20014143
2016-01-01  18713825
2016-04-01  17461239
2016-07-01  16921343
2016-10-01  16086460
2017-01-01  14957213
2017-04-01  13351653
2017-07-01  12913449
2017-10-01  12810718
2018-01-01  12057351
2018-04-01  11110927
2018-07-01   9781275
