Title:               Civilian Labor Force in Northampton County, NC
Series ID:           NCNORT1LFN
Source:              U.S. Bureau of Labor Statistics
Release:             Unemployment in States and Local Areas (all other areas) (Not a Press Release)
Seasonal Adjustment: Not Seasonally Adjusted
Frequency:           Monthly
Units:               Persons
Date Range:          1990-01-01 to 2018-11-01
Last Updated:        2019-01-03 10:14 AM CST
Notes:               

DATE       VALUE
1990-01-01  8542
1990-02-01  8537
1990-03-01  8581
1990-04-01  8584
1990-05-01  8740
1990-06-01  8759
1990-07-01  8661
1990-08-01  8606
1990-09-01  8435
1990-10-01  8825
1990-11-01  8866
1990-12-01  8728
1991-01-01  8613
1991-02-01  8673
1991-03-01  8665
1991-04-01  8678
1991-05-01  8849
1991-06-01  9041
1991-07-01  8912
1991-08-01  8798
1991-09-01  8764
1991-10-01  8771
1991-11-01  8706
1991-12-01  8518
1992-01-01  8759
1992-02-01  8817
1992-03-01  8784
1992-04-01  8772
1992-05-01  8930
1992-06-01  9090
1992-07-01  9307
1992-08-01  9161
1992-09-01  9296
1992-10-01  9220
1992-11-01  9144
1992-12-01  9068
1993-01-01  8811
1993-02-01  8836
1993-03-01  8849
1993-04-01  8704
1993-05-01  8801
1993-06-01  8889
1993-07-01  8908
1993-08-01  8835
1993-09-01  8524
1993-10-01  8598
1993-11-01  8644
1993-12-01  8629
1994-01-01  8497
1994-02-01  8587
1994-03-01  8541
1994-04-01  8461
1994-05-01  8676
1994-06-01  8655
1994-07-01  9064
1994-08-01  8993
1994-09-01  8804
1994-10-01  8754
1994-11-01  8782
1994-12-01  8571
1995-01-01  8779
1995-02-01  8565
1995-03-01  8614
1995-04-01  8668
1995-05-01  8527
1995-06-01  8586
1995-07-01  8551
1995-08-01  8404
1995-09-01  8303
1995-10-01  8418
1995-11-01  8438
1995-12-01  8279
1996-01-01  8592
1996-02-01  8419
1996-03-01  8494
1996-04-01  8538
1996-05-01  8660
1996-06-01  8705
1996-07-01  8817
1996-08-01  8675
1996-09-01  8569
1996-10-01  8568
1996-11-01  8526
1996-12-01  8440
1997-01-01  8544
1997-02-01  8670
1997-03-01  8743
1997-04-01  8617
1997-05-01  8759
1997-06-01  8718
1997-07-01  8761
1997-08-01  8764
1997-09-01  8578
1997-10-01  8640
1997-11-01  8579
1997-12-01  8429
1998-01-01  8551
1998-02-01  8446
1998-03-01  8459
1998-04-01  8357
1998-05-01  8382
1998-06-01  8402
1998-07-01  8477
1998-08-01  8534
1998-09-01  8451
1998-10-01  8595
1998-11-01  8477
1998-12-01  8398
1999-01-01  8634
1999-02-01  8609
1999-03-01  8579
1999-04-01  8499
1999-05-01  8532
1999-06-01  8471
1999-07-01  8513
1999-08-01  8714
1999-09-01  8628
1999-10-01  8589
1999-11-01  8576
1999-12-01  8390
2000-01-01  8608
2000-02-01  8698
2000-03-01  8780
2000-04-01  8684
2000-05-01  8819
2000-06-01  8855
2000-07-01  8685
2000-08-01  8789
2000-09-01  8710
2000-10-01  8694
2000-11-01  8671
2000-12-01  8652
2001-01-01  8713
2001-02-01  8667
2001-03-01  8746
2001-04-01  8600
2001-05-01  8605
2001-06-01  8539
2001-07-01  8580
2001-08-01  8665
2001-09-01  8650
2001-10-01  8719
2001-11-01  8666
2001-12-01  8514
2002-01-01  8416
2002-02-01  8615
2002-03-01  8550
2002-04-01  8572
2002-05-01  8603
2002-06-01  8541
2002-07-01  8501
2002-08-01  8456
2002-09-01  8393
2002-10-01  8489
2002-11-01  8424
2002-12-01  8403
2003-01-01  8647
2003-02-01  8692
2003-03-01  8796
2003-04-01  8910
2003-05-01  9025
2003-06-01  9034
2003-07-01  8817
2003-08-01  8825
2003-09-01  8784
2003-10-01  8930
2003-11-01  8904
2003-12-01  8840
2004-01-01  8790
2004-02-01  8739
2004-03-01  8897
2004-04-01  8869
2004-05-01  8832
2004-06-01  8688
2004-07-01  8766
2004-08-01  8752
2004-09-01  8793
2004-10-01  8907
2004-11-01  8933
2004-12-01  9022
2005-01-01  8941
2005-02-01  8910
2005-03-01  8928
2005-04-01  8970
2005-05-01  9041
2005-06-01  8833
2005-07-01  8881
2005-08-01  8984
2005-09-01  8902
2005-10-01  8965
2005-11-01  9011
2005-12-01  8932
2006-01-01  8850
2006-02-01  8829
2006-03-01  8904
2006-04-01  9016
2006-05-01  9076
2006-06-01  9001
2006-07-01  8946
2006-08-01  8977
2006-09-01  8949
2006-10-01  9090
2006-11-01  9129
2006-12-01  9173
2007-01-01  9147
2007-02-01  9108
2007-03-01  9102
2007-04-01  9102
2007-05-01  9155
