Title:               All Employees: Total Nonfarm in North Carolina
Series ID:           NCNAN
Source:              U.S. Bureau of Labor Statistics
Release:             State Employment and Unemployment
Seasonal Adjustment: Not Seasonally Adjusted
Frequency:           Monthly
Units:               Thousands of Persons
Date Range:          1939-01-01 to 2018-11-01
Last Updated:        2018-12-24 12:32 PM CST
Notes:               

DATE         VALUE
1939-01-01   593.6
1939-02-01   593.2
1939-03-01   602.1
1939-04-01   608.4
1939-05-01   599.2
1939-06-01   601.3
1939-07-01   605.0
1939-08-01   637.9
1939-09-01   654.2
1939-10-01   660.5
1939-11-01   660.5
1939-12-01   656.9
1940-01-01   633.4
1940-02-01   629.8
1940-03-01   630.2
1940-04-01   632.6
1940-05-01   628.2
1940-06-01   625.5
1940-07-01   629.4
1940-08-01   657.1
1940-09-01   675.1
1940-10-01   692.3
1940-11-01   699.5
1940-12-01   710.4
1941-01-01   698.7
1941-02-01   734.6
1941-03-01   745.9
1941-04-01   732.2
1941-05-01   720.3
1941-06-01   717.5
1941-07-01   720.8
1941-08-01   747.9
1941-09-01   759.7
1941-10-01   759.2
1941-11-01   749.2
1941-12-01   749.7
1942-01-01   731.3
1942-02-01   742.9
1942-03-01   750.1
1942-04-01   762.3
1942-05-01   776.3
1942-06-01   784.6
1942-07-01   788.6
1942-08-01   807.5
1942-09-01   809.1
1942-10-01   809.0
1942-11-01   816.7
1942-12-01   823.4
1943-01-01   814.0
1943-02-01   813.7
1943-03-01   814.3
1943-04-01   816.7
1943-05-01   817.0
1943-06-01   812.6
1943-07-01   803.1
1943-08-01   804.9
1943-09-01   818.5
1943-10-01   814.6
1943-11-01   809.9
1943-12-01   812.2
1944-01-01   786.4
1944-02-01   785.2
1944-03-01   783.2
1944-04-01   783.0
1944-05-01   778.8
1944-06-01   776.2
1944-07-01   770.9
1944-08-01   772.1
1944-09-01   782.9
1944-10-01   777.6
1944-11-01   774.8
1944-12-01   782.0
1945-01-01   765.7
1945-02-01   760.9
1945-03-01   761.7
1945-04-01   750.7
1945-05-01   745.6
1945-06-01   745.4
1945-07-01   738.1
1945-08-01   756.1
1945-09-01   767.3
1945-10-01   760.4
1945-11-01   772.8
1945-12-01   786.4
1946-01-01   777.2
1946-02-01   785.3
1946-03-01   797.9
1946-04-01   810.1
1946-05-01   807.3
1946-06-01   814.1
1946-07-01   813.5
1946-08-01   843.2
1946-09-01   861.2
1946-10-01   866.9
1946-11-01   870.4
1946-12-01   886.3
1947-01-01   874.0
1947-02-01   874.1
1947-03-01   875.3
1947-04-01   869.9
1947-05-01   865.3
1947-06-01   869.4
1947-07-01   863.1
1947-08-01   873.9
1947-09-01   890.3
1947-10-01   890.7
1947-11-01   898.1
1947-12-01   910.6
1948-01-01   891.3
1948-02-01   879.1
1948-03-01   894.1
1948-04-01   891.3
1948-05-01   894.2
1948-06-01   894.5
1948-07-01   872.1
1948-08-01   904.0
1948-09-01   912.4
1948-10-01   904.0
1948-11-01   897.2
1948-12-01   904.9
1949-01-01   869.5
1949-02-01   863.7
1949-03-01   857.1
1949-04-01   858.4
1949-05-01   847.4
1949-06-01   844.5
1949-07-01   837.8
1949-08-01   861.1
1949-09-01   884.7
1949-10-01   891.2
1949-11-01   894.1
1949-12-01   910.3
1950-01-01   888.5
1950-02-01   885.6
1950-03-01   889.4
1950-04-01   898.6
1950-05-01   899.9
1950-06-01   903.8
1950-07-01   905.2
1950-08-01   944.8
1950-09-01   973.2
1950-10-01   975.2
1950-11-01   978.6
1950-12-01   990.9
1951-01-01   974.6
1951-02-01   980.0
1951-03-01   990.7
1951-04-01   971.9
1951-05-01   975.1
1951-06-01   982.1
1951-07-01   972.7
1951-08-01   984.4
1951-09-01   998.3
1951-10-01  1000.1
1951-11-01  1000.7
1951-12-01  1016.4
1952-01-01   988.4
1952-02-01   984.6
1952-03-01   982.9
1952-04-01   987.9
1952-05-01   987.6
1952-06-01   996.0
1952-07-01   989.9
1952-08-01  1009.6
1952-09-01  1024.8
1952-10-01  1033.4
1952-11-01  1037.8
1952-12-01  1054.0
1953-01-01  1015.8
1953-02-01  1013.2
1953-03-01  1016.8
1953-04-01  1013.1
1953-05-01  1012.9
1953-06-01  1015.9
1953-07-01  1019.0
1953-08-01  1034.3
1953-09-01  1045.5
1953-10-01  1033.3
1953-11-01  1029.6
1953-12-01  1035.4
1954-01-01   996.6
1954-02-01   993.8
1954-03-01   993.8
1954-04-01   997.6
1954-05-01   989.8
1954-06-01   996.3
1954-07-01   991.0
1954-08-01  1013.6
1954-09-01  1031.6
1954-10-01  1041.5
1954-11-01  1044.8
1954-12-01  1052.5
1955-01-01  1023.7
1955-02-01  1024.1
1955-03-01  1033.6
1955-04-01  1034.3
1955-05-01  1042.3
1955-06-01  1051.9
1955-07-01  1039.8
1955-08-01  1061.1
1955-09-01  1090.0
1955-10-01  1100.9
1955-11-01  1101.0
1955-12-01  1109.8
1956-01-01  1089.0
1956-02-01  1087.8
1956-03-01  1092.9
1956-04-01  1081.5
1956-05-01  1084.8
1956-06-01  1087.7
1956-07-01  1085.7
1956-08-01  1104.8
1956-09-01  1122.3
1956-10-01  1113.6
1956-11-01  1117.1
1956-12-01  1123.0
1957-01-01  1089.3
1957-02-01  1084.7
1957-03-01  1086.4
1957-04-01  1094.0
1957-05-01  1092.7
1957-06-01  1093.0
1957-07-01  1090.0
1957-08-01  1109.5
1957-09-01  1126.1
1957-10-01  1120.2
1957-11-01  1113.2
1957-12-01  1117.5
1958-01-01  1088.4
1958-02-01  1079.2
1958-03-01  1082.5
1958-04-01  1083.4
1958-05-01  1089.7
1958-06-01  1094.8
1958-07-01  1092.7
1958-08-01  1117.4
1958-09-01  1144.9
1958-10-01  1145.8
1958-11-01  1142.0
1958-12-01  1144.3
1959-01-01  1118.6
1959-02-01  1124.0
1959-03-01  1132.3
1959-04-01  1143.8
1959-05-01  1150.6
1959-06-01  1157.4
1959-07-01  1154.0
1959-08-01  1179.5
1959-09-01  1201.7
1959-10-01  1200.8
1959-11-01  1196.7
1959-12-01  1205.0
1960-01-01  1172.9
1960-02-01  1169.2
1960-03-01  1162.2
1960-04-01  1193.3
1960-05-01  1192.6
1960-06-01  1194.5
1960-07-01  1187.9
1960-08-01  1202.5
1960-09-01  1225.0
1960-10-01  1218.1
1960-11-01  1216.0
1960-12-01  1211.8
1961-01-01  1175.0
1961-02-01  1168.5
1961-03-01  1178.3
1961-04-01  1184.6
1961-05-01  1193.3
1961-06-01  1200.1
1961-07-01  1201.3
1961-08-01  1224.3
1961-09-01  1248.9
1961-10-01  1244.8
1961-11-01  1245.1
1961-12-01  1245.2
1962-01-01  1215.8
1962-02-01  1222.5
1962-03-01  1227.5
1962-04-01  1241.8
1962-05-01  1249.0
1962-06-01  1249.4
1962-07-01  1252.5
1962-08-01  1274.6
1962-09-01  1298.7
1962-10-01  1296.1
1962-11-01  1286.4
1962-12-01  1287.8
1963-01-01  1259.9
1963-02-01  1260.0
1963-03-01  1268.0
1963-04-01  1284.1
1963-05-01  1287.7
1963-06-01  1292.1
1963-07-01  1290.7
1963-08-01  1313.2
1963-09-01  1334.2
1963-10-01  1332.4
1963-11-01  1330.0
1963-12-01  1331.0
1964-01-01  1310.7
1964-02-01  1307.9
1964-03-01  1318.6
1964-04-01  1328.7
1964-05-01  1337.4
1964-06-01  1346.4
1964-07-01  1344.4
1964-08-01  1363.1
1964-09-01  1389.6
1964-10-01  1398.5
1964-11-01  1395.5
1964-12-01  1403.9
1965-01-01  1377.5
1965-02-01  1380.0
1965-03-01  1390.1
1965-04-01  1408.1
1965-05-01  1414.8
1965-06-01  1424.5
1965-07-01  1427.1
1965-08-01  1446.0
1965-09-01  1464.9
1965-10-01  1475.4
1965-11-01  1476.8
1965-12-01  1489.5
1966-01-01  1467.6
1966-02-01  1473.6
1966-03-01  1492.1
1966-04-01  1510.8
1966-05-01  1517.5
1966-06-01  1534.4
1966-07-01  1533.6
1966-08-01  1552.8
1966-09-01  1569.0
1966-10-01  1580.1
1966-11-01  1584.7
1966-12-01  1595.0
1967-01-01  1565.0
1967-02-01  1563.3
1967-03-01  1574.0
1967-04-01  1580.4
1967-05-01  1583.8
1967-06-01  1598.4
1967-07-01  1584.6
1967-08-01  1603.0
1967-09-01  1625.5
1967-10-01  1635.7
1967-11-01  1646.0
1967-12-01  1650.5
1968-01-01  1609.8
1968-02-01  1630.5
1968-03-01  1639.3
1968-04-01  1653.8
1968-05-01  1661.3
1968-06-01  1680.3
1968-07-01  1680.4
1968-08-01  1695.0
1968-09-01  1712.3
1968-10-01  1720.0
1968-11-01  1725.4
1968-12-01  1735.6
1969-01-01  1706.7
1969-02-01  1714.2
1969-03-01  1722.0
1969-04-01  1725.2
1969-05-01  1729.2
1969-06-01  1748.9
1969-07-01  1739.8
1969-08-01  1753.4
1969-09-01  1769.9
1969-10-01  1780.3
1969-11-01  1785.2
1969-12-01  1789.4
1970-01-01  1757.8
1970-02-01  1765.5
1970-03-01  1773.4
1970-04-01  1775.0
1970-05-01  1776.1
1970-06-01  1784.0
1970-07-01  1773.4
1970-08-01  1784.4
1970-09-01  1798.5
1970-10-01  1798.9
1970-11-01  1800.2
1970-12-01  1806.2
1971-01-01  1773.3
1971-02-01  1773.8
1971-03-01  1781.7
1971-04-01  1791.8
1971-05-01  1799.9
1971-06-01  1807.3
1971-07-01  1803.8
1971-08-01  1814.5
1971-09-01  1845.0
1971-10-01  1847.6
1971-11-01  1855.4
1971-12-01  1867.6
1972-01-01  1852.2
1972-02-01  1862.2
1972-03-01  1881.2
1972-04-01  1888.4
1972-05-01  1895.0
1972-06-01  1911.2
1972-07-01  1906.1
1972-08-01  1922.3
1972-09-01  1936.3
1972-10-01  1950.7
1972-11-01  1963.2
1972-12-01  1974.6
1973-01-01  1930.0
1973-02-01  1954.1
1973-03-01  1972.4
1973-04-01  1998.0
1973-05-01  2009.1
1973-06-01  2017.7
1973-07-01  2010.1
1973-08-01  2033.5
1973-09-01  2056.4
1973-10-01  2070.7
1973-11-01  2081.6
1973-12-01  2084.0
1974-01-01  2030.1
1974-02-01  2029.2
1974-03-01  2037.6
1974-04-01  2056.7
1974-05-01  2069.4
1974-06-01  2098.7
1974-07-01  2052.6
1974-08-01  2066.9
1974-09-01  2080.3
1974-10-01  2043.7
1974-11-01  2021.5
1974-12-01  1991.7
1975-01-01  1938.8
1975-02-01  1922.6
1975-03-01  1918.1
1975-04-01  1934.1
1975-05-01  1954.4
1975-06-01  1983.3
1975-07-01  1958.6
1975-08-01  1992.7
1975-09-01  2021.6
1975-10-01  2037.8
1975-11-01  2044.8
