Title:               Civilian Labor Force in Rocky Mount, NC (MSA)
Series ID:           ROCK537LF
Source:              U.S. Bureau of Labor Statistics
Release:             Metropolitan Area Employment and Unemployment
Seasonal Adjustment: Smoothed Seasonally Adjusted
Frequency:           Monthly
Units:               Persons
Date Range:          1990-01-01 to 2018-11-01
Last Updated:        2019-01-03 1:41 PM CST
Notes:               

DATE         VALUE
1990-01-01   69083
1990-02-01   69176
1990-03-01   69338
1990-04-01   69599
1990-05-01   69772
1990-06-01   69656
1990-07-01   69473
1990-08-01   69509
1990-09-01   69692
1990-10-01   69906
1990-11-01   70283
1990-12-01   70902
1991-01-01   71394
1991-02-01   71600
1991-03-01   71948
1991-04-01   72213
1991-05-01   72034
1991-06-01   71878
1991-07-01   71936
1991-08-01   71995
1991-09-01   71961
1991-10-01   71887
1991-11-01   71795
1991-12-01   71709
1992-01-01   71847
1992-02-01   71986
1992-03-01   71776
1992-04-01   71581
1992-05-01   71791
1992-06-01   72255
1992-07-01   72501
1992-08-01   72337
1992-09-01   72132
1992-10-01   72148
1992-11-01   72161
1992-12-01   71846
1993-01-01   71474
1993-02-01   71373
1993-03-01   71208
1993-04-01   70972
1993-05-01   70928
1993-06-01   70947
1993-07-01   70967
1993-08-01   71040
1993-09-01   71089
1993-10-01   71084
1993-11-01   71122
1993-12-01   71266
1994-01-01   69221
1994-02-01   69332
1994-03-01   69481
1994-04-01   69723
1994-05-01   69977
1994-06-01   70003
1994-07-01   69971
1994-08-01   70198
1994-09-01   70683
1994-10-01   71016
1994-11-01   70981
1994-12-01   70989
1995-01-01   71168
1995-02-01   71325
1995-03-01   71468
1995-04-01   71459
1995-05-01   71372
1995-06-01   71576
1995-07-01   71910
1995-08-01   72113
1995-09-01   72342
1995-10-01   72735
1995-11-01   73100
1995-12-01   73202
1996-01-01   73139
1996-02-01   73237
1996-03-01   73471
1996-04-01   73818
1996-05-01   74310
1996-06-01   74606
1996-07-01   76788
1996-08-01   76777
1996-09-01   76450
1996-10-01   76005
1996-11-01   75730
1996-12-01   75640
1997-01-01   72750
1997-02-01   72838
1997-03-01   72969
1997-04-01   72960
1997-05-01   72696
1997-06-01   72296
1997-07-01   71947
1997-08-01   71730
1997-09-01   71544
1997-10-01   71468
1997-11-01   71487
1997-12-01   71360
1998-01-01   71120
1998-02-01   70757
1998-03-01   70381
1998-04-01   70233
1998-05-01   70197
1998-06-01   70221
1998-07-01   70273
1998-08-01   70220
1998-09-01   70164
1998-10-01   70163
1998-11-01   70177
1998-12-01   70252
1999-01-01   70257
1999-02-01   70185
1999-03-01   70116
1999-04-01   69935
1999-05-01   69733
1999-06-01   69684
1999-07-01   69739
1999-08-01   69869
1999-09-01   69991
1999-10-01   69894
1999-11-01   69721
1999-12-01   69628
2000-01-01   67994
2000-02-01   68070
2000-03-01   68223
2000-04-01   68214
2000-05-01   68341
2000-06-01   68644
2000-07-01   68974
2000-08-01   69397
2000-09-01   69519
2000-10-01   69262
2000-11-01   69187
2000-12-01   69385
2001-01-01   69515
2001-02-01   69595
2001-03-01   69755
2001-04-01   69919
2001-05-01   69806
2001-06-01   69505
2001-07-01   69525
2001-08-01   69762
2001-09-01   69751
2001-10-01   69467
2001-11-01   69175
2001-12-01   68986
2002-01-01   69067
2002-02-01   69325
2002-03-01   69340
2002-04-01   69091
2002-05-01   68682
2002-06-01   68479
2002-07-01   68684
2002-08-01   68869
2002-09-01   68971
2002-10-01   68851
2002-11-01   68455
2002-12-01   68538
2003-01-01   69105
2003-02-01   69380
2003-03-01   69429
2003-04-01   69488
2003-05-01   69551
2003-06-01   69507
2003-07-01   69185
2003-08-01   68901
2003-09-01   69136
2003-10-01   69720
2003-11-01   69903
2003-12-01   69719
2004-01-01   69478
2004-02-01   69237
2004-03-01   69051
2004-04-01   68824
2004-05-01   68681
2004-06-01   68716
2004-07-01   68765
2004-08-01   68580
2004-09-01   68281
2004-10-01   68169
2004-11-01   68227
2004-12-01   68181
2005-01-01   67946
2005-02-01   67810
2005-03-01   67889
2005-04-01   68155
2005-05-01   68336
2005-06-01   68325
2005-07-01   68441
2005-08-01   68600
2005-09-01   68743
2005-10-01   68961
2005-11-01   69005
2005-12-01   68538
2006-01-01   67872
2006-02-01   67684
