Title:               Return on Average Assets for Commercial Banks with Assets under $5B in Charlotte-Concord-Gastonia, NC-SC (MSA)
Series ID:           ROACGR
Source:              Federal Financial Institutions Examination Council (US)
Release:             Reports of Condition and Income for All Insured U.S. Commercial Banks
Seasonal Adjustment: Not Seasonally Adjusted
Frequency:           Quarterly, End of Quarter
Units:               Percent
Date Range:          1989-01-01 to 2018-07-01
Last Updated:        2018-12-13 11:04 AM CST
Notes:               This series is a ratio of Net Income call item RIAD4340 to Quarterly
                     Average of Total Assets call item RCFD3368.
                     
                     The asset class is determined by using Total Assets call item RCFD2170
                     less than or equal to $5B. Geographic location is determined by
                     Abbreviated State Name call item RSSD9200 and County Code call item
                     RSSD9150, which is mapped to the proper Core Based Statistical Area
                     (CBSA) defined by the Office of Management and Budget (OMB).
                     
                     Data are annualized.
                     
                     For more information and definition about the specific call item
                     codes, please see
                     http://www.federalreserve.gov/apps/mdrm/data-dictionary.
                     This series is calculated by the Federal Reserve Bank of St. Louis
                     using raw data that are collected by the FFIEC. Raw data can be found
                     at https://cdr.ffiec.gov/public/.

DATE                VALUE
1989-01-01   1.2657178904
1989-04-01   1.1603171332
1989-07-01   1.1169078308
1989-10-01   0.8970511980
1990-01-01   1.0811891600
1990-04-01   1.1327544894
1990-07-01   1.0915639537
1990-10-01   0.8315221514
1991-01-01   1.3164838523
1991-04-01   1.2086582365
1991-07-01   1.1260015587
1991-10-01   1.0405726419
1992-01-01   1.4245610932
1992-04-01   0.8596380214
1992-07-01   1.0511563227
1992-10-01   1.0494165441
1993-01-01   1.7372320549
1993-04-01   1.7656244837
1993-07-01   1.6933505225
1993-10-01   1.9429420084
1994-01-01   1.9377511430
1994-04-01   1.9487180732
1994-07-01   1.3839143780
1994-10-01   1.4059674503
1995-01-01   1.7973337185
1995-04-01   1.9765241917
1995-07-01   1.6412574880
1995-10-01   1.8282081690
1996-01-01   1.7183828884
1996-04-01   1.8061058473
1996-07-01   1.5776458653
1996-10-01   2.0709717976
1997-01-01   1.5335450328
1997-04-01   3.4843897324
1997-07-01   3.7783766351
1997-10-01   3.5197751559
1998-01-01   5.7925159061
1998-04-01   6.8999452680
1998-07-01   7.6747395808
1998-10-01   6.4002561391
1999-01-01   7.9556136431
1999-04-01   5.7979638223
1999-07-01   7.3971796042
1999-10-01   4.3550525703
2000-01-01   5.8076943821
2000-04-01   4.7078751733
2000-07-01   4.6645093058
2000-10-01   4.4620757557
2001-01-01   4.2945216719
2001-04-01   3.9358907444
2001-07-01   1.4466156173
2001-10-01   0.8341484650
2002-01-01   1.0906878557
2002-04-01   0.5609797913
2002-07-01   0.3246155184
2002-10-01   1.1079772023
2003-01-01   1.0040338725
2003-04-01   0.5174506438
2003-07-01   0.6307497727
2003-10-01   0.5250578443
2004-01-01   0.8609279401
2004-04-01   0.8343954996
2004-07-01   0.8484629756
2004-10-01   0.8782154945
2005-01-01   0.8368725244
2005-04-01   0.8847198958
2005-07-01   0.8952952808
2005-10-01   0.6542631181
2006-01-01   0.9104954983
2006-04-01   0.9050386658
2006-07-01   0.9339302595
2006-10-01   0.8715215818
2007-01-01   0.9442989014
2007-04-01   0.8601991587
2007-07-01   0.8617083574
2007-10-01   0.8015737247
2008-01-01   0.5113686163
2008-04-01   0.4801687488
2008-07-01   0.3298514030
2008-10-01   0.1596221716
2009-01-01  -0.1641415058
2009-04-01  -0.1441593613
2009-07-01  -0.1899521024
2009-10-01  -0.3227210156
2010-01-01   0.2849484138
2010-04-01  -0.1657788357
2010-07-01  -0.4909736595
2010-10-01  -1.1193478478
2011-01-01   0.3512262677
2011-04-01  -0.0369141393
2011-07-01  -0.0833725691
2011-10-01  -0.0780072496
2012-01-01   0.1816452366
2012-04-01   0.2021920085
2012-07-01  -0.0298442289
2012-10-01   0.0379297602
2013-01-01   0.4431264092
2013-04-01   0.4715379522
2013-07-01   0.4758748597
2013-10-01   0.5134058403
2014-01-01   0.6378798891
2014-04-01   0.6696522499
2014-07-01   0.4062733010
2014-10-01   0.5202555438
2015-01-01   0.8101081992
2015-04-01   0.7986677084
2015-07-01   0.8211984453
2015-10-01   0.7759593896
2016-01-01   0.5222171566
2016-04-01   0.6286415310
2016-07-01   0.6648016463
2016-10-01   0.6563978904
2017-01-01   0.8481800071
2017-04-01   0.8809499339
2017-07-01   0.9101610075
2017-10-01   0.6825832725
2018-01-01   0.9112130883
2018-04-01   1.0474558314
2018-07-01   0.9896782028
