Title:               Civilian Labor Force in Raleigh, NC (MSA)
Series ID:           RALE537LF
Source:              U.S. Bureau of Labor Statistics
Release:             Metropolitan Area Employment and Unemployment
Seasonal Adjustment: Smoothed Seasonally Adjusted
Frequency:           Monthly
Units:               Persons
Date Range:          1990-01-01 to 2018-11-01
Last Updated:        2019-01-03 1:41 PM CST
Notes:               

DATE          VALUE
1990-01-01   312642
1990-02-01   313827
1990-03-01   314814
1990-04-01   315838
1990-05-01   317051
1990-06-01   318063
1990-07-01   319140
1990-08-01   320174
1990-09-01   320461
1990-10-01   320365
1990-11-01   321009
1990-12-01   322033
1991-01-01   322442
1991-02-01   322893
1991-03-01   324262
1991-04-01   325575
1991-05-01   325873
1991-06-01   326020
1991-07-01   326503
1991-08-01   328064
1991-09-01   330556
1991-10-01   332268
1991-11-01   333030
1991-12-01   333670
1992-01-01   334275
1992-02-01   334929
1992-03-01   335660
1992-04-01   336204
1992-05-01   337387
1992-06-01   339630
1992-07-01   341836
1992-08-01   342901
1992-09-01   343251
1992-10-01   343835
1992-11-01   344949
1992-12-01   346377
1993-01-01   347605
1993-02-01   348035
1993-03-01   347665
1993-04-01   347840
1993-05-01   348948
1993-06-01   349815
1993-07-01   350601
1993-08-01   351295
1993-09-01   351201
1993-10-01   351096
1993-11-01   351466
1993-12-01   352252
1994-01-01   360665
1994-02-01   359657
1994-03-01   359501
1994-04-01   360218
1994-05-01   361157
1994-06-01   361725
1994-07-01   362140
1994-08-01   362421
1994-09-01   362628
1994-10-01   363635
1994-11-01   365479
1994-12-01   367205
1995-01-01   368343
1995-02-01   368929
1995-03-01   369310
1995-04-01   369792
1995-05-01   370758
1995-06-01   372564
1995-07-01   374791
1995-08-01   377179
1995-09-01   379895
1995-10-01   382182
1995-11-01   383383
1995-12-01   384607
1996-01-01   387383
1996-02-01   391098
1996-03-01   393653
1996-04-01   395200
1996-05-01   397335
1996-06-01   400113
1996-07-01   402909
1996-08-01   405299
1996-09-01   407365
1996-10-01   409091
1996-11-01   410284
1996-12-01   411319
1997-01-01   412345
1997-02-01   413879
1997-03-01   416673
1997-04-01   419249
1997-05-01   420083
1997-06-01   420350
1997-07-01   420977
1997-08-01   421488
1997-09-01   422708
1997-10-01   425503
1997-11-01   427747
1997-12-01   428458
1998-01-01   429381
1998-02-01   430617
1998-03-01   431871
1998-04-01   433230
1998-05-01   433718
1998-06-01   433290
1998-07-01   432898
1998-08-01   433819
1998-09-01   435714
1998-10-01   436911
1998-11-01   438015
1998-12-01   439470
1999-01-01   440572
1999-02-01   441456
1999-03-01   442285
1999-04-01   443428
1999-05-01   445514
1999-06-01   447773
1999-07-01   449271
1999-08-01   450301
1999-09-01   451159
1999-10-01   452144
1999-11-01   453844
1999-12-01   456058
2000-01-01   450194
2000-02-01   451628
2000-03-01   453016
2000-04-01   453922
2000-05-01   454417
2000-06-01   454988
2000-07-01   455653
2000-08-01   456623
2000-09-01   457750
2000-10-01   459342
2000-11-01   461975
2000-12-01   465079
2001-01-01   467677
2001-02-01   469244
2001-03-01   469852
2001-04-01   469552
2001-05-01   469212
2001-06-01   468751
2001-07-01   467268
2001-08-01   466586
2001-09-01   468148
2001-10-01   469570
2001-11-01   470038
2001-12-01   469794
2002-01-01   468605
2002-02-01   468223
2002-03-01   468345
2002-04-01   468449
2002-05-01   468543
2002-06-01   467757
2002-07-01   467768
2002-08-01   469888
2002-09-01   471566
2002-10-01   470908
2002-11-01   469752
2002-12-01   470763
2003-01-01   473845
2003-02-01   476406
2003-03-01   478136
2003-04-01   479579
2003-05-01   480287
2003-06-01   479846
2003-07-01   478244
2003-08-01   477432
2003-09-01   477971
2003-10-01   479371
2003-11-01   480940
2003-12-01   482052
2004-01-01   482795
2004-02-01   482775
2004-03-01   481772
2004-04-01   480351
2004-05-01   480601
2004-06-01   482884
2004-07-01   485023
2004-08-01   485577
2004-09-01   485711
2004-10-01   487056
2004-11-01   489089
2004-12-01   490174
2005-01-01   490206
2005-02-01   490617
2005-03-01   492201
2005-04-01   494973
2005-05-01   497742
2005-06-01   500260
2005-07-01   503278
2005-08-01   505811
2005-09-01   507010
2005-10-01   507630
2005-11-01   508657
2005-12-01   510121
2006-01-01   511936
2006-02-01   514112
2006-03-01   516738
2006-04-01   520102
2006-05-01   523724
2006-06-01   527101
2006-07-01   530568
2006-08-01   533572
2006-09-01   535583
2006-10-01   537980
2006-11-01   540677
2006-12-01   541061
2007-01-01   539369
2007-02-01   539143
2007-03-01   539645
2007-04-01   539400
2007-05-01   540924
2007-06-01   543517
2007-07-01   544628
2007-08-01   545269
2007-09-01   546467
2007-10-01   547735
2007-11-01   549026
2007-12-01   551533
2008-01-01   554983
2008-02-01   556653
2008-03-01   557144
2008-04-01   558451
2008-05-01   559678
2008-06-01   560758
2008-07-01   562170
2008-08-01   562576
2008-09-01   562991
2008-10-01   563301
2008-11-01   568667
2008-12-01   568992
2009-01-01   568094
2009-02-01   567004
2009-03-01   566296
2009-04-01   566177
2009-05-01   566008
2009-06-01   566199
2009-07-01   566532
2009-08-01   565244
2009-09-01   563330
2009-10-01   562791
2009-11-01   563366
2009-12-01   564418
2010-01-01   581937
2010-02-01   583732
2010-03-01   587549
2010-04-01   591899
2010-05-01   592585
2010-06-01   591630
2010-07-01   592179
2010-08-01   592532
2010-09-01   591407
2010-10-01   590993
2010-11-01   592338
2010-12-01   593850
2011-01-01   594696
2011-02-01   595088
2011-03-01   595754
2011-04-01   596277
2011-05-01   595807
2011-06-01   595341
2011-07-01   596277
2011-08-01   598719
2011-09-01   601144
2011-10-01   602357
2011-11-01   603205
2011-12-01   604724
2012-01-01   606741
2012-02-01   608729
2012-03-01   610005
2012-04-01   610832
2012-05-01   612291
2012-06-01   613948
2012-07-01   614796
2012-08-01   615477
2012-09-01   617399
2012-10-01   619144
2012-11-01   619613
2012-12-01   620653
2013-01-01   621925
2013-02-01   622125
2013-03-01   621683
2013-04-01   621431
