Title:               All Employees: Trade, Transportation, and Utilities in Raleigh, NC (MSA)
Series ID:           RALE537TRAD
Source:              U.S. Bureau of Labor Statistics
Release:             State Employment and Unemployment
Seasonal Adjustment: Seasonally Adjusted
Frequency:           Monthly
Units:               Thousands of Persons
Date Range:          1990-01-01 to 2018-11-01
Last Updated:        2018-12-24 12:33 PM CST
Notes:               The data services of the Federal Reserve Bank of St. Louis include
                     series that are seasonally adjusted. To make these adjustments, we use
                     the X-12 Procedure of SAS to remove the seasonal component of the
                     series so that non-seasonal trends can be analyzed. This procedure is
                     based on the U.S. Bureau of the Census X-12-ARIMA Seasonal Adjustment
                     Program. More information on this program can be found at
                     http://www.census.gov/srd/www/x12a/.
                     The seasonal moving average function used is that of the Census
                     Bureau’s X-11-ARIMA program. This includes a 3x3 moving average for
                     the initial seasonal factors and a 3x5 moving average to calculate the
                     final seasonal factors. The D11 function is also used to output the
                     entire seasonally adjusted series that is displayed. For specific
                     information on the SAS X-12 procedure, please visit their website:
                     http://support.sas.com/documentation/cdl/en/etsug/60372/HTML/default/viewer.htm#etsug_x12_sect001.htm.

DATE        VALUE
1990-01-01   60.0
1990-02-01   60.3
1990-03-01   60.2
1990-04-01   60.1
1990-05-01   60.1
1990-06-01   59.9
1990-07-01   59.9
1990-08-01   59.6
1990-09-01   59.6
1990-10-01   59.9
1990-11-01   59.7
1990-12-01   59.6
1991-01-01   59.3
1991-02-01   59.0
1991-03-01   58.7
1991-04-01   59.3
1991-05-01   59.5
1991-06-01   59.3
1991-07-01   59.2
1991-08-01   59.8
1991-09-01   59.9
1991-10-01   59.4
1991-11-01   59.2
1991-12-01   59.0
1992-01-01   59.4
1992-02-01   59.3
1992-03-01   59.5
1992-04-01   59.8
1992-05-01   59.5
1992-06-01   60.0
1992-07-01   59.8
1992-08-01   59.9
1992-09-01   60.0
1992-10-01   59.6
1992-11-01   59.5
1992-12-01   59.7
1993-01-01   59.9
1993-02-01   60.1
1993-03-01   60.0
1993-04-01   59.8
1993-05-01   60.0
1993-06-01   60.1
1993-07-01   60.8
1993-08-01   61.3
1993-09-01   61.7
1993-10-01   62.1
1993-11-01   62.4
1993-12-01   62.8
1994-01-01   63.3
1994-02-01   63.6
1994-03-01   63.6
1994-04-01   64.4
1994-05-01   64.4
1994-06-01   64.9
1994-07-01   65.0
1994-08-01   65.1
1994-09-01   65.2
1994-10-01   65.8
1994-11-01   66.5
1994-12-01   66.7
1995-01-01   66.9
1995-02-01   67.2
1995-03-01   67.4
1995-04-01   67.8
1995-05-01   68.2
1995-06-01   68.1
1995-07-01   67.6
1995-08-01   68.2
1995-09-01   68.9
1995-10-01   70.1
1995-11-01   70.4
1995-12-01   70.7
1996-01-01   70.8
1996-02-01   71.4
1996-03-01   71.9
1996-04-01   71.9
1996-05-01   72.3
1996-06-01   72.7
1996-07-01   73.5
1996-08-01   74.1
1996-09-01   73.8
1996-10-01   74.4
1996-11-01   74.5
1996-12-01   74.8
1997-01-01   75.4
1997-02-01   75.4
1997-03-01   75.9
1997-04-01   75.6
1997-05-01   76.0
1997-06-01   76.3
1997-07-01   76.5
1997-08-01   77.1
1997-09-01   77.5
1997-10-01   77.3
1997-11-01   78.3
1997-12-01   77.6
1998-01-01   77.0
1998-02-01   77.8
1998-03-01   77.6
1998-04-01   79.0
1998-05-01   79.3
1998-06-01   79.7
1998-07-01   79.5
1998-08-01   79.5
1998-09-01   80.3
1998-10-01   79.9
1998-11-01   80.4
1998-12-01   80.8
1999-01-01   80.9
1999-02-01   81.5
1999-03-01   81.4
1999-04-01   81.6
1999-05-01   81.7
1999-06-01   82.3
1999-07-01   83.0
1999-08-01   83.1
1999-09-01   83.3
1999-10-01   84.0
1999-11-01   84.3
