Title:               Civilian Labor Force in Rocky Mount, NC (MSA)
Series ID:           ROCK537LFN
Source:              U.S. Bureau of Labor Statistics
Release:             Metropolitan Area Employment and Unemployment
Seasonal Adjustment: Not Seasonally Adjusted
Frequency:           Monthly
Units:               Persons
Date Range:          1990-01-01 to 2018-11-01
Last Updated:        2019-01-03 10:14 AM CST
Notes:               

DATE        VALUE
1990-01-01  68427
1990-02-01  68843
1990-03-01  68982
1990-04-01  69490
1990-05-01  70912
1990-06-01  70850
1990-07-01  70449
1990-08-01  69924
1990-09-01  69676
1990-10-01  69288
1990-11-01  69604
1990-12-01  69702
1991-01-01  71032
1991-02-01  71037
1991-03-01  71595
1991-04-01  72442
1991-05-01  72553
1991-06-01  73172
1991-07-01  72990
1991-08-01  71634
1991-09-01  72071
1991-10-01  71514
1991-11-01  71471
1991-12-01  70381
1992-01-01  70926
1992-02-01  71940
1992-03-01  71214
1992-04-01  70891
1992-05-01  72170
1992-06-01  73624
1992-07-01  73876
1992-08-01  73182
1992-09-01  72164
1992-10-01  72096
1992-11-01  72035
1992-12-01  70966
1993-01-01  70173
1993-02-01  71229
1993-03-01  70600
1993-04-01  70233
1993-05-01  71289
1993-06-01  72150
1993-07-01  71907
1993-08-01  72013
1993-09-01  71265
1993-10-01  74190
1993-11-01  70690
1993-12-01  70408
1994-01-01  68302
1994-02-01  68809
1994-03-01  68992
1994-04-01  68927
1994-05-01  70506
1994-06-01  71034
1994-07-01  70872
1994-08-01  71013
1994-09-01  70984
1994-10-01  71575
1994-11-01  70627
1994-12-01  69974
1995-01-01  70343
1995-02-01  70656
1995-03-01  70907
1995-04-01  70949
1995-05-01  71351
1995-06-01  72680
1995-07-01  72853
1995-08-01  73304
1995-09-01  72561
1995-10-01  72892
1995-11-01  73026
1995-12-01  72480
1996-01-01  72000
1996-02-01  72381
1996-03-01  73027
1996-04-01  72762
1996-05-01  74975
1996-06-01  75622
1996-07-01  79065
1996-08-01  78166
1996-09-01  77096
