Title:               Return on Average Assets for Commercial Banks with Assets under $5B in Greensboro-High Point, NC (MSA)
Series ID:           ROAGNS
Source:              Federal Financial Institutions Examination Council (US)
Release:             Reports of Condition and Income for All Insured U.S. Commercial Banks
Seasonal Adjustment: Not Seasonally Adjusted
Frequency:           Quarterly
Units:               Percent
Date Range:          1989-01-01 to 2018-07-01
Last Updated:        2018-12-13 11:04 AM CST
Notes:               This series is a ratio of Net Income call item RIAD4340 to Quarterly
                     Average of Total Assets call item RCFD3368.
                     
                     The asset class is determined by using Total Assets call item RCFD2170
                     less than or equal to $5B. Geographic location is determined by
                     Abbreviated State Name call item RSSD9200 and County Code call item
                     RSSD9150, which is mapped to the proper Core Based Statistical Area
                     (CBSA) defined by the Office of Management and Budget (OMB).
                     
                     Data are annualized.
                     
                     For more information and definition about the specific call item
                     codes, please see
                     http://www.federalreserve.gov/apps/mdrm/data-dictionary.
                     This series is calculated by the Federal Reserve Bank of St. Louis
                     using raw data that are collected by the FFIEC. Raw data can be found
                     at https://cdr.ffiec.gov/public/.

DATE                VALUE
1989-01-01   1.0522972202
1989-04-01   0.9116604883
1989-07-01   0.8332960383
1989-10-01   0.5291585426
1990-01-01   0.8320055288
1990-04-01   0.8899772969
1990-07-01   0.8726056745
1990-10-01   0.6480697996
1991-01-01   0.7720974033
1991-04-01   0.8344086338
1991-07-01   0.8187712835
1991-10-01   0.6838730918
1992-01-01   0.9142158955
1992-04-01   0.6303159749
1992-07-01   0.7105163315
1992-10-01   0.6934698909
1993-01-01   1.0177104178
1993-04-01   0.9073110645
1993-07-01   0.8920377800
1993-10-01   0.9970062962
1994-01-01   0.9318977093
1994-04-01   0.9810596248
1994-07-01   1.0143876770
1994-10-01   1.0037741961
1995-01-01   0.9815166381
1995-04-01   1.0080296557
1995-07-01   1.0434211024
1995-10-01   1.0551158505
1996-01-01   1.1472436627
1996-04-01   1.1693583255
1996-07-01   1.0845687544
1996-10-01   0.9740323628
1997-01-01   1.0369224323
1997-04-01   1.0292311703
1997-07-01   1.0569491201
1997-10-01   0.9903692149
1998-01-01   1.0569931758
1998-04-01   1.0442347579
1998-07-01   1.0669610251
1998-10-01   1.0445193014
1999-01-01   1.0554779786
1999-04-01   1.0696241246
1999-07-01   1.0771228050
1999-10-01   1.0608536970
2000-01-01   1.1702190755
2000-04-01   0.7857435802
2000-07-01   0.6597899963
2000-10-01   0.5060301705
2001-01-01   0.6743159707
2001-04-01   0.5451878450
2001-07-01   0.5691440001
2001-10-01   0.5374330421
2002-01-01   0.6463047297
2002-04-01   0.7848201081
2002-07-01   0.7855539866
2002-10-01   0.7741351770
2003-01-01   0.9162626538
2003-04-01   0.8626069767
2003-07-01   0.8883596492
2003-10-01   0.8905605879
2004-01-01   0.9158315872
2004-04-01   0.8168217958
2004-07-01   0.8285787777
2004-10-01   0.7984917139
2005-01-01   0.9295172603
2005-04-01   0.8996644682
2005-07-01   0.8899020876
2005-10-01   0.6707190333
2006-01-01   0.9467412470
2006-04-01   0.9550172752
2006-07-01   0.8634904375
2006-10-01   0.8825658719
2007-01-01   0.7595898215
2007-04-01   0.9267496144
2007-07-01   0.6959700841
2007-10-01   0.7545722626
2008-01-01   0.6179437970
2008-04-01   0.3672877884
2008-07-01   0.2518594937
2008-10-01  -1.2359741184
2009-01-01  -0.3427321540
2009-04-01  -0.3021379734
2009-07-01  -2.2413668050
2009-10-01  -2.3474332702
2010-01-01  -0.1095800705
2010-04-01  -1.2676748803
2010-07-01  -2.6159621987
2010-10-01  -3.1565307215
2011-01-01  -4.1249177068
2011-04-01  -4.5248939180
2011-07-01  -3.5994669465
2011-10-01  -3.4909293215
2012-01-01  -0.5941329638
2012-04-01  -0.8130570546
2012-07-01  -1.3773549044
2012-10-01  -1.0328664421
2013-01-01   0.2745542602
2013-04-01   0.5315963409
2013-07-01   0.5008808674
2013-10-01   0.5449856953
2014-01-01   0.4973291117
2014-04-01   0.4719934635
2014-07-01   0.5360081921
2014-10-01   2.6750704853
2015-01-01   0.6276465314
2015-04-01   0.6768052429
2015-07-01   0.6854706270
2015-10-01   0.5867258194
2016-01-01   0.7415378823
2016-04-01   0.7570174331
2016-07-01   0.6979183817
2016-10-01   0.8234472622
2017-01-01   0.7624540647
2017-04-01   0.8084110861
2017-07-01   0.8164455460
2017-10-01   0.7925922739
2018-01-01   1.0224828428
2018-04-01   1.0024049255
2018-07-01   0.9924672287
