Title:               Return on Average Assets for Commercial Banks with Assets under $5B in Virginia Beach-Norfolk-Newport News, VA-NC (MSA)
Series ID:           ROANFK
Source:              Federal Financial Institutions Examination Council (US)
Release:             Reports of Condition and Income for All Insured U.S. Commercial Banks
Seasonal Adjustment: Not Seasonally Adjusted
Frequency:           Quarterly, End of Quarter
Units:               Percent
Date Range:          1989-01-01 to 2018-07-01
Last Updated:        2018-12-13 11:01 AM CST
Notes:               This series is a ratio of Net Income call item RIAD4340 to Quarterly
                     Average of Total Assets call item RCFD3368.
                     
                     The asset class is determined by using Total Assets call item RCFD2170
                     less than or equal to $5B. Geographic location is determined by
                     Abbreviated State Name call item RSSD9200 and County Code call item
                     RSSD9150, which is mapped to the proper Core Based Statistical Area
                     (CBSA) defined by the Office of Management and Budget (OMB).
                     
                     Data are annualized.
                     
                     For more information and definition about the specific call item
                     codes, please see
                     http://www.federalreserve.gov/apps/mdrm/data-dictionary.
                     This series is calculated by the Federal Reserve Bank of St. Louis
                     using raw data that are collected by the FFIEC. Raw data can be found
                     at https://cdr.ffiec.gov/public/.

DATE                VALUE
1989-01-01   1.2050823677
1989-04-01   1.1575403081
1989-07-01   1.0515499789
1989-10-01   0.9381062178
1990-01-01   0.2885370931
1990-04-01   0.5172786717
1990-07-01   0.4028121841
1990-10-01   0.2280728031
1991-01-01   0.6999021522
1991-04-01   0.5529540213
1991-07-01   0.6626894391
1991-10-01   0.3421832391
1992-01-01   0.9165846979
1992-04-01   0.9363909416
1992-07-01   0.9090055346
1992-10-01   0.8991722321
1993-01-01   1.1742133677
1993-04-01   1.1495118273
1993-07-01   1.1153221721
1993-10-01   1.0910432119
1994-01-01   1.1530150913
1994-04-01   1.1636736797
1994-07-01   1.1810920561
1994-10-01   1.1807311185
1995-01-01   0.4074725742
1995-04-01   0.7898194341
1995-07-01   0.9030347702
1995-10-01   0.9489050293
1996-01-01   1.3024097590
1996-04-01   1.2933106712
1996-07-01   1.2716816455
1996-10-01   1.2878955818
1997-01-01   1.2157413285
1997-04-01   1.2313183342
1997-07-01   1.2404688452
1997-10-01   1.2366925927
1998-01-01   1.2656040724
1998-04-01   1.0038152659
1998-07-01   1.0577078566
1998-10-01   1.1200571800
1999-01-01   0.7234197413
1999-04-01   0.8342340680
1999-07-01   0.7747891110
1999-10-01   0.7863868364
2000-01-01   1.0832110908
2000-04-01   1.0635690575
2000-07-01   1.1044153548
2000-10-01   1.0705916118
2001-01-01   1.0057342579
2001-04-01   0.9485701397
2001-07-01   0.7999535619
2001-10-01   0.8449205463
2002-01-01   1.0808426613
2002-04-01   1.0798766148
2002-07-01   1.1162925281
2002-10-01   1.0964818322
2003-01-01   1.1537248381
2003-04-01   1.1731933635
2003-07-01   1.0651147118
2003-10-01   0.9939415856
2004-01-01   0.6726672123
2004-04-01   0.8167695641
2004-07-01   0.8835594020
2004-10-01   0.9327000170
2005-01-01   1.1404834181
2005-04-01   1.1233536800
2005-07-01   1.0820320329
2005-10-01   1.0325863459
2006-01-01   1.0115668448
2006-04-01   0.9731178992
2006-07-01   0.9863997559
2006-10-01   0.9897662018
2007-01-01   0.7529522369
2007-04-01   0.7616374417
2007-07-01   0.6010173844
2007-10-01   0.6165633339
2008-01-01   0.8598957069
2008-04-01   0.8293893342
2008-07-01   0.5821557132
2008-10-01   0.5123441435
2009-01-01   0.6242071163
2009-04-01   0.1098398550
2009-07-01  -0.3022866366
2009-10-01  -1.6655441871
2010-01-01  -1.3394121039
2010-04-01  -1.4975219086
2010-07-01  -2.0419763007
2010-10-01  -2.1174963381
2011-01-01  -0.9998587804
2011-04-01  -1.1477705524
2011-07-01  -0.5844316062
2011-10-01  -0.5347041054
2012-01-01   0.3062369745
2012-04-01   0.3696556700
2012-07-01   0.3794408780
2012-10-01   0.3774231385
2013-01-01   0.7702649343
2013-04-01   0.7794042524
2013-07-01   0.7956217549
2013-10-01   0.7585938016
2014-01-01   0.9168876540
2014-04-01   0.8777827056
2014-07-01   0.8660075313
2014-10-01   0.8220322027
2015-01-01   0.7447269715
2015-04-01   0.7827111682
2015-07-01   0.7487983212
2015-10-01   2.4766259979
2016-01-01   0.7330154432
2016-04-01   0.5585665556
2016-07-01   0.6261354635
2016-10-01   0.6761381771
2017-01-01   0.7051870474
2017-04-01   0.6812280957
2017-07-01   0.6635943148
2017-10-01   0.3244472507
2018-01-01   0.1919843199
2018-04-01   0.6545021817
2018-07-01   0.7262389682
