Title:               Real Trade-Weighted Value of the dollar for North Carolina
Series ID:           RTWVDNC684NMFRBDAL
Source:              Federal Reserve Bank of Dallas
Release:             Real Trade-Weighted Value of the Dollar by U.S. State
Seasonal Adjustment: Not Seasonally Adjusted
Frequency:           Monthly
Units:               Index Jan 1988=100
Date Range:          1988-01-01 to 2018-10-01
Last Updated:        2018-12-14 8:41 AM CST
Notes:               These indexes calculate the inflation-adjusted value of the U.S.
                     dollar against the currencies of countries to which the state exports.
                     The real exchange rates are aggregated across countries for each state
                     using the annual average export share to the country. For the most
                     recent year where export share data is not available, the prior year'
                     number is used instead. The indexes should allow analysts to more
                     precisely identify the exchange rate movements that most affect demand
                     for a state's exports. For more information visit
                     http://www.dallasfed.org/research/econdata/rtwvd.cfm.

DATE           VALUE
1988-01-01  100.0000
1988-02-01  100.7127
1988-03-01   99.4111
1988-04-01   98.6172
1988-05-01   98.9155
1988-06-01  100.4547
1988-07-01  102.8597
1988-08-01  103.8580
1988-09-01  104.1551
1988-10-01  101.9840
1988-11-01   99.5556
1988-12-01   99.0079
1989-01-01  100.8620
1989-02-01  101.2882
1989-03-01  103.1157
1989-04-01  102.9877
1989-05-01  105.4341
1989-06-01  107.4001
1989-07-01  104.8918
1989-08-01  105.3404
1989-09-01  106.1975
1989-10-01  104.3386
1989-11-01  104.2476
1989-12-01  102.6418
1990-01-01  102.2139
1990-02-01  102.1987
1990-03-01  103.6596
1990-04-01  103.0147
1990-05-01  101.8419
1990-06-01  102.4054
1990-07-01  100.4799
1990-08-01   98.9060
1990-09-01   98.4129
1990-10-01   96.2243
1990-11-01   95.4965
1990-12-01   96.4012
1991-01-01   96.1067
1991-02-01   95.0837
1991-03-01   98.4093
1991-04-01   99.5866
1991-05-01   99.9739
1991-06-01  101.3792
1991-07-01  101.2635
1991-08-01  100.2475
1991-09-01   99.0641
1991-10-01   98.1573
1991-11-01   96.6964
1991-12-01   95.8671
1992-01-01   95.6481
1992-02-01   96.8876
1992-03-01   98.5022
1992-04-01   98.4447
1992-05-01   97.7394
1992-06-01   96.6738
1992-07-01   95.3121
1992-08-01   94.7761
1992-09-01   95.3481
1992-10-01   97.2072
1992-11-01  100.0267
1992-12-01   99.9894
1993-01-01  100.8451
1993-02-01  100.7957
1993-03-01  100.1472
1993-04-01   98.6760
1993-05-01   98.6335
1993-06-01   99.3605
1993-07-01  100.2992
1993-08-01  100.5008
1993-09-01  100.1102
1993-10-01  101.0455
1993-11-01  101.7241
1993-12-01  101.9623
1994-01-01  102.5699
1994-02-01  102.6626
1994-03-01  102.9838
1994-04-01  103.4276
1994-05-01  102.6139
1994-06-01  102.0211
1994-07-01  100.9134
1994-08-01  100.8564
1994-09-01   99.9416
1994-10-01   99.2204
1994-11-01   99.6298
1994-12-01  101.3643
1995-01-01  102.6086
1995-02-01  101.8079
1995-03-01  100.8741
1995-04-01   97.9641
1995-05-01   97.5274
1995-06-01   97.7060
1995-07-01   97.2375
1995-08-01   98.9815
1995-09-01   99.7324
1995-10-01   99.6134
1995-11-01  100.5173
1995-12-01  100.8207
1996-01-01  101.4697
1996-02-01  101.3602
1996-03-01  101.4972
1996-04-01  101.5553
1996-05-01  101.7430
1996-06-01  101.7633
1996-07-01  101.6210
1996-08-01  101.0833
1996-09-01  101.5004
1996-10-01  101.7752
1996-11-01  101.1368
1996-12-01  101.9169
1997-01-01  102.6245
1997-02-01  104.2408
1997-03-01  105.2452
1997-04-01  105.7576
1997-05-01  104.4849
1997-06-01  104.3543
1997-07-01  105.0423
1997-08-01  106.4251
1997-09-01  106.3081
1997-10-01  106.3800
1997-11-01  107.6169
1997-12-01  109.7928
1998-01-01  111.0642
1998-02-01  110.2422
1998-03-01  110.0633
1998-04-01  110.2100
1998-05-01  110.6131
1998-06-01  112.3664
1998-07-01  113.0012
1998-08-01  114.9101
1998-09-01  113.1013
1998-10-01  110.9819
1998-11-01  111.1119
1998-12-01  110.4434
1999-01-01  110.2863
1999-02-01  111.2057
1999-03-01  112.4647
1999-04-01  111.8311
1999-05-01  111.1398
1999-06-01  112.0178
1999-07-01  112.5434
1999-08-01  111.5340
1999-09-01  110.8844
1999-10-01  110.3960
1999-11-01  110.7784
1999-12-01  110.7277
2000-01-01  110.3425
2000-02-01  111.7199
2000-03-01  112.5206
2000-04-01  113.1262
2000-05-01  115.5242
2000-06-01  114.5018
2000-07-01  114.5339
2000-08-01  115.0646
2000-09-01  116.4600
2000-10-01  118.1350
2000-11-01  118.9392
2000-12-01  117.2411
2001-01-01  117.4363
2001-02-01  118.4584
2001-03-01  120.3458
2001-04-01  120.8826
2001-05-01  120.5401
2001-06-01  121.1241
2001-07-01  121.3327
2001-08-01  119.8173
2001-09-01  120.6026
2001-10-01  121.0239
2001-11-01  121.6349
2001-12-01  120.9774
2002-01-01  122.1318
2002-02-01  122.5303
2002-03-01  122.1022
2002-04-01  121.8400
2002-05-01  120.1545
2002-06-01  118.7400
2002-07-01  117.4087
2002-08-01  118.7100
2002-09-01  119.4478
2002-10-01  120.1867
2002-11-01  118.9531
2002-12-01  117.9643
2003-01-01  116.4493
2003-02-01  116.5380
2003-03-01  116.6744
2003-04-01  115.7155
2003-05-01  111.8892
2003-06-01  111.5361
2003-07-01  113.1217
2003-08-01  114.2858
2003-09-01  113.0036
2003-10-01  110.7312
2003-11-01  110.1003
2003-12-01  108.4550
2004-01-01  107.1622
2004-02-01  108.0844
2004-03-01  109.1711
2004-04-01  109.9067
2004-05-01  112.2584
2004-06-01  111.3218
2004-07-01  109.7458
2004-08-01  109.4636
2004-09-01  108.7221
2004-10-01  106.9556
2004-11-01  103.8665
2004-12-01  102.7333
2005-01-01  103.5543
2005-02-01  104.0225
2005-03-01  103.5757
2005-04-01  104.9640
2005-05-01  105.4630
2005-06-01  106.1174
2005-07-01  106.4199
2005-08-01  105.2778
2005-09-01  105.7434
2005-10-01  107.0520
2005-11-01  107.1120
2005-12-01  105.6930
2006-01-01  104.9995
2006-02-01  105.0938
2006-03-01  105.6542
2006-04-01  105.3418
2006-05-01  103.2438
2006-06-01  104.5175
2006-07-01  104.5757
2006-08-01  103.6424
2006-09-01  103.6228
2006-10-01  103.7290
2006-11-01  102.7983
2006-12-01  102.2065
2007-01-01  103.5153
2007-02-01  103.2528
2007-03-01  103.3055
2007-04-01  101.9817
2007-05-01  101.1327
2007-06-01  100.5850
2007-07-01   98.9809
2007-08-01   99.0383
2007-09-01   97.7547
2007-10-01   95.5064
2007-11-01   94.3529
2007-12-01   95.2822
2008-01-01   94.6158
2008-02-01   93.4282
2008-03-01   91.7203
2008-04-01   91.3261
2008-05-01   92.1483
2008-06-01   92.3315
2008-07-01   91.4717
2008-08-01   92.9760
2008-09-01   95.6220
2008-10-01  100.2714
2008-11-01  101.1202
2008-12-01   98.6854
2009-01-01   99.4534
2009-02-01  101.8041
2009-03-01  102.5270
2009-04-01   99.9949
2009-05-01   96.7144
2009-06-01   95.7535
2009-07-01   95.1139
2009-08-01   93.5478
2009-09-01   92.8630
2009-10-01   91.4516
2009-11-01   90.9381
2009-12-01   91.1770
2010-01-01   91.1763
2010-02-01   92.0272
2010-03-01   91.4015
2010-04-01   90.7301
2010-05-01   93.3125
2010-06-01   93.6850
2010-07-01   92.1054
2010-08-01   91.3041
2010-09-01   90.6404
2010-10-01   88.2087
2010-11-01   88.2056
2010-12-01   88.7341
2011-01-01   87.8114
2011-02-01   87.1416
2011-03-01   86.7829
2011-04-01   85.5447
2011-05-01   85.8519
2011-06-01   85.9447
2011-07-01   84.9570
2011-08-01   85.7693
2011-09-01   88.0810
2011-10-01   88.7981
2011-11-01   88.9985
2011-12-01   89.4271
2012-01-01   88.9318
2012-02-01   87.4686
2012-03-01   88.2881
2012-04-01   88.3830
2012-05-01   89.8262
2012-06-01   91.0882
2012-07-01   90.0867
2012-08-01   89.2946
2012-09-01   88.5133
2012-10-01   88.3711
2012-11-01   88.6682
2012-12-01   87.8890
2013-01-01   87.8675
2013-02-01   88.6383
2013-03-01   89.7056
2013-04-01   89.2065
2013-05-01   89.6866
2013-06-01   90.5843
2013-07-01   90.8594
2013-08-01   90.7011
2013-09-01   90.6203
2013-10-01   89.6648
2013-11-01   90.1980
2013-12-01   90.4599
2014-01-01   91.5376
2014-02-01   91.5728
2014-03-01   91.7345
2014-04-01   91.0960
2014-05-01   90.8855
2014-06-01   91.0242
2014-07-01   90.4773
2014-08-01   91.2857
2014-09-01   92.6280
2014-10-01   93.7644
2014-11-01   94.7655
2014-12-01   96.2290
2015-01-01   98.4874
2015-02-01   99.9883
2015-03-01  102.1838
2015-04-01  101.5241
2015-05-01  100.8239
2015-06-01  101.7917
2015-07-01  103.5284
2015-08-01  104.8883
2015-09-01  105.6691
2015-10-01  104.6899
2015-11-01  105.9460
2015-12-01  106.7703
2016-01-01  108.9958
2016-02-01  107.5640
2016-03-01  105.5815
2016-04-01  104.0869
2016-05-01  105.1819
2016-06-01  105.6809
2016-07-01  106.1293
2016-08-01  105.3707
2016-09-01  106.3469
2016-10-01  107.5230
2016-11-01  109.4456
2016-12-01  110.7189
2017-01-01  110.7414
2017-02-01  109.4583
2017-03-01  109.2195
2017-04-01  108.4526
2017-05-01  108.1663
2017-06-01  106.7025
2017-07-01  104.2848
2017-08-01  103.1802
2017-09-01  102.6772
2017-10-01  104.5228
2017-11-01  104.8935
2017-12-01  104.3598
2018-01-01  102.3768
2018-02-01  101.7813
2018-03-01  102.6614
2018-04-01  102.5831
2018-05-01  105.5530
2018-06-01  107.1463
2018-07-01  106.4851
2018-08-01  106.6749
2018-09-01  107.0579
2018-10-01  107.5178
