Title:               All Employees: Leisure and Hospitality in North Carolina
Series ID:           NCLEIHN
Source:              U.S. Bureau of Labor Statistics
Release:             State Employment and Unemployment
Seasonal Adjustment: Not Seasonally Adjusted
Frequency:           Monthly
Units:               Thousands of Persons
Date Range:          1990-01-01 to 2018-11-01
Last Updated:        2018-12-24 12:32 PM CST
Notes:               

DATE        VALUE
1990-01-01  220.4
1990-02-01  224.7
1990-03-01  229.6
1990-04-01  238.5
1990-05-01  245.9
1990-06-01  253.8
1990-07-01  253.4
1990-08-01  255.8
1990-09-01  249.7
1990-10-01  241.8
1990-11-01  237.0
1990-12-01  234.0
1991-01-01  221.6
1991-02-01  222.6
1991-03-01  227.7
1991-04-01  236.5
1991-05-01  246.8
1991-06-01  252.6
1991-07-01  252.7
1991-08-01  253.8
1991-09-01  246.5
1991-10-01  243.1
1991-11-01  237.4
1991-12-01  234.3
1992-01-01  227.3
1992-02-01  229.9
1992-03-01  236.3
1992-04-01  244.4
1992-05-01  255.7
1992-06-01  262.2
1992-07-01  263.7
1992-08-01  265.6
1992-09-01  260.5
1992-10-01  254.8
1992-11-01  250.4
1992-12-01  247.5
1993-01-01  238.0
1993-02-01  242.7
1993-03-01  247.1
1993-04-01  258.9
1993-05-01  268.1
1993-06-01  273.5
1993-07-01  275.6
1993-08-01  276.3
1993-09-01  268.9
1993-10-01  264.6
1993-11-01  259.7
1993-12-01  257.1
1994-01-01  247.9
1994-02-01  249.6
1994-03-01  256.1
1994-04-01  266.3
1994-05-01  274.7
1994-06-01  283.1
1994-07-01  285.1
1994-08-01  287.2
1994-09-01  281.7
1994-10-01  274.7
1994-11-01  271.2
1994-12-01  268.8
1995-01-01  258.8
1995-02-01  261.8
1995-03-01  267.7
1995-04-01  277.6
1995-05-01  288.0
1995-06-01  298.1
1995-07-01  298.2
1995-08-01  298.7
1995-09-01  292.4
1995-10-01  286.6
1995-11-01  283.2
1995-12-01  279.7
1996-01-01  266.8
1996-02-01  270.9
1996-03-01  279.8
1996-04-01  288.0
1996-05-01  300.1
1996-06-01  305.8
1996-07-01  305.0
1996-08-01  306.2
1996-09-01  299.4
1996-10-01  293.7
1996-11-01  288.7
1996-12-01  287.7
1997-01-01  278.0
1997-02-01  281.5
1997-03-01  289.5
1997-04-01  300.3
1997-05-01  312.7
1997-06-01  318.9
1997-07-01  314.3
1997-08-01  315.7
1997-09-01  310.7
1997-10-01  300.3
1997-11-01  298.6
1997-12-01  297.6
1998-01-01  289.6
1998-02-01  292.6
1998-03-01  301.0
1998-04-01  304.9
1998-05-01  316.4
1998-06-01  324.9
1998-07-01  324.6
1998-08-01  325.6
1998-09-01  317.8
1998-10-01  312.9
1998-11-01  309.4
1998-12-01  307.7
1999-01-01  295.7
1999-02-01  300.4
1999-03-01  307.1
1999-04-01  318.1
1999-05-01  326.1
1999-06-01  332.5
1999-07-01  337.1
1999-08-01  335.8
1999-09-01  328.3
1999-10-01  327.1
1999-11-01  322.6
1999-12-01  322.0
2000-01-01  307.1
2000-02-01  309.2
2000-03-01  317.5
2000-04-01  326.9
2000-05-01  336.6
2000-06-01  345.3
2000-07-01  342.8
2000-08-01  342.3
2000-09-01  335.2
2000-10-01  329.4
2000-11-01  324.0
2000-12-01  321.2
2001-01-01  313.4
2001-02-01  316.8
2001-03-01  324.0
2001-04-01  332.9
2001-05-01  341.9
2001-06-01  350.2
2001-07-01  347.1
2001-08-01  347.6
2001-09-01  337.5
2001-10-01  329.0
2001-11-01  323.5
2001-12-01  319.3
2002-01-01  312.6
2002-02-01  316.3
2002-03-01  325.3
2002-04-01  339.4
2002-05-01  349.6
2002-06-01  357.5
2002-07-01  357.7
2002-08-01  357.6
2002-09-01  350.1
2002-10-01  341.4
2002-11-01  336.1
2002-12-01  333.9
2003-01-01  320.2
2003-02-01  320.6
2003-03-01  327.9
2003-04-01  340.3
2003-05-01  352.6
2003-06-01  359.3
2003-07-01  357.9
2003-08-01  359.8
2003-09-01  352.1
2003-10-01  346.2
2003-11-01  343.4
2003-12-01  341.8
2004-01-01  327.2
2004-02-01  329.2
2004-03-01  337.9
2004-04-01  352.0
2004-05-01  363.5
2004-06-01  370.4
2004-07-01  374.0
2004-08-01  375.0
2004-09-01  366.6
2004-10-01  358.4
2004-11-01  354.3
2004-12-01  353.0
2005-01-01  339.1
2005-02-01  341.0
2005-03-01  350.6
2005-04-01  360.1
2005-05-01  370.0
2005-06-01  378.8
2005-07-01  379.1
2005-08-01  379.7
2005-09-01  372.5
2005-10-01  366.3
2005-11-01  363.2
2005-12-01  360.5
2006-01-01  350.6
2006-02-01  354.3
2006-03-01  363.5
2006-04-01  378.2
2006-05-01  389.6
2006-06-01  397.8
2006-07-01  402.7
2006-08-01  402.3
2006-09-01  395.5
2006-10-01  392.0
2006-11-01  390.3
2006-12-01  388.4
2007-01-01  374.2
2007-02-01  378.0
2007-03-01  388.2
2007-04-01  396.0
2007-05-01  409.8
2007-06-01  418.7
2007-07-01  417.1
2007-08-01  419.0
2007-09-01  410.6
2007-10-01  404.0
2007-11-01  401.3
2007-12-01  398.9
2008-01-01  386.1
2008-02-01  390.7
2008-03-01  399.1
2008-04-01  404.7
2008-05-01  416.8
2008-06-01  422.3
2008-07-01  424.2
2008-08-01  424.5
2008-09-01  415.6
2008-10-01  404.2
2008-11-01  396.3
2008-12-01  393.0
2009-01-01  375.7
2009-02-01  378.1
2009-03-01  384.2
2009-04-01  391.7
2009-05-01  406.1
2009-06-01  411.5
2009-07-01  411.6
2009-08-01  410.3
2009-09-01  402.9
2009-10-01  391.0
2009-11-01  385.4
2009-12-01  380.7
2010-01-01  365.6
2010-02-01  366.7
2010-03-01  376.2
2010-04-01  388.8
2010-05-01  400.4
2010-06-01  410.2
2010-07-01  412.3
2010-08-01  413.1
2010-09-01  406.1
2010-10-01  398.5
2010-11-01  393.2
2010-12-01  386.9
2011-01-01  371.1
2011-02-01  376.4
2011-03-01  387.3
2011-04-01  400.3
2011-05-01  411.7
2011-06-01  421.4
2011-07-01  420.2
2011-08-01  421.7
2011-09-01  411.9
2011-10-01  404.9
2011-11-01  400.4
2011-12-01  396.2
2012-01-01  384.5
2012-02-01  388.4
2012-03-01  400.4
2012-04-01  413.5
2012-05-01  425.9
2012-06-01  434.4
2012-07-01  437.5
2012-08-01  439.2
2012-09-01  427.4
2012-10-01  421.3
2012-11-01  415.6
2012-12-01  412.1
2013-01-01  400.4
2013-02-01  403.0
2013-03-01  413.4
2013-04-01  428.1
2013-05-01  440.3
2013-06-01  451.6
2013-07-01  453.2
2013-08-01  453.1
2013-09-01  442.5
2013-10-01  437.1
2013-11-01  432.2
2013-12-01  430.4
2014-01-01  415.7
2014-02-01  413.3
2014-03-01  426.2
2014-04-01  442.1
2014-05-01  457.8
2014-06-01  466.2
2014-07-01  465.2
2014-08-01  465.2
2014-09-01  454.7
2014-10-01  449.9
2014-11-01  443.9
2014-12-01  441.7
2015-01-01  430.3
2015-02-01  432.9
2015-03-01  440.7
2015-04-01  454.2
2015-05-01  470.5
2015-06-01  481.7
2015-07-01  482.1
2015-08-01  480.4
2015-09-01  470.0
2015-10-01  466.2
2015-11-01  460.5
2015-12-01  459.3
2016-01-01  448.8
2016-02-01  452.1
2016-03-01  462.8
2016-04-01  479.8
2016-05-01  492.8
2016-06-01  502.4
2016-07-01  500.8
2016-08-01  499.9
2016-09-01  488.6
2016-10-01  483.0
2016-11-01  479.8
2016-12-01  475.5
2017-01-01  461.5
2017-02-01  468.1
2017-03-01  478.4
2017-04-01  489.8
2017-05-01  507.0
2017-06-01  517.2
2017-07-01  516.1
2017-08-01  516.1
2017-09-01  499.9
2017-10-01  494.9
2017-11-01  487.1
2017-12-01  483.9
2018-01-01  470.6
2018-02-01  474.2
2018-03-01  484.7
2018-04-01  496.5
2018-05-01  511.8
2018-06-01  534.2
2018-07-01  533.3
2018-08-01  528.2
2018-09-01  496.0
2018-10-01  501.8
2018-11-01  496.1
