Title:               Civilian Labor Force in North Carolina
Series ID:           NCLF
Source:              U.S. Bureau of Labor Statistics
Release:             State Employment and Unemployment
Seasonal Adjustment: Seasonally Adjusted
Frequency:           Monthly
Units:               Persons
Date Range:          1976-01-01 to 2018-11-01
Last Updated:        2018-12-24 12:51 PM CST
Notes:               

DATE           VALUE
1976-01-01   2596329
1976-02-01   2595355
1976-03-01   2595712
1976-04-01   2599283
1976-05-01   2604867
1976-06-01   2611298
1976-07-01   2616425
1976-08-01   2619902
1976-09-01   2621444
1976-10-01   2621194
1976-11-01   2620587
1976-12-01   2621032
1977-01-01   2624989
1977-02-01   2633368
1977-03-01   2644931
1977-04-01   2658598
1977-05-01   2673066
1977-06-01   2687046
1977-07-01   2699832
1977-08-01   2711584
1977-09-01   2722700
1977-10-01   2732306
1977-11-01   2739273
1977-12-01   2743373
1978-01-01   2745260
1978-02-01   2746283
1978-03-01   2747853
1978-04-01   2750671
1978-05-01   2755167
1978-06-01   2760638
1978-07-01   2765998
1978-08-01   2770674
1978-09-01   2775125
1978-10-01   2781236
1978-11-01   2789401
1978-12-01   2797544
1979-01-01   2803000
1979-02-01   2804438
1979-03-01   2802268
1979-04-01   2798287
1979-05-01   2795182
1979-06-01   2794892
1979-07-01   2798704
1979-08-01   2806660
1979-09-01   2817075
1979-10-01   2827308
1979-11-01   2835694
1979-12-01   2842242
1980-01-01   2847007
1980-02-01   2850206
1980-03-01   2852358
1980-04-01   2853483
1980-05-01   2853707
1980-06-01   2854109
1980-07-01   2854497
1980-08-01   2854310
1980-09-01   2854335
1980-10-01   2855809
1980-11-01   2860348
1980-12-01   2869306
1981-01-01   2882321
1981-02-01   2896366
1981-03-01   2908060
1981-04-01   2914514
1981-05-01   2914216
1981-06-01   2908443
1981-07-01   2900431
1981-08-01   2892899
1981-09-01   2887097
1981-10-01   2933640
1981-11-01   2945809
1981-12-01   2946993
1982-01-01   2944406
1982-02-01   2941209
1982-03-01   2938740
1982-04-01   2937786
1982-05-01   2938167
1982-06-01   2938471
