Title:               Loan Loss Reserves for Commercial Banks in North Carolina
Series ID:           NCLLR
Source:              Federal Financial Institutions Examination Council (US)
Release:             Reports of Condition and Income for All Insured U.S. Commercial Banks
Seasonal Adjustment: Not Seasonally Adjusted
Frequency:           Quarterly
Units:               Thousands of Dollars
Date Range:          1984-01-01 to 2018-07-01
Last Updated:        2018-12-13 11:02 AM CST
Notes:               This series is constructed as a sum of Allowance for Loan and Lease
                     Losses call item RCFD3123 and Allocated Transfer Risk Reserves call
                     item RCFD3128.
                     
                     Geographic location is determined by Abbreviated State Name call item
                     RSSD9200 = 'NC' representing two character state abbreviation of North
                     Carolina.
                     
                     For more information and definition about the specific call item
                     codes, please see
                     http://www.federalreserve.gov/apps/mdrm/data-dictionary.
                     
                     This series is calculated by the Federal Reserve Bank of St. Louis
                     using raw data that are collected by the FFIEC. Raw data can be found
                     at https://cdr.ffiec.gov/public/.

DATE           VALUE
1984-01-01    261227
1984-04-01    275725
1984-07-01    287358
1984-10-01    304554
1985-01-01    318677
1985-04-01    388614
1985-07-01    407035
1985-10-01    427979
1986-01-01    453438
1986-04-01    456604
1986-07-01    470898
1986-10-01    477439
1987-01-01    488155
1987-04-01    548798
1987-07-01    556146
1987-10-01    544492
1988-01-01    476386
1988-04-01    480689
1988-07-01    483734
1988-10-01    494042
1989-01-01    513730
1989-04-01    525687
1989-07-01    538242
1989-10-01    541909
1990-01-01    558969
1990-04-01    600267
1990-07-01    676093
1990-10-01    747399
1991-01-01    810786
1991-04-01    853034
1991-07-01    895986
1991-10-01    898002
1992-01-01    897339
1992-04-01    931783
1992-07-01    919889
1992-10-01    840579
1993-01-01    859624
1993-04-01    882408
1993-07-01    909791
1993-10-01    911139
1994-01-01    935349
1994-04-01    942036
1994-07-01    956454
1994-10-01    955138
1995-01-01   1096601
1995-04-01   1102050
1995-07-01   1797894
1995-10-01   1762016
1996-01-01   1728325
1996-04-01   1761629
1996-07-01   1730339
1996-10-01   1755480
1997-01-01   1730868
1997-04-01   3434175
1997-07-01   3813254
1997-10-01   3750208
1998-01-01   4014890
1998-04-01   4965670
1998-07-01   5035939
1998-10-01   5400168
1999-01-01   5504926
1999-04-01   5728648
1999-07-01   9434980
1999-10-01   9426519
2000-01-01   9458629
2000-04-01   9935758
2000-07-01   9850918
2000-10-01   9835524
2001-01-01   9917251
2001-04-01   9981056
2001-07-01  10124321
2001-10-01   9828252
2002-01-01   9809616
2002-04-01   9665346
2002-07-01   9549977
2002-10-01   9518415
2003-01-01   9516058
2003-04-01   9376819
2003-07-01   9035623
2003-10-01   8212614
2004-01-01   7956940
2004-04-01   7862278
2004-07-01   7713616
2004-10-01   7427064
2005-01-01   7708253
2005-04-01   8981430
2005-07-01   8768676
2005-10-01   8382864
2006-01-01   8659975
2006-04-01   8629892
2006-07-01   8490740
2006-10-01   8562256
2007-01-01   8300212
2007-04-01   8399297
2007-07-01   8723686
2007-10-01  10406992
2008-01-01  13939194
2008-04-01  18001733
2008-07-01  21890005
2008-10-01  20893067
2009-01-01  23477196
2009-04-01  31132337
2009-07-01  34945673
2009-10-01  36666695
2010-01-01  29496748
2010-04-01  29736351
2010-07-01  28682893
2010-10-01  28628524
2011-01-01  28963022
2011-04-01  28830508
2011-07-01  27874695
2011-10-01  27376359
2012-01-01  26104263
2012-04-01  24875453
2012-07-01  21287065
2012-10-01  19616284
2013-01-01  18214920
2013-04-01  17379179
2013-07-01  15724915
2013-10-01  14128838
2014-01-01  13392549
2014-04-01  12938905
2014-07-01  12374120
2014-10-01  15868811
2015-01-01  15113919
2015-04-01  14507418
2015-07-01  14139885
2015-10-01  13693308
2016-01-01  13604254
2016-04-01  13396140
2016-07-01  13259800
2016-10-01  12788049
2017-01-01  12645491
2017-04-01  12392455
2017-07-01  12230793
2017-10-01  11867051
2018-01-01  11746050
2018-04-01  11593291
2018-07-01  11299701
