Title:               Civilian Labor Force in Lincoln County, NC
Series ID:           NCLINC9LFN
Source:              U.S. Bureau of Labor Statistics
Release:             Unemployment in States and Local Areas (all other areas) (Not a Press Release)
Seasonal Adjustment: Not Seasonally Adjusted
Frequency:           Monthly
Units:               Persons
Date Range:          1990-01-01 to 2018-11-01
Last Updated:        2019-01-03 10:14 AM CST
Notes:               

DATE        VALUE
1990-01-01  27262
1990-02-01  27966
1990-03-01  27815
1990-04-01  27878
1990-05-01  27999
1990-06-01  28303
1990-07-01  28620
1990-08-01  28521
1990-09-01  28173
1990-10-01  28209
1990-11-01  28418
1990-12-01  28608
1991-01-01  28602
1991-02-01  28015
1991-03-01  28373
1991-04-01  28018
1991-05-01  28010
1991-06-01  28412
1991-07-01  28983
1991-08-01  28629
1991-09-01  28346
1991-10-01  28433
1991-11-01  28273
1991-12-01  28158
1992-01-01  28393
1992-02-01  28250
1992-03-01  28397
1992-04-01  28134
1992-05-01  28331
1992-06-01  28833
1992-07-01  29089
1992-08-01  29571
1992-09-01  28694
1992-10-01  28828
1992-11-01  28876
1992-12-01  28858
1993-01-01  28831
1993-02-01  28971
1993-03-01  28910
1993-04-01  29063
1993-05-01  29257
1993-06-01  29610
1993-07-01  30008
1993-08-01  29620
1993-09-01  29298
1993-10-01  29853
1993-11-01  29806
1993-12-01  29837
1994-01-01  29768
1994-02-01  29687
1994-03-01  29775
1994-04-01  29830
1994-05-01  30106
1994-06-01  30386
1994-07-01  30999
1994-08-01  30784
1994-09-01  30729
1994-10-01  30898
1994-11-01  30984
1994-12-01  30927
1995-01-01  30043
1995-02-01  30336
1995-03-01  30538
1995-04-01  30775
1995-05-01  30680
1995-06-01  30798
1995-07-01  32017
1995-08-01  31226
1995-09-01  30893
1995-10-01  31211
1995-11-01  31303
1995-12-01  31428
1996-01-01  31315
1996-02-01  31763
1996-03-01  31843
1996-04-01  31877
1996-05-01  32031
1996-06-01  32301
1996-07-01  32496
1996-08-01  32105
1996-09-01  32010
1996-10-01  32125
1996-11-01  32253
1996-12-01  32291
1997-01-01  31800
1997-02-01  31740
1997-03-01  32123
1997-04-01  31965
1997-05-01  32421
1997-06-01  32550
1997-07-01  32801
1997-08-01  32498
1997-09-01  32179
1997-10-01  31869
1997-11-01  31989
1997-12-01  32018
1998-01-01  31464
1998-02-01  31873
1998-03-01  31977
1998-04-01  31713
1998-05-01  32044
1998-06-01  32237
1998-07-01  32734
1998-08-01  32545
1998-09-01  32210
1998-10-01  32153
1998-11-01  32259
1998-12-01  32259
1999-01-01  32128
1999-02-01  32593
1999-03-01  32437
1999-04-01  32149
1999-05-01  32536
1999-06-01  32655
1999-07-01  33302
1999-08-01  33085
1999-09-01  32887
1999-10-01  33133
1999-11-01  33386
1999-12-01  33460
2000-01-01  34250
2000-02-01  34617
2000-03-01  34701
2000-04-01  34739
2000-05-01  34821
2000-06-01  34825
2000-07-01  34916
2000-08-01  35540
2000-09-01  35072
2000-10-01  35176
2000-11-01  35128
2000-12-01  34946
2001-01-01  36143
2001-02-01  35996
2001-03-01  36096
2001-04-01  35597
2001-05-01  35700
2001-06-01  35090
2001-07-01  35817
2001-08-01  35339
2001-09-01  35606
2001-10-01  35487
2001-11-01  35403
2001-12-01  35198
2002-01-01  35609
2002-02-01  35739
2002-03-01  35622
2002-04-01  35540
2002-05-01  35432
2002-06-01  34919
2002-07-01  35193
2002-08-01  35566
2002-09-01  35419
2002-10-01  35341
2002-11-01  35365
2002-12-01  34974
2003-01-01  35615
2003-02-01  35874
2003-03-01  36016
2003-04-01  36188
2003-05-01  36273
2003-06-01  36143
2003-07-01  35985
2003-08-01  36146
2003-09-01  35837
2003-10-01  36177
2003-11-01  36090
2003-12-01  35811
2004-01-01  35866
2004-02-01  35963
2004-03-01  35995
2004-04-01  35482
2004-05-01  35465
2004-06-01  35460
2004-07-01  35465
2004-08-01  35549
2004-09-01  35444
2004-10-01  35697
2004-11-01  35618
2004-12-01  35477
2005-01-01  35701
2005-02-01  35950
2005-03-01  35947
2005-04-01  36072
2005-05-01  36336
2005-06-01  36225
2005-07-01  36312
2005-08-01  36212
2005-09-01  36263
2005-10-01  36635
2005-11-01  36520
2005-12-01  36382
2006-01-01  36878
2006-02-01  37072
2006-03-01  37376
2006-04-01  37442
2006-05-01  37606
2006-06-01  37692
2006-07-01  38052
2006-08-01  38145
2006-09-01  38269
2006-10-01  38468
2006-11-01  38674
2006-12-01  38264
2007-01-01  39400
2007-02-01  39508
2007-03-01  39680
2007-04-01  39555
2007-05-01  39800
2007-06-01  39833
2007-07-01  40087
2007-08-01  39737
2007-09-01  40030
2007-10-01  39983
2007-11-01  40146
2007-12-01  39527
2008-01-01  39014
2008-02-01  38983
2008-03-01  39328
2008-04-01  39278
2008-05-01  39387
2008-06-01  39179
2008-07-01  39506
2008-08-01  39048
2008-09-01  39163
2008-10-01  39605
2008-11-01  39734
2008-12-01  39904
2009-01-01  39605
2009-02-01  39990
2009-03-01  39777
2009-04-01  39706
2009-05-01  39573
2009-06-01  39351
2009-07-01  39031
2009-08-01  38864
2009-09-01  38539
2009-10-01  38752
2009-11-01  38701
2009-12-01  38514
2010-01-01  39780
2010-02-01  40007
2010-03-01  40136
2010-04-01  40450
2010-05-01  40403
2010-06-01  39980
2010-07-01  39862
2010-08-01  39879
2010-09-01  39635
2010-10-01  39839
2010-11-01  40051
2010-12-01  39792
2011-01-01  39488
2011-02-01  39510
2011-03-01  39755
2011-04-01  39764
2011-05-01  39852
2011-06-01  39771
2011-07-01  39797
2011-08-01  39864
2011-09-01  39894
2011-10-01  40019
2011-11-01  40036
2011-12-01  39885
2012-01-01  39353
2012-02-01  39612
2012-03-01  39691
2012-04-01  39474
2012-05-01  40049
2012-06-01  39919
2012-07-01  40067
2012-08-01  39761
2012-09-01  40082
2012-10-01  40692
2012-11-01  40332
2012-12-01  40255
2013-01-01  39874
2013-02-01  39842
2013-03-01  39762
