Title:               All Employees: Leisure and Hospitality in North Carolina
Series ID:           NCLEIH
Source:              U.S. Bureau of Labor Statistics
Release:             State Employment and Unemployment
Seasonal Adjustment: Seasonally Adjusted
Frequency:           Monthly
Units:               Thousands of Persons
Date Range:          1990-01-01 to 2018-11-01
Last Updated:        2018-12-24 12:32 PM CST
Notes:               

DATE        VALUE
1990-01-01  236.1
1990-02-01  238.9
1990-03-01  239.6
1990-04-01  240.1
1990-05-01  238.8
1990-06-01  240.5
1990-07-01  241.0
1990-08-01  241.7
1990-09-01  243.1
1990-10-01  240.7
1990-11-01  241.7
1990-12-01  241.8
1991-01-01  237.4
1991-02-01  236.7
1991-03-01  237.5
1991-04-01  238.1
1991-05-01  239.1
1991-06-01  239.8
1991-07-01  240.0
1991-08-01  239.7
1991-09-01  239.9
1991-10-01  242.1
1991-11-01  242.1
1991-12-01  242.1
1992-01-01  243.5
1992-02-01  244.6
1992-03-01  246.3
1992-04-01  245.7
1992-05-01  248.5
1992-06-01  249.2
1992-07-01  250.2
1992-08-01  251.8
1992-09-01  253.5
1992-10-01  254.3
1992-11-01  254.8
1992-12-01  255.4
1993-01-01  255.0
1993-02-01  258.2
1993-03-01  257.4
1993-04-01  260.2
1993-05-01  260.7
1993-06-01  260.1
1993-07-01  261.5
1993-08-01  262.1
1993-09-01  262.5
1993-10-01  263.8
1993-11-01  264.2
1993-12-01  264.5
1994-01-01  265.5
1994-02-01  265.5
1994-03-01  266.6
1994-04-01  267.6
1994-05-01  267.1
1994-06-01  268.5
1994-07-01  271.3
1994-08-01  273.0
1994-09-01  275.1
1994-10-01  274.1
1994-11-01  275.8
1994-12-01  276.2
1995-01-01  277.1
1995-02-01  277.8
1995-03-01  278.2
1995-04-01  278.9
1995-05-01  280.0
1995-06-01  282.7
1995-07-01  284.2
1995-08-01  284.4
1995-09-01  285.8
1995-10-01  286.4
1995-11-01  288.1
1995-12-01  287.7
1996-01-01  285.4
1996-02-01  287.1
1996-03-01  290.3
1996-04-01  289.0
1996-05-01  291.0
1996-06-01  290.4
1996-07-01  291.0
1996-08-01  291.6
1996-09-01  292.1
1996-10-01  293.8
1996-11-01  293.7
1996-12-01  295.6
1997-01-01  297.4
1997-02-01  298.5
1997-03-01  299.9
1997-04-01  301.1
1997-05-01  303.2
1997-06-01  302.6
1997-07-01  300.1
1997-08-01  301.2
1997-09-01  303.6
1997-10-01  301.2
1997-11-01  304.1
1997-12-01  305.6
1998-01-01  309.6
1998-02-01  309.8
1998-03-01  311.4
1998-04-01  305.4
1998-05-01  307.6
1998-06-01  308.3
1998-07-01  309.4
1998-08-01  311.8
1998-09-01  310.7
1998-10-01  313.9
1998-11-01  315.2
1998-12-01  315.7
1999-01-01  315.6
1999-02-01  317.7
1999-03-01  317.2
1999-04-01  318.4
1999-05-01  317.4
1999-06-01  316.1
1999-07-01  321.6
1999-08-01  321.8
1999-09-01  322.2
1999-10-01  327.5
1999-11-01  328.8
1999-12-01  329.3
2000-01-01  327.3
2000-02-01  326.9
2000-03-01  327.7
2000-04-01  327.3
2000-05-01  327.8
2000-06-01  327.8
2000-07-01  327.8
2000-08-01  328.1
2000-09-01  329.1
2000-10-01  329.8
2000-11-01  330.1
2000-12-01  328.9
2001-01-01  333.9
2001-02-01  334.6
2001-03-01  334.5
2001-04-01  333.4
2001-05-01  333.1
2001-06-01  332.8
2001-07-01  331.9
2001-08-01  332.1
2001-09-01  330.4
2001-10-01  329.4
2001-11-01  329.4
2001-12-01  326.8
2002-01-01  332.8
2002-02-01  334.4
