Title:               Civilian Labor Force in Lenoir County, NC
Series ID:           NCLENO0LFN
Source:              U.S. Bureau of Labor Statistics
Release:             Unemployment in States and Local Areas (all other areas) (Not a Press Release)
Seasonal Adjustment: Not Seasonally Adjusted
Frequency:           Monthly
Units:               Persons
Date Range:          1990-01-01 to 2018-11-01
Last Updated:        2019-01-03 10:14 AM CST
Notes:               

DATE        VALUE
1990-01-01  27210
1990-02-01  27270
1990-03-01  27827
1990-04-01  28135
1990-05-01  29129
1990-06-01  29424
1990-07-01  29370
1990-08-01  29114
1990-09-01  28410
1990-10-01  27917
1990-11-01  27902
1990-12-01  27427
1991-01-01  27603
1991-02-01  27820
1991-03-01  27935
1991-04-01  28648
1991-05-01  29385
1991-06-01  30052
1991-07-01  30804
1991-08-01  29866
1991-09-01  29039
1991-10-01  28351
1991-11-01  28168
1991-12-01  27925
1992-01-01  28401
1992-02-01  28451
1992-03-01  28344
1992-04-01  29027
1992-05-01  29877
1992-06-01  30577
1992-07-01  31393
1992-08-01  30558
1992-09-01  29506
1992-10-01  29202
1992-11-01  29228
1992-12-01  28698
1993-01-01  28479
1993-02-01  28417
1993-03-01  28635
1993-04-01  28864
1993-05-01  29532
1993-06-01  30065
1993-07-01  30637
1993-08-01  30142
1993-09-01  28789
1993-10-01  28580
1993-11-01  28268
1993-12-01  28258
1994-01-01  27863
1994-02-01  28323
1994-03-01  28336
1994-04-01  28443
1994-05-01  29291
1994-06-01  29690
1994-07-01  30496
1994-08-01  30326
1994-09-01  29402
1994-10-01  29289
1994-11-01  29098
1994-12-01  28668
1995-01-01  28133
1995-02-01  28371
1995-03-01  28903
1995-04-01  29388
1995-05-01  29772
1995-06-01  30345
1995-07-01  30669
1995-08-01  30101
1995-09-01  29375
1995-10-01  29400
1995-11-01  30394
1995-12-01  29735
1996-01-01  28994
1996-02-01  29294
1996-03-01  29652
1996-04-01  29757
1996-05-01  31316
1996-06-01  31778
1996-07-01  31904
1996-08-01  31222
1996-09-01  30492
1996-10-01  30624
1996-11-01  30445
1996-12-01  30129
1997-01-01  29575
1997-02-01  29550
1997-03-01  30265
1997-04-01  30226
1997-05-01  30806
1997-06-01  31381
1997-07-01  31821
1997-08-01  31554
1997-09-01  30550
1997-10-01  30481
1997-11-01  30399
1997-12-01  29954
1998-01-01  29601
1998-02-01  29670
1998-03-01  30307
1998-04-01  30285
1998-05-01  30825
1998-06-01  31586
1998-07-01  31683
1998-08-01  31040
1998-09-01  30501
1998-10-01  30459
1998-11-01  29929
1998-12-01  29750
1999-01-01  29780
1999-02-01  29689
1999-03-01  30181
1999-04-01  30717
1999-05-01  30694
1999-06-01  31606
1999-07-01  32030
1999-08-01  31333
1999-09-01  31330
1999-10-01  30829
1999-11-01  30275
1999-12-01  29682
2000-01-01  27800
2000-02-01  27842
2000-03-01  27989
2000-04-01  27987
2000-05-01  27915
2000-06-01  28332
2000-07-01  27687
2000-08-01  27979
2000-09-01  27480
2000-10-01  27749
2000-11-01  27547
2000-12-01  27703
2001-01-01  27978
2001-02-01  27896
2001-03-01  28329
2001-04-01  27405
2001-05-01  27135
2001-06-01  27399
2001-07-01  27583
2001-08-01  27724
2001-09-01  27658
2001-10-01  27325
2001-11-01  27196
2001-12-01  27040
2002-01-01  26914
2002-02-01  27049
2002-03-01  26882
2002-04-01  27157
2002-05-01  27242
2002-06-01  27116
2002-07-01  26644
2002-08-01  26522
2002-09-01  26743
2002-10-01  26694
2002-11-01  26192
2002-12-01  26279
2003-01-01  26924
2003-02-01  27055
2003-03-01  26956
2003-04-01  27137
2003-05-01  27338
2003-06-01  27356
2003-07-01  27567
2003-08-01  27230
2003-09-01  26886
2003-10-01  27245
2003-11-01  27327
2003-12-01  27122
2004-01-01  27432
2004-02-01  27263
2004-03-01  27246
2004-04-01  27473
2004-05-01  27479
2004-06-01  27221
2004-07-01  27340
2004-08-01  27023
2004-09-01  27041
2004-10-01  27306
2004-11-01  27387
2004-12-01  27295
2005-01-01  27519
2005-02-01  27364
2005-03-01  27492
2005-04-01  28058
2005-05-01  27926
2005-06-01  27847
2005-07-01  27913
2005-08-01  27977
2005-09-01  27816
2005-10-01  27654
2005-11-01  27489
2005-12-01  27284
2006-01-01  27143
2006-02-01  27322
2006-03-01  27383
2006-04-01  27236
2006-05-01  27382
2006-06-01  27395
2006-07-01  27539
2006-08-01  27494
2006-09-01  27522
2006-10-01  27591
2006-11-01  27754
2006-12-01  27556
2007-01-01  28075
2007-02-01  27929
2007-03-01  27899
2007-04-01  27859
2007-05-01  28031
2007-06-01  28296
2007-07-01  28096
2007-08-01  27969
2007-09-01  27963
2007-10-01  27629
2007-11-01  27874
2007-12-01  27604
2008-01-01  26784
2008-02-01  26436
2008-03-01  26592
2008-04-01  26991
2008-05-01  27314
2008-06-01  27747
2008-07-01  27097
2008-08-01  27032
2008-09-01  26933
2008-10-01  26897
2008-11-01  27277
2008-12-01  27000
2009-01-01  27165
2009-02-01  27134
2009-03-01  26949
2009-04-01  27077
2009-05-01  27261
2009-06-01  27357
2009-07-01  27083
2009-08-01  26714
2009-09-01  26746
2009-10-01  26806
2009-11-01  26795
2009-12-01  26566
2010-01-01  26860
2010-02-01  26765
2010-03-01  26758
2010-04-01  27110
2010-05-01  27185
2010-06-01  27223
2010-07-01  26889
2010-08-01  26600
2010-09-01  26865
2010-10-01  26768
2010-11-01  26833
2010-12-01  26633
2011-01-01  26994
2011-02-01  27040
2011-03-01  27204
2011-04-01  27327
2011-05-01  27578
2011-06-01  27817
2011-07-01  27769
2011-08-01  27807
2011-09-01  28024
2011-10-01  28182
2011-11-01  27885
2011-12-01  27577
2012-01-01  28061
2012-02-01  28631
2012-03-01  28166
2012-04-01  28075
2012-05-01  28450
2012-06-01  28573
2012-07-01  28654
2012-08-01  28293
2012-09-01  28623
2012-10-01  29000
2012-11-01  28620
2012-12-01  28720
2013-01-01  28559
2013-02-01  28395
2013-03-01  28063
2013-04-01  28112
2013-05-01  28676
2013-06-01  28646
2013-07-01  28943
2013-08-01  28494
2013-09-01  28810
2013-10-01  28644
2013-11-01  28383
2013-12-01  28295
2014-01-01  27913
2014-02-01  27813
2014-03-01  27853
2014-04-01  27717
2014-05-01  28027
2014-06-01  28103
2014-07-01  28245
2014-08-01  27687
2014-09-01  27692
2014-10-01  27951
2014-11-01  27921
2014-12-01  27418
2015-01-01  27620
2015-02-01  27702
2015-03-01  27903
2015-04-01  27774
2015-05-01  28047
2015-06-01  28114
2015-07-01  28142
2015-08-01  27606
2015-09-01  27700
2015-10-01  27536
2015-11-01  27463
2015-12-01  27285
2016-01-01  27234
2016-02-01  27449
2016-03-01  27794
2016-04-01  27678
2016-05-01  27588
2016-06-01  27517
2016-07-01  27766
2016-08-01  27265
2016-09-01  27596
2016-10-01  28746
2016-11-01  27417
2016-12-01  27400
2017-01-01  27538
2017-02-01  28016
2017-03-01  28366
2017-04-01  28274
2017-05-01  28220
2017-06-01  28134
2017-07-01  28495
2017-08-01  27943
2017-09-01  28221
2017-10-01  28225
2017-11-01  28018
2017-12-01  28064
2018-01-01  28131
2018-02-01  28232
2018-03-01  28192
2018-04-01  28114
2018-05-01  28328
2018-06-01  28302
2018-07-01  28425
2018-08-01  27613
2018-09-01  27766
2018-10-01  27744
2018-11-01  27567
