Title:               Civilian Labor Force in Lee County, NC
Series ID:           NCLEEC5LFN
Source:              U.S. Bureau of Labor Statistics
Release:             Unemployment in States and Local Areas (all other areas) (Not a Press Release)
Seasonal Adjustment: Not Seasonally Adjusted
Frequency:           Monthly
Units:               Persons
Date Range:          1990-01-01 to 2018-11-01
Last Updated:        2019-01-03 10:14 AM CST
Notes:               

DATE        VALUE
1990-01-01  20973
1990-02-01  20909
1990-03-01  20809
1990-04-01  20977
1990-05-01  21414
1990-06-01  21462
1990-07-01  21503
1990-08-01  21020
1990-09-01  20750
1990-10-01  21814
1990-11-01  21545
1990-12-01  21597
1991-01-01  21318
1991-02-01  21248
1991-03-01  21249
1991-04-01  21446
1991-05-01  21709
1991-06-01  22263
1991-07-01  23152
1991-08-01  22580
1991-09-01  22658
1991-10-01  22619
1991-11-01  22443
1991-12-01  22443
1992-01-01  22842
1992-02-01  22939
1992-03-01  22826
1992-04-01  23149
1992-05-01  23659
1992-06-01  24222
1992-07-01  23925
1992-08-01  24359
1992-09-01  23845
1992-10-01  23675
1992-11-01  23796
1992-12-01  23412
1993-01-01  23459
1993-02-01  23730
1993-03-01  23613
1993-04-01  23769
1993-05-01  24117
1993-06-01  24410
1993-07-01  24433
1993-08-01  24611
1993-09-01  24230
1993-10-01  24437
1993-11-01  24385
1993-12-01  24514
1994-01-01  24627
1994-02-01  24428
1994-03-01  24509
1994-04-01  24303
1994-05-01  24615
1994-06-01  24868
1994-07-01  25226
1994-08-01  25833
1994-09-01  25544
1994-10-01  25696
1994-11-01  25274
1994-12-01  25275
1995-01-01  25373
1995-02-01  25549
1995-03-01  25573
1995-04-01  25790
1995-05-01  25882
1995-06-01  26051
1995-07-01  26087
1995-08-01  26666
1995-09-01  26496
1995-10-01  26436
1995-11-01  25983
1995-12-01  25974
1996-01-01  25758
1996-02-01  25850
1996-03-01  26047
1996-04-01  26105
1996-05-01  26221
1996-06-01  26938
1996-07-01  26852
1996-08-01  26627
1996-09-01  26423
1996-10-01  26913
1996-11-01  26911
1996-12-01  26529
1997-01-01  26348
1997-02-01  26396
1997-03-01  26593
1997-04-01  26564
1997-05-01  26908
1997-06-01  27368
1997-07-01  27194
1997-08-01  27347
1997-09-01  27101
1997-10-01  27047
1997-11-01  27217
1997-12-01  26744
1998-01-01  29292
1998-02-01  29542
1998-03-01  29479
1998-04-01  28884
1998-05-01  29233
1998-06-01  29598
1998-07-01  29542
1998-08-01  30115
1998-09-01  29592
1998-10-01  29902
1998-11-01  29756
1998-12-01  29356
1999-01-01  27160
1999-02-01  27116
1999-03-01  27082
1999-04-01  26907
1999-05-01  27026
1999-06-01  26993
1999-07-01  27451
1999-08-01  27393
1999-09-01  27053
1999-10-01  27278
1999-11-01  27202
1999-12-01  27152
2000-01-01  24668
2000-02-01  24770
2000-03-01  24887
2000-04-01  24833
2000-05-01  24929
2000-06-01  24938
2000-07-01  24844
2000-08-01  24792
2000-09-01  24455
2000-10-01  24417
2000-11-01  24409
2000-12-01  24416
2001-01-01  24784
2001-02-01  24762
2001-03-01  25191
2001-04-01  24895
2001-05-01  24647
2001-06-01  24974
2001-07-01  25053
2001-08-01  24957
2001-09-01  24969
2001-10-01  25093
2001-11-01  24895
2001-12-01  24792
2002-01-01  24931
2002-02-01  25368
2002-03-01  25350
2002-04-01  25111
