Title:               Resident Population in Union County, NC
Series ID:           NCUNIO5POP
Source:              U.S. Bureau of the Census
Release:             Annual Estimates of the Population for Counties (Not a Press Release)
Seasonal Adjustment: Not Seasonally Adjusted
Frequency:           Annual
Units:               Thousands of Persons
Date Range:          1970-01-01 to 2017-01-01
Last Updated:        2018-03-27 3:22 PM CDT
Notes:               Data for "Resident Population" are from estimates as of July 1. Data
                     for 1970 and 1980 are annual census.

DATE          VALUE
1970-01-01   54.714
1971-01-01   56.600
1972-01-01   58.900
1973-01-01   59.900
1974-01-01   62.300
1975-01-01   63.000
1976-01-01   63.600
1977-01-01   64.900
1978-01-01   66.500
1979-01-01   68.100
1980-01-01   70.436
1981-01-01   72.020
1982-01-01   73.308
1983-01-01   74.133
1984-01-01   75.467
1985-01-01   76.715
1986-01-01   77.966
1987-01-01   79.616
1988-01-01   81.387
1989-01-01   82.885
1990-01-01   84.772
1991-01-01   87.227
1992-01-01   89.711
1993-01-01   92.912
1994-01-01   96.300
1995-01-01  100.597
1996-01-01  104.469
1997-01-01  108.519
1998-01-01  113.172
1999-01-01  118.621
2000-01-01  125.592
2001-01-01  131.710
2002-01-01  138.398
2003-01-01  144.283
2004-01-01  151.392
2005-01-01  160.735
2006-01-01  172.349
2007-01-01  184.622
2008-01-01  193.517
2009-01-01  198.351
2010-01-01  202.122
2011-01-01  204.998
2012-01-01  208.216
2013-01-01  212.372
2014-01-01  217.948
2015-01-01  222.247
2016-01-01  226.540
2017-01-01  231.366
