Title:               Civilian Labor Force in Union County, NC
Series ID:           NCUNIO5LFN
Source:              U.S. Bureau of Labor Statistics
Release:             Unemployment in States and Local Areas (all other areas) (Not a Press Release)
Seasonal Adjustment: Not Seasonally Adjusted
Frequency:           Monthly
Units:               Persons
Date Range:          1990-01-01 to 2018-11-01
Last Updated:        2019-01-03 10:12 AM CST
Notes:               

DATE         VALUE
1990-01-01   45213
1990-02-01   45691
1990-03-01   45898
1990-04-01   45744
1990-05-01   46258
1990-06-01   46689
1990-07-01   47375
1990-08-01   47072
1990-09-01   46465
1990-10-01   46427
1990-11-01   46358
1990-12-01   46578
1991-01-01   46444
1991-02-01   46422
1991-03-01   46541
1991-04-01   46664
1991-05-01   46798
1991-06-01   47303
1991-07-01   47881
1991-08-01   47847
1991-09-01   47418
1991-10-01   47798
1991-11-01   47484
1991-12-01   47249
1992-01-01   47501
1992-02-01   47325
1992-03-01   47924
1992-04-01   47251
1992-05-01   47683
1992-06-01   48852
1992-07-01   49195
1992-08-01   49328
1992-09-01   48604
1992-10-01   48805
1992-11-01   48771
1992-12-01   48594
1993-01-01   48974
1993-02-01   49228
1993-03-01   49259
1993-04-01   49215
1993-05-01   49701
1993-06-01   50338
1993-07-01   50725
1993-08-01   50050
1993-09-01   49485
1993-10-01   50170
1993-11-01   50297
1993-12-01   50284
1994-01-01   50462
1994-02-01   50923
1994-03-01   50695
1994-04-01   51013
1994-05-01   51500
1994-06-01   51919
1994-07-01   52878
1994-08-01   52441
1994-09-01   52369
1994-10-01   52781
1994-11-01   52798
1994-12-01   52911
1995-01-01   52839
1995-02-01   53387
1995-03-01   53364
1995-04-01   53603
1995-05-01   53596
1995-06-01   53918
1995-07-01   54340
1995-08-01   54089
1995-09-01   53954
1995-10-01   54201
1995-11-01   54289
1995-12-01   54386
1996-01-01   54573
1996-02-01   55439
1996-03-01   55844
1996-04-01   55915
1996-05-01   56718
1996-06-01   57090
1996-07-01   57658
1996-08-01   57215
1996-09-01   57152
1996-10-01   57632
1996-11-01   57749
1996-12-01   57978
1997-01-01   57893
1997-02-01   58113
1997-03-01   58895
1997-04-01   58678
1997-05-01   59120
1997-06-01   59314
1997-07-01   59499
1997-08-01   59209
1997-09-01   58827
1997-10-01   58403
1997-11-01   58733
1997-12-01   58790
1998-01-01   59234
1998-02-01   59486
1998-03-01   59600
1998-04-01   59339
1998-05-01   60050
1998-06-01   60348
1998-07-01   61268
1998-08-01   60816
1998-09-01   60871
1998-10-01   60491
1998-11-01   60596
1998-12-01   60721
1999-01-01   62183
1999-02-01   62683
1999-03-01   62733
1999-04-01   62411
1999-05-01   63077
1999-06-01   63242
1999-07-01   64775
1999-08-01   64081
1999-09-01   63530
1999-10-01   64025
1999-11-01   64303
1999-12-01   64558
2000-01-01   66158
2000-02-01   66618
2000-03-01   66770
2000-04-01   67278
2000-05-01   67320
2000-06-01   67891
2000-07-01   68366
2000-08-01   67453
2000-09-01   67106
2000-10-01   68007
2000-11-01   68123
2000-12-01   68214
2001-01-01   70281
2001-02-01   70729
2001-03-01   70883
2001-04-01   70898
2001-05-01   70787
2001-06-01   71314
2001-07-01   71620
2001-08-01   70537
2001-09-01   70724
2001-10-01   71352
2001-11-01   71298
2001-12-01   71175
2002-01-01   72959
2002-02-01   73886
2002-03-01   73873
2002-04-01   73457
2002-05-01   73434
2002-06-01   73874
2002-07-01   73967
2002-08-01   73703
2002-09-01   73538
2002-10-01   73724
2002-11-01   73358
2002-12-01   73002
2003-01-01   75498
2003-02-01   76342
2003-03-01   76660
2003-04-01   77000
2003-05-01   76929
2003-06-01   77500
2003-07-01   75909
2003-08-01   75368
2003-09-01   75802
2003-10-01   76322
2003-11-01   76823
2003-12-01   76446
2004-01-01   78277
2004-02-01   78443
2004-03-01   78479
2004-04-01   77888
2004-05-01   78116
2004-06-01   78699
2004-07-01   78514
2004-08-01   78127
2004-09-01   77992
2004-10-01   79112
2004-11-01   79279
2004-12-01   78677
2005-01-01   80447
2005-02-01   81001
2005-03-01   81110
2005-04-01   81626
2005-05-01   82281
2005-06-01   82474
2005-07-01   82626
2005-08-01   82523
2005-09-01   82802
2005-10-01   84050
2005-11-01   83605
2005-12-01   83075
2006-01-01   86101
2006-02-01   86866
2006-03-01   87430
2006-04-01   87850
2006-05-01   88499
2006-06-01   88709
2006-07-01   89368
2006-08-01   89905
2006-09-01   90177
2006-10-01   91041
2006-11-01   91170
2006-12-01   90361
2007-01-01   90238
2007-02-01   90508
2007-03-01   91099
2007-04-01   91048
2007-05-01   91363
2007-06-01   91549
2007-07-01   92014
2007-08-01   91810
2007-09-01   92199
2007-10-01   92893
2007-11-01   92977
2007-12-01   92362
2008-01-01   94226
2008-02-01   94553
2008-03-01   95081
2008-04-01   95121
2008-05-01   95667
2008-06-01   95554
2008-07-01   95708
2008-08-01   95846
2008-09-01   95558
2008-10-01   96313
2008-11-01   96821
2008-12-01   96652
2009-01-01   96158
2009-02-01   96100
2009-03-01   95975
2009-04-01   95676
2009-05-01   95702
2009-06-01   95688
2009-07-01   95501
2009-08-01   95412
2009-09-01   94610
2009-10-01   94835
2009-11-01   94871
2009-12-01   94083
2010-01-01   99672
2010-02-01  100283
2010-03-01  100941
