Title:               Gross Domestic Product by Industry: Private Industries: Construction for North Carolina
Series ID:           NCCONSTNQGSP
Source:              U.S. Bureau of Economic Analysis
Release:             Gross Domestic Product (GDP) by State
Seasonal Adjustment: Seasonally Adjusted Annual Rate
Frequency:           Quarterly
Units:               Millions of Dollars
Date Range:          2005-01-01 to 2018-04-01
Last Updated:        2018-11-19 4:15 PM CST
Notes:               For more information about this release go to
                     http://www.bea.gov/newsreleases/regional/gdp_state/qgsp_newsrelease.htm.

DATE          VALUE
2005-01-01  17177.2
2005-04-01  17864.4
2005-07-01  18599.4
2005-10-01  18617.9
2006-01-01  19611.2
2006-04-01  19727.7
2006-07-01  19576.0
2006-10-01  20239.8
2007-01-01  20969.3
2007-04-01  21193.4
2007-07-01  21214.5
2007-10-01  20830.2
2008-01-01  19469.6
2008-04-01  18818.4
2008-07-01  18052.1
2008-10-01  17473.9
2009-01-01  16212.3
2009-04-01  15230.3
2009-07-01  14748.8
2009-10-01  13991.5
2010-01-01  12996.1
2010-04-01  12939.8
2010-07-01  12724.8
2010-10-01  12294.8
2011-01-01  12198.1
2011-04-01  12574.6
2011-07-01  12748.9
2011-10-01  12877.9
2012-01-01  13400.1
2012-04-01  13434.6
2012-07-01  13501.5
2012-10-01  13713.3
2013-01-01  14015.7
2013-04-01  14220.3
2013-07-01  14588.1
2013-10-01  14793.6
2014-01-01  14954.0
2014-04-01  15305.7
2014-07-01  15657.6
2014-10-01  16083.5
2015-01-01  16354.7
2015-04-01  17117.2
2015-07-01  17308.8
2015-10-01  17566.4
2016-01-01  18038.3
2016-04-01  18525.2
2016-07-01  18907.3
2016-10-01  19404.2
2017-01-01  19570.5
2017-04-01  19387.0
2017-07-01  19958.4
2017-10-01  20369.4
2018-01-01  20658.1
2018-04-01  21164.7
