Title:               All Employees: Construction in North Carolina
Series ID:           NCCONSN
Source:              U.S. Bureau of Labor Statistics
Release:             State Employment and Unemployment
Seasonal Adjustment: Not Seasonally Adjusted
Frequency:           Monthly
Units:               Thousands of Persons
Date Range:          1990-01-01 to 2018-11-01
Last Updated:        2018-12-24 12:33 PM CST
Notes:               

DATE        VALUE
1990-01-01  161.5
1990-02-01  164.3
1990-03-01  167.9
1990-04-01  167.2
1990-05-01  169.3
1990-06-01  172.6
1990-07-01  171.6
1990-08-01  171.2
1990-09-01  167.8
1990-10-01  165.1
1990-11-01  163.9
1990-12-01  160.5
1991-01-01  148.2
1991-02-01  147.3
1991-03-01  147.8
1991-04-01  149.9
1991-05-01  151.7
1991-06-01  153.1
1991-07-01  151.5
1991-08-01  151.8
1991-09-01  151.0
1991-10-01  149.0
1991-11-01  147.3
1991-12-01  145.8
1992-01-01  140.1
1992-02-01  141.4
1992-03-01  143.8
1992-04-01  145.7
1992-05-01  148.8
1992-06-01  151.9
1992-07-01  153.7
1992-08-01  154.3
1992-09-01  153.9
1992-10-01  153.2
1992-11-01  152.7
1992-12-01  152.7
1993-01-01  145.3
1993-02-01  148.0
1993-03-01  150.9
1993-04-01  153.8
1993-05-01  157.2
1993-06-01  161.8
1993-07-01  164.5
1993-08-01  164.5
1993-09-01  163.1
1993-10-01  161.9
1993-11-01  161.8
1993-12-01  162.8
1994-01-01  154.3
1994-02-01  156.7
1994-03-01  161.6
1994-04-01  164.9
1994-05-01  167.9
1994-06-01  172.3
1994-07-01  172.2
1994-08-01  172.5
1994-09-01  173.1
1994-10-01  172.8
1994-11-01  173.1
1994-12-01  172.7
1995-01-01  167.4
1995-02-01  165.9
1995-03-01  172.3
1995-04-01  174.6
1995-05-01  177.1
1995-06-01  181.1
1995-07-01  179.6
1995-08-01  181.8
1995-09-01  181.5
1995-10-01  180.6
1995-11-01  179.9
1995-12-01  180.6
1996-01-01  171.2
1996-02-01  175.3
1996-03-01  180.7
1996-04-01  184.8
1996-05-01  190.5
1996-06-01  195.3
1996-07-01  194.3
1996-08-01  196.2
1996-09-01  194.3
1996-10-01  196.0
1996-11-01  197.2
1996-12-01  196.5
1997-01-01  191.8
1997-02-01  193.4
1997-03-01  197.9
1997-04-01  201.1
1997-05-01  204.5
1997-06-01  207.2
1997-07-01  209.4
1997-08-01  209.5
1997-09-01  210.1
