Title:               Civilian Labor Force in Clay County, NC
Series ID:           NCCLAY3LFN
Source:              U.S. Bureau of Labor Statistics
Release:             Unemployment in States and Local Areas (all other areas) (Not a Press Release)
Seasonal Adjustment: Not Seasonally Adjusted
Frequency:           Monthly
Units:               Persons
Date Range:          1990-01-01 to 2018-11-01
Last Updated:        2019-01-03 10:14 AM CST
Notes:               

DATE       VALUE
2015-01-01  4105
2015-02-01  4009
2015-03-01  4079
2015-04-01  4056
2015-05-01  4167
2015-06-01  4190
2015-07-01  4102
2015-08-01  3952
2015-09-01  3948
2015-10-01  3999
2015-11-01  3995
2015-12-01  3928
2016-01-01  3969
2016-02-01  4064
2016-03-01  4162
2016-04-01  4028
2016-05-01  4071
2016-06-01  4125
2016-07-01  4070
2016-08-01  4019
2016-09-01  4034
2016-10-01  4047
2016-11-01  4067
2016-12-01  3904
2017-01-01  3883
2017-02-01  3910
2017-03-01  3958
2017-04-01  3924
2017-05-01  3925
2017-06-01  4001
2017-07-01  4001
2017-08-01  3936
2017-09-01  4030
2017-10-01  4004
2017-11-01  3997
2017-12-01  3924
2018-01-01  3923
2018-02-01  3954
2018-03-01  3977
2018-04-01  3972
2018-05-01  3995
2018-06-01  4023
2018-07-01  4015
2018-08-01  3974
2018-09-01  3999
2018-10-01  4029
2018-11-01  4021
