Title:               Civilian Labor Force in Caldwell County, NC
Series ID:           NCCALD0LFN
Source:              U.S. Bureau of Labor Statistics
Release:             Unemployment in States and Local Areas (all other areas) (Not a Press Release)
Seasonal Adjustment: Not Seasonally Adjusted
Frequency:           Monthly
Units:               Persons
Date Range:          1990-01-01 to 2018-11-01
Last Updated:        2019-01-03 10:12 AM CST
Notes:               

DATE        VALUE
1990-01-01  39823
1990-02-01  40020
1990-03-01  40172
1990-04-01  39885
1990-05-01  40528
1990-06-01  40747
1990-07-01  40661
1990-08-01  40120
1990-09-01  41219
1990-10-01  39898
1990-11-01  40034
1990-12-01  40595
1991-01-01  39769
1991-02-01  40710
1991-03-01  39816
1991-04-01  39538
1991-05-01  40030
1991-06-01  41958
1991-07-01  45700
1991-08-01  40946
1991-09-01  41560
1991-10-01  40558
1991-11-01  40366
1991-12-01  40221
1992-01-01  40031
1992-02-01  40285
1992-03-01  40875
1992-04-01  40499
1992-05-01  40800
1992-06-01  41837
1992-07-01  44109
1992-08-01  41533
1992-09-01  40670
1992-10-01  40509
1992-11-01  40831
1992-12-01  40678
1993-01-01  40670
1993-02-01  41019
1993-03-01  40920
1993-04-01  40778
1993-05-01  41058
1993-06-01  41709
1993-07-01  41709
1993-08-01  41313
1993-09-01  40680
1993-10-01  40644
1993-11-01  40769
1993-12-01  40772
1994-01-01  40372
1994-02-01  40547
1994-03-01  40256
1994-04-01  40620
1994-05-01  40539
1994-06-01  41065
1994-07-01  41541
1994-08-01  41386
1994-09-01  41525
1994-10-01  41197
1994-11-01  41285
1994-12-01  41431
1995-01-01  41102
1995-02-01  41433
1995-03-01  41689
1995-04-01  41010
1995-05-01  40837
1995-06-01  41030
1995-07-01  43609
1995-08-01  41904
1995-09-01  41475
1995-10-01  41253
1995-11-01  41365
1995-12-01  41605
1996-01-01  42167
1996-02-01  41681
1996-03-01  41546
1996-04-01  42831
1996-05-01  42123
1996-06-01  42334
1996-07-01  42899
1996-08-01  42159
1996-09-01  41925
1996-10-01  42152
1996-11-01  42392
1996-12-01  42581
1997-01-01  42615
1997-02-01  42319
1997-03-01  42890
1997-04-01  42896
1997-05-01  42952
1997-06-01  43948
1997-07-01  46148
1997-08-01  43063
1997-09-01  42025
1997-10-01  42259
1997-11-01  42348
1997-12-01  42155
1998-01-01  41526
1998-02-01  41408
1998-03-01  41730
1998-04-01  41087
1998-05-01  41416
1998-06-01  41184
1998-07-01  41453
1998-08-01  41365
1998-09-01  41022
1998-10-01  40882
1998-11-01  41156
1998-12-01  41165
1999-01-01  41055
1999-02-01  41023
1999-03-01  41010
1999-04-01  40778
1999-05-01  41254
1999-06-01  41250
1999-07-01  41833
1999-08-01  41720
1999-09-01  41197
1999-10-01  41489
1999-11-01  41870
1999-12-01  42052
2000-01-01  42155
2000-02-01  42544
2000-03-01  42512
2000-04-01  42464
2000-05-01  42484
2000-06-01  42660
2000-07-01  43086
2000-08-01  42748
2000-09-01  42573
2000-10-01  42363
2000-11-01  42518
2000-12-01  42606
2001-01-01  43284
2001-02-01  43043
2001-03-01  42724
2001-04-01  42462
2001-05-01  42469
2001-06-01  42335
2001-07-01  42918
2001-08-01  42182
2001-09-01  41518
2001-10-01  41712
2001-11-01  41581
2001-12-01  41188
2002-01-01  41158
2002-02-01  41608
2002-03-01  41444
2002-04-01  41497
2002-05-01  40898
2002-06-01  40788
2002-07-01  41530
2002-08-01  40675
2002-09-01  40450
2002-10-01  40202
2002-11-01  40216
2002-12-01  39862
2003-01-01  40514
2003-02-01  40975
2003-03-01  40737
2003-04-01  40811
2003-05-01  40563
2003-06-01  40886
2003-07-01  41508
2003-08-01  40611
2003-09-01  40304
2003-10-01  40221
2003-11-01  40346
2003-12-01  39717
2004-01-01  40217
2004-02-01  40345
2004-03-01  40191
2004-04-01  39709
2004-05-01  39627
2004-06-01  39823
2004-07-01  40108
2004-08-01  39506
2004-09-01  39655
2004-10-01  40067
2004-11-01  39394
2004-12-01  39348
2005-01-01  39106
2005-02-01  39410
2005-03-01  39048
2005-04-01  39054
2005-05-01  39380
2005-06-01  39546
2005-07-01  41762
2005-08-01  39401
2005-09-01  39738
2005-10-01  40484
2005-11-01  39869
2005-12-01  39399
2006-01-01  39455
2006-02-01  39972
2006-03-01  39593
2006-04-01  39539
2006-05-01  39681
2006-06-01  39730
2006-07-01  40074
2006-08-01  39601
2006-09-01  39793
2006-10-01  40032
2006-11-01  40322
2006-12-01  40010
2007-01-01  39290
2007-02-01  38739
2007-03-01  38583
2007-04-01  38596
2007-05-01  38305
2007-06-01  38469
2007-07-01  38928
2007-08-01  38180
2007-09-01  38046
2007-10-01  38014
2007-11-01  38213
2007-12-01  37757
2008-01-01  38304
2008-02-01  37895
2008-03-01  38120
2008-04-01  37927
2008-05-01  38167
2008-06-01  37993
2008-07-01  38820
2008-08-01  37889
2008-09-01  37792
2008-10-01  38014
2008-11-01  38616
2008-12-01  38274
2009-01-01  38690
2009-02-01  38649
2009-03-01  38058
2009-04-01  37971
2009-05-01  37905
2009-06-01  37803
2009-07-01  37920
2009-08-01  37479
2009-09-01  37492
2009-10-01  37917
2009-11-01  37873
2009-12-01  37841
2010-01-01  38541
2010-02-01  38618
2010-03-01  38776
2010-04-01  38838
2010-05-01  38619
2010-06-01  38285
2010-07-01  38301
2010-08-01  37798
2010-09-01  37691
2010-10-01  37592
2010-11-01  37933
2010-12-01  37553
2011-01-01  37530
2011-02-01  37503
2011-03-01  37560
2011-04-01  37473
2011-05-01  37501
2011-06-01  37439
2011-07-01  37448
2011-08-01  37008
2011-09-01  37101
2011-10-01  37305
2011-11-01  37255
2011-12-01  36990
2012-01-01  36789
2012-02-01  36859
2012-03-01  36903
2012-04-01  36598
2012-05-01  37158
2012-06-01  37069
2012-07-01  37083
2012-08-01  36735
2012-09-01  36980
2012-10-01  37095
2012-11-01  36844
2012-12-01  36634
2013-01-01  36850
2013-02-01  36742
2013-03-01  36533
2013-04-01  36362
2013-05-01  36646
2013-06-01  36597
2013-07-01  36776
2013-08-01  36025
2013-09-01  36211
2013-10-01  36003
2013-11-01  36024
2013-12-01  35660
2014-01-01  35480
2014-02-01  35568
2014-03-01  35835
2014-04-01  35326
2014-05-01  35677
2014-06-01  35418
2014-07-01  35684
2014-08-01  35264
2014-09-01  35399
2014-10-01  35649
2014-11-01  35561
2014-12-01  35163
2015-01-01  35404
2015-02-01  35399
2015-03-01  35430
2015-04-01  35365
2015-05-01  35809
2015-06-01  35603
2015-07-01  35651
2015-08-01  35261
2015-09-01  35330
2015-10-01  35462
2015-11-01  35518
2015-12-01  35344
2016-01-01  35481
2016-02-01  35652
2016-03-01  35958
2016-04-01  35693
2016-05-01  35817
2016-06-01  35837
2016-07-01  35862
2016-08-01  35756
2016-09-01  36021
2016-10-01  36196
2016-11-01  36151
2016-12-01  35898
2017-01-01  36285
2017-02-01  36487
2017-03-01  36660
2017-04-01  36580
2017-05-01  36561
2017-06-01  36604
2017-07-01  36602
2017-08-01  36284
2017-09-01  36749
2017-10-01  36654
2017-11-01  36571
2017-12-01  36295
2018-01-01  36622
2018-02-01  36907
2018-03-01  36903
2018-04-01  36711
2018-05-01  36960
2018-06-01  37030
2018-07-01  36949
2018-08-01  36446
2018-09-01  36575
2018-10-01  37029
2018-11-01  37146
