Title:               Civilian Labor Force in Cherokee County, NC
Series ID:           NCCHER9LFN
Source:              U.S. Bureau of Labor Statistics
Release:             Unemployment in States and Local Areas (all other areas) (Not a Press Release)
Seasonal Adjustment: Not Seasonally Adjusted
Frequency:           Monthly
Units:               Persons
Date Range:          1990-01-01 to 2018-11-01
Last Updated:        2019-01-03 10:18 AM CST
Notes:               

DATE        VALUE
1990-01-01   9250
1990-02-01   9009
1990-03-01   9381
1990-04-01   9220
1990-05-01   9389
1990-06-01   9581
1990-07-01  10874
1990-08-01   9708
1990-09-01   9578
1990-10-01   9289
1990-11-01   9384
1990-12-01   9367
1991-01-01   9194
1991-02-01   9037
1991-03-01   8948
1991-04-01   9369
1991-05-01   9173
1991-06-01   9825
1991-07-01   9552
1991-08-01   9357
1991-09-01   9057
1991-10-01   9275
1991-11-01   9179
1991-12-01   9111
1992-01-01   9073
1992-02-01   9146
1992-03-01   8930
1992-04-01   9210
1992-05-01   9361
1992-06-01   9505
1992-07-01   9522
1992-08-01   9593
1992-09-01   9133
1992-10-01   9011
1992-11-01   9043
1992-12-01   8919
1993-01-01   9075
1993-02-01   9289
1993-03-01   9104
1993-04-01   9462
1993-05-01   9278
1993-06-01   9556
1993-07-01   9717
1993-08-01   9585
1993-09-01   9176
1993-10-01   9139
1993-11-01   9157
1993-12-01   9117
1994-01-01   9846
1994-02-01   9292
1994-03-01   9297
1994-04-01   9266
1994-05-01   9331
1994-06-01   9499
1994-07-01   9722
1994-08-01   9652
1994-09-01   9465
1994-10-01   9491
1994-11-01   9401
1994-12-01   9290
1995-01-01   9687
1995-02-01   9585
1995-03-01   9708
1995-04-01   9844
1995-05-01   9730
1995-06-01   9807
1995-07-01   9861
1995-08-01   9964
1995-09-01   9913
1995-10-01  10209
1995-11-01   9828
1995-12-01  10003
1996-01-01   9871
1996-02-01  10093
1996-03-01   9952
1996-04-01  10099
1996-05-01   9855
1996-06-01  10056
1996-07-01  10372
1996-08-01  10342
1996-09-01  10260
1996-10-01  10127
1996-11-01  10160
1996-12-01  10190
1997-01-01  10026
1997-02-01   9907
1997-03-01  10149
1997-04-01   9883
1997-05-01  10100
1997-06-01  10208
1997-07-01  11002
1997-08-01  10376
1997-09-01  10176
1997-10-01  10096
1997-11-01  10115
1997-12-01  10300
1998-01-01  10415
1998-02-01  10480
1998-03-01  10456
1998-04-01  12184
1998-05-01  11446
1998-06-01  11375
1998-07-01  11640
1998-08-01  11711
1998-09-01  11592
1998-10-01  12221
1998-11-01  12246
1998-12-01  12597
1999-01-01  12186
1999-02-01  12213
1999-03-01  11876
1999-04-01  11862
1999-05-01  11922
1999-06-01  11972
1999-07-01  12553
1999-08-01  12129
1999-09-01  11992
1999-10-01  11624
1999-11-01  11631
1999-12-01  11849
2000-01-01  11227
2000-02-01  11264
2000-03-01  11336
2000-04-01  11332
2000-05-01  11334
2000-06-01  11509
2000-07-01  11565
2000-08-01  11575
2000-09-01  11473
2000-10-01  11800
2000-11-01  11764
2000-12-01  11813
2001-01-01  10520
2001-02-01  10546
2001-03-01  10544
2001-04-01  10388
2001-05-01  10297
2001-06-01  10319
2001-07-01  10303
2001-08-01  10203
2001-09-01  10184
2001-10-01  10125
2001-11-01   9989
2001-12-01   9882
2002-01-01   9732
2002-02-01  10086
