Title:               Civilian Labor Force in Cleveland County, NC
Series ID:           NCCLEV0LFN
Source:              U.S. Bureau of Labor Statistics
Release:             Unemployment in States and Local Areas (all other areas) (Not a Press Release)
Seasonal Adjustment: Not Seasonally Adjusted
Frequency:           Monthly
Units:               Persons
Date Range:          1990-01-01 to 2018-11-01
Last Updated:        2019-01-03 10:14 AM CST
Notes:               

DATE        VALUE
2015-01-01  45624
2015-02-01  45979
2015-03-01  46249
2015-04-01  46096
2015-05-01  46208
2015-06-01  45916
2015-07-01  45878
2015-08-01  45494
2015-09-01  46056
2015-10-01  46549
2015-11-01  46611
2015-12-01  46379
2016-01-01  46367
2016-02-01  46849
2016-03-01  47043
2016-04-01  46753
2016-05-01  46588
2016-06-01  46434
2016-07-01  46643
2016-08-01  46310
2016-09-01  46848
2016-10-01  47342
2016-11-01  47186
2016-12-01  46799
2017-01-01  47175
2017-02-01  47802
2017-03-01  47636
2017-04-01  47617
2017-05-01  47322
2017-06-01  47285
2017-07-01  47439
2017-08-01  47188
2017-09-01  47801
2017-10-01  47877
2017-11-01  47845
2017-12-01  47462
2018-01-01  47803
2018-02-01  48263
2018-03-01  48394
2018-04-01  48065
2018-05-01  48313
2018-06-01  48122
2018-07-01  47924
2018-08-01  46718
2018-09-01  47025
2018-10-01  47732
2018-11-01  47570
