Title:               Resident Population in Cabarrus County, NC
Series ID:           NCCABA5POP
Source:              U.S. Bureau of the Census
Release:             Annual Estimates of the Population for Counties (Not a Press Release)
Seasonal Adjustment: Not Seasonally Adjusted
Frequency:           Annual
Units:               Thousands of Persons
Date Range:          1970-01-01 to 2017-01-01
Last Updated:        2018-03-27 3:22 PM CDT
Notes:               Data for "Resident Population" are from estimates as of July 1. Data
                     for 1970 and 1980 are annual census.

DATE          VALUE
1970-01-01   74.629
1971-01-01   76.600
1972-01-01   77.600
1973-01-01   78.500
1974-01-01   79.500
1975-01-01   80.000
1976-01-01   80.100
1977-01-01   81.300
1978-01-01   82.300
1979-01-01   84.200
1980-01-01   85.895
1981-01-01   87.672
1982-01-01   89.158
1983-01-01   90.052
1984-01-01   91.302
1985-01-01   92.230
1986-01-01   93.099
1987-01-01   94.427
1988-01-01   95.852
1989-01-01   97.380
1990-01-01   99.590
1991-01-01  101.944
1992-01-01  104.351
1993-01-01  106.023
1994-01-01  108.410
1995-01-01  111.484
1996-01-01  114.989
1997-01-01  118.515
1998-01-01  123.005
1999-01-01  127.826
2000-01-01  132.206
2001-01-01  136.166
2002-01-01  139.428
2003-01-01  142.551
2004-01-01  145.003
2005-01-01  148.730
2006-01-01  155.189
2007-01-01  162.759
2008-01-01  168.514
2009-01-01  172.170
2010-01-01  178.537
2011-01-01  181.228
2012-01-01  184.232
2013-01-01  187.160
2014-01-01  191.662
2015-01-01  196.315
2016-01-01  201.573
2017-01-01  206.872
