Title:               Continued Claims (Insured Unemployment) in North Carolina
Series ID:           NCCCLAIMS
Source:              U.S. Employment and Training Administration
Release:             Unemployment Insurance Weekly Claims Report
Seasonal Adjustment: Not Seasonally Adjusted
Frequency:           Weekly, Ending Saturday
Units:               Number
Date Range:          1986-02-08 to 2018-12-22
Last Updated:        2019-01-10 8:11 AM CST
Notes:               

DATE         VALUE
1986-02-08   60286
1986-02-15   63934
1986-02-22   70117
1986-03-01   56330
1986-03-08   63702
1986-03-15   65447
1986-03-22   59767
1986-03-29   53246
1986-04-05  566617
1986-04-12   57184
1986-04-19   49468
1986-04-26   46277
1986-05-03   48525
1986-05-10   47020
1986-05-17   45278
1986-05-24   42521
1986-05-31   46910
1986-06-07   44235
1986-06-14   46221
1986-06-21   39922
1986-06-28   40875
1986-07-05   48010
1986-07-12   52938
1986-07-19   48300
1986-07-26   42056
1986-08-02   42251
1986-08-09   41767
1986-08-16   41593
1986-08-23   41433
1986-08-30   35516
1986-09-06   41789
1986-09-13   37076
1986-09-20   33643
1986-09-27   33150
1986-10-04   35934
1986-10-11   35246
1986-10-18   36592
1986-10-25   36981
1986-11-01   36679
1986-11-08   37568
1986-11-15   40954
1986-11-22   34235
1986-11-29   56468
1986-12-06   53333
1986-12-13   48393
1986-12-20   27729
1986-12-27   57025
1987-01-03   90074
1987-01-10   74302
1987-01-17   72885
1987-01-24   61155
1987-01-31   64744
1987-02-07   69723
1987-02-14   49651
1987-02-21   68343
1987-02-28   64561
1987-03-07   61309
1987-03-14   58552
1987-03-21   52373
1987-03-28   48307
1987-04-04   50014
1987-04-11   44572
1987-04-18   42317
1987-04-25   43127
1987-05-02       .
1987-05-09   39078
1987-05-16   37298
1987-05-23   33461
1987-05-30   35053
1987-06-06   32739
1987-06-13   34695
1987-06-20   32372
1987-06-27   35085
1987-07-04   38133
1987-07-11   41234
1987-07-18   37626
1987-07-25   34075
1987-08-01   32648
1987-08-08   31614
1987-08-15   32195
1987-08-22   30265
1987-08-29   29489
1987-09-05   27030
1987-09-12   29065
1987-09-19   27053
1987-09-26   27091
1987-10-03   26235
1987-10-10   25874
1987-10-17   25639
1987-10-24   24986
1987-10-31   26325
1987-11-07   24818
1987-11-14   32127
1987-11-21   23412
1987-11-28   42335
1987-12-05   37350
1987-12-12   35273
1987-12-19   27694
1987-12-26   51237
1988-01-02   49145
1988-01-09   90257
1988-01-16   66072
1988-01-23   70172
1988-01-30   60967
1988-02-06   58568
1988-02-13   39822
1988-02-20   51106
1988-02-27   47116
1988-03-05   46317
1988-03-12   43438
1988-03-19   42397
1988-03-26   34822
1988-04-02   39927
1988-04-09   36836
1988-04-16   37556
1988-04-23   32468
1988-04-30   36423
1988-05-07   32061
1988-05-14   32861
1988-05-21   32777
1988-05-28   30403
1988-06-04   33898
1988-06-11   36856
1988-06-18   30060
1988-06-25   30570
1988-07-02   34304
1988-07-09   42804
1988-07-16   50580
1988-07-23   34446
1988-07-30   32104
1988-08-06   37465
1988-08-13   31740
1988-08-20   31236
1988-08-27   29857
1988-09-03   29761
1988-09-10   31835
1988-09-17   33048
1988-09-24   26659
1988-10-01   27914
1988-10-08   26262
1988-10-15   27800
1988-10-22   27156
1988-10-29   27844
1988-11-05   23345
1988-11-12   33802
1988-11-19   24151
1988-11-26   49260
1988-12-03   37251
1988-12-10   41373
1988-12-17   32636
1988-12-24   43595
1988-12-31   76156
1989-01-07   69774
1989-01-14   56660
1989-01-21   52268
1989-01-28   46278
1989-02-04   45057
1989-02-11   46917
1989-02-18   42383
1989-02-25   58684
1989-03-04   60140
1989-03-11   59802
1989-03-18   41227
1989-03-25   52535
1989-04-01   48873
1989-04-08   41452
1989-04-15   41049
1989-04-22   35689
1989-04-29   36823
1989-05-06   37448
1989-05-13   36544
1989-05-20   34172
1989-05-27   32879
1989-06-03   36115
1989-06-10   33689
1989-06-17   33151
1989-06-24   34055
1989-07-01   32680
1989-07-08   48848
1989-07-15   43493
1989-07-22   36236
1989-07-29   35029
1989-08-05   34542
1989-08-12   35085
1989-08-19   33599
1989-08-26   32806
1989-09-02   29828
1989-09-09   34968
1989-09-16   30314
1989-09-23   30652
1989-09-30   34524
1989-10-07   31192
1989-10-14   33387
1989-10-21   31910
1989-10-28   37196
1989-11-04   28697
1989-11-11   37357
1989-11-18   27419
1989-11-25   53518
1989-12-02   44133
1989-12-09   42892
1989-12-16   47865
1989-12-23   47917
1989-12-30   83662
1990-01-06   96497
1990-01-13   67143
1990-01-20   59142
1990-01-27   54686
1990-02-03   57791
1990-02-10   53978
1990-02-17   56397
1990-02-24   55776
1990-03-03   56799
1990-03-10   54437
1990-03-17   53000
1990-03-24   49418
1990-03-31   52050
1990-04-07   42713
1990-04-14   54367
1990-04-21   50301
1990-04-28   45705
1990-05-05   47033
1990-05-12   44439
1990-05-19   43295
1990-05-26   40772
1990-06-02   50420
1990-06-09   45248
1990-06-16   42235
1990-06-23   42752
1990-06-30   50301
1990-07-07   60189
1990-07-14   59698
1990-07-21   52528
1990-07-28   43662
1990-08-04   47123
1990-08-11   48382
1990-08-18   44494
1990-08-25   46238
1990-09-01   41889
1990-09-08   51209
1990-09-15   45556
1990-09-22   45824
1990-09-29   49128
1990-10-06   45920
1990-10-13   57921
1990-10-20   53795
1990-10-27   60448
1990-11-03   65934
1990-11-10   59611
1990-11-17   48303
1990-11-24  101827
1990-12-01   82400
1990-12-08   75064
1990-12-15   75847
1990-12-22   80824
1990-12-29  117953
1991-01-05  158765
1991-01-12  122632
1991-01-19   98863
1991-01-26  103045
1991-02-02  107119
1991-02-09  104926
1991-02-16  101824
1991-02-23  109632
1991-03-02  104620
1991-03-09  108608
1991-03-16  105352
1991-03-23   90327
1991-03-30  107610
1991-04-06   98507
1991-04-13   88337
1991-04-20   85628
1991-04-27   79578
1991-05-04   84498
1991-05-11   78142
1991-05-18   73827
1991-05-25   74703
1991-06-01   77711
1991-06-08   72903
1991-06-15   70810
1991-06-22   66588
1991-06-29   64930
1991-07-06   85019
1991-07-13   80751
1991-07-20   72022
1991-07-27   64951
1991-08-03   66673
1991-08-10   64818
1991-08-17   63905
1991-08-24   60081
1991-08-31   58191
1991-09-07   60617
1991-09-14   57082
1991-09-21   54116
1991-09-28   56179
1991-10-05   55474
1991-10-12   54265
1991-10-19   56133
1991-10-26   56350
1991-11-02   57023
1991-11-09   57765
1991-11-16   61826
1991-11-23   57055
1991-11-30   76857
1991-12-07   71218
1991-12-14   69202
1991-12-21   63285
1991-12-28  108795
1992-01-04  145360
1992-01-11  109450
1992-01-18   86704
1992-01-25   88430
1992-02-01   86927
1992-02-08   84109
1992-02-15   82274
1992-02-22   84284
1992-02-29   82915
1992-03-07   80264
1992-03-14   77307
1992-03-21   74621
1992-03-28   73024
1992-04-04   71347
1992-04-11   63849
1992-04-18   65510
1992-04-25   69856
1992-05-02   61108
1992-05-09   62645
1992-05-16   58287
1992-05-23   54207
1992-05-30   57268
1992-06-06   54360
1992-06-13   57822
1992-06-20   53463
1992-06-27   51217
1992-07-04   64679
1992-07-11   66867
1992-07-18   56373
1992-07-25   52168
1992-08-01   52161
1992-08-08   48355
1992-08-15   48196
1992-08-22   49003
1992-08-29   46748
1992-09-05   45503
1992-09-12   47976
1992-09-19   43694
1992-09-26   43174
1992-10-03   36658
1992-10-10   37099
1992-10-17   37925
1992-10-24   38568
1992-10-31   39346
1992-11-07   40715
1992-11-14   40588
1992-11-21   37506
1992-11-28   47306
1992-12-05   46231
1992-12-12   43744
1992-12-19   39406
1992-12-26   45924
1993-01-02   58855
1993-01-09   56653
1993-01-16   51156
1993-01-23   52671
1993-01-30   50622
1993-02-06   50576
1993-02-13   49315
1993-02-20   50044
1993-02-27   48646
1993-03-06   51014
1993-03-13   46425
1993-03-20   50133
1993-03-27   48731
1993-04-03   42495
1993-04-10   44713
1993-04-17   45316
1993-04-24   41373
1993-05-01   39867
1993-05-08   39997
1993-05-15   39549
1993-05-22   38861
1993-05-29   37842
1993-06-05   38843
1993-06-12   38234
1993-06-19   37380
1993-06-26   36595
1993-07-03   38175
1993-07-10   42385
1993-07-17   40302
1993-07-24   38998
1993-07-31   37251
1993-08-07   37534
1993-08-14   35851
1993-08-21   35107
1993-08-28   34341
1993-09-04   33757
1993-09-11   34801
