Title:               Resident Population in Craven County, NC
Series ID:           NCCRAV5POP
Source:              U.S. Bureau of the Census
Release:             Annual Estimates of the Population for Counties (Not a Press Release)
Seasonal Adjustment: Not Seasonally Adjusted
Frequency:           Annual
Units:               Thousands of Persons
Date Range:          1970-01-01 to 2017-01-01
Last Updated:        2018-03-27 3:22 PM CDT
Notes:               Data for "Resident Population" are from estimates as of July 1. Data
                     for 1970 and 1980 are annual census.

DATE          VALUE
1970-01-01   62.554
1971-01-01   64.500
1972-01-01   65.700
1973-01-01   68.200
1974-01-01   67.600
1975-01-01   69.500
1976-01-01   71.600
1977-01-01   71.400
1978-01-01   71.600
1979-01-01   70.900
1980-01-01   71.043
1981-01-01   72.236
1982-01-01   73.774
1983-01-01   74.848
1984-01-01   76.998
1985-01-01   79.439
1986-01-01   79.809
1987-01-01   79.589
1988-01-01   80.758
1989-01-01   81.098
1990-01-01   82.131
1991-01-01   83.304
1992-01-01   84.429
1993-01-01   84.211
1994-01-01   84.458
1995-01-01   85.998
1996-01-01   87.618
1997-01-01   89.128
1998-01-01   90.041
1999-01-01   90.843
2000-01-01   91.795
2001-01-01   93.185
2002-01-01   92.386
2003-01-01   92.513
2004-01-01   92.935
2005-01-01   93.974
2006-01-01   95.358
2007-01-01   95.508
2008-01-01   96.337
2009-01-01   98.065
2010-01-01  104.169
2011-01-01  104.873
2012-01-01  105.331
2013-01-01  104.310
2014-01-01  104.111
2015-01-01  103.015
2016-01-01  102.857
2017-01-01  102.578
