Title:               Civilian Labor Force in Chatham County, NC
Series ID:           NCCHAT7LFN
Source:              U.S. Bureau of Labor Statistics
Release:             Unemployment in States and Local Areas (all other areas) (Not a Press Release)
Seasonal Adjustment: Not Seasonally Adjusted
Frequency:           Monthly
Units:               Persons
Date Range:          1990-01-01 to 2018-11-01
Last Updated:        2019-01-03 10:14 AM CST
Notes:               

DATE        VALUE
1990-01-01  21226
1990-02-01  21625
1990-03-01  21733
1990-04-01  21768
1990-05-01  21927
1990-06-01  22053
1990-07-01  22544
1990-08-01  22458
1990-09-01  22151
1990-10-01  22351
1990-11-01  22504
1990-12-01  22492
1991-01-01  21980
1991-02-01  22521
1991-03-01  22395
1991-04-01  22561
1991-05-01  22677
1991-06-01  22692
1991-07-01  22939
1991-08-01  23018
1991-09-01  23233
1991-10-01  23432
1991-11-01  23273
1991-12-01  23074
1992-01-01  22642
1992-02-01  22768
1992-03-01  22823
1992-04-01  22541
1992-05-01  22764
1992-06-01  22995
1992-07-01  23497
1992-08-01  23315
1992-09-01  23056
1992-10-01  23206
1992-11-01  23192
1992-12-01  23127
1993-01-01  22544
1993-02-01  22897
1993-03-01  22778
1993-04-01  22697
1993-05-01  22872
1993-06-01  22942
1993-07-01  23367
1993-08-01  23422
1993-09-01  23045
1993-10-01  22856
1993-11-01  23258
1993-12-01  23541
1994-01-01  23202
1994-02-01  23417
1994-03-01  23375
1994-04-01  23296
1994-05-01  23382
1994-06-01  23453
1994-07-01  23476
1994-08-01  23669
1994-09-01  23427
1994-10-01  23661
1994-11-01  23888
1994-12-01  23699
1995-01-01  23416
1995-02-01  23711
1995-03-01  23749
1995-04-01  23671
1995-05-01  23838
1995-06-01  23986
1995-07-01  24345
1995-08-01  24409
1995-09-01  24194
1995-10-01  24662
1995-11-01  24788
1995-12-01  24633
1996-01-01  24544
1996-02-01  24911
1996-03-01  25040
1996-04-01  24983
1996-05-01  25325
1996-06-01  25543
1996-07-01  26005
1996-08-01  25773
1996-09-01  25611
1996-10-01  26219
1996-11-01  26432
1996-12-01  26168
1997-01-01  25875
1997-02-01  26142
1997-03-01  26498
1997-04-01  26611
1997-05-01  26378
1997-06-01  26655
1997-07-01  26698
1997-08-01  26305
1997-09-01  26206
1997-10-01  26713
1997-11-01  27009
1997-12-01  26714
1998-01-01  26281
1998-02-01  26694
1998-03-01  26697
1998-04-01  27084
1998-05-01  26935
1998-06-01  26888
1998-07-01  27017
1998-08-01  26590
1998-09-01  26751
1998-10-01  27099
1998-11-01  27204
1998-12-01  27012
1999-01-01  26729
1999-02-01  27035
1999-03-01  27142
1999-04-01  27187
1999-05-01  27324
1999-06-01  27604
1999-07-01  27806
1999-08-01  27446
1999-09-01  27347
1999-10-01  27620
1999-11-01  27890
1999-12-01  27819
2000-01-01  26410
2000-02-01  26918
2000-03-01  27002
2000-04-01  27078
2000-05-01  26931
2000-06-01  27000
2000-07-01  27026
2000-08-01  26710
2000-09-01  26632
2000-10-01  26873
2000-11-01  27045
2000-12-01  27291
2001-01-01  28288
2001-02-01  28501
2001-03-01  28781
2001-04-01  28671
2001-05-01  28473
2001-06-01  28522
2001-07-01  28714
2001-08-01  28054
2001-09-01  27940
2001-10-01  28116
2001-11-01  28096
2001-12-01  28257
2002-01-01  28909
2002-02-01  29247
2002-03-01  29366
2002-04-01  29435
2002-05-01  29338
2002-06-01  29323
2002-07-01  29018
2002-08-01  28793
2002-09-01  28772
2002-10-01  28586
2002-11-01  28644
2002-12-01  28266
2003-01-01  29244
2003-02-01  29669
2003-03-01  29876
2003-04-01  29714
2003-05-01  29545
2003-06-01  29722
2003-07-01  29651
2003-08-01  29333
2003-09-01  29255
2003-10-01  29301
2003-11-01  29441
2003-12-01  29277
2004-01-01  29885
2004-02-01  29994
2004-03-01  29978
2004-04-01  29704
2004-05-01  29833
2004-06-01  30187
2004-07-01  30407
2004-08-01  29982
2004-09-01  29835
2004-10-01  29951
2004-11-01  30154
2004-12-01  29933
2005-01-01  30022
2005-02-01  30269
2005-03-01  30410
2005-04-01  30432
2005-05-01  30549
2005-06-01  30788
2005-07-01  31291
2005-08-01  30981
2005-09-01  31009
2005-10-01  31067
2005-11-01  31113
2005-12-01  31162
2006-01-01  31539
2006-02-01  31771
2006-03-01  31973
2006-04-01  31933
2006-05-01  32206
2006-06-01  32505
2006-07-01  32981
2006-08-01  32783
2006-09-01  32772
2006-10-01  33033
2006-11-01  33088
