Title:               Resident Population in Chowan County, NC
Series ID:           NCCHOW1POP
Source:              U.S. Bureau of the Census
Release:             Annual Estimates of the Population for Counties (Not a Press Release)
Seasonal Adjustment: Not Seasonally Adjusted
Frequency:           Annual
Units:               Thousands of Persons
Date Range:          1970-01-01 to 2017-01-01
Last Updated:        2018-03-27 3:22 PM CDT
Notes:               Data for "Resident Population" are from estimates as of July 1. Data
                     for 1970 and 1980 are annual census.

DATE         VALUE
1970-01-01  10.764
1971-01-01  10.900
1972-01-01  11.000
1973-01-01  11.000
1974-01-01  11.100
1975-01-01  11.400
1976-01-01  11.800
1977-01-01  12.100
1978-01-01  12.600
1979-01-01  12.600
1980-01-01  12.558
1981-01-01  12.564
1982-01-01  12.585
1983-01-01  12.684
1984-01-01  12.899
1985-01-01  13.056
1986-01-01  13.230
1987-01-01  13.406
1988-01-01  13.505
1989-01-01  13.462
1990-01-01  13.540
1991-01-01  13.660
1992-01-01  13.807
1993-01-01  13.894
1994-01-01  14.011
1995-01-01  14.090
1996-01-01  14.324
1997-01-01  14.391
1998-01-01  14.436
1999-01-01  14.558
2000-01-01  14.444
2001-01-01  14.483
2002-01-01  14.573
2003-01-01  14.562
2004-01-01  14.623
2005-01-01  14.694
2006-01-01  14.923
2007-01-01  15.070
2008-01-01  14.982
2009-01-01  15.095
2010-01-01  14.737
2011-01-01  14.821
2012-01-01  14.712
2013-01-01  14.689
2014-01-01  14.534
2015-01-01  14.284
2016-01-01  14.240
2017-01-01  14.105
