Title:               Civilian Labor Force in Columbus County, NC
Series ID:           NCCOLU0LFN
Source:              U.S. Bureau of Labor Statistics
Release:             Unemployment in States and Local Areas (all other areas) (Not a Press Release)
Seasonal Adjustment: Not Seasonally Adjusted
Frequency:           Monthly
Units:               Persons
Date Range:          1990-01-01 to 2018-11-01
Last Updated:        2019-01-03 10:14 AM CST
Notes:               

DATE        VALUE
2015-01-01  22487
2015-02-01  22386
2015-03-01  22592
2015-04-01  22456
2015-05-01  22792
2015-06-01  23003
2015-07-01  23090
2015-08-01  22486
2015-09-01  22515
2015-10-01  22672
2015-11-01  22442
2015-12-01  22395
2016-01-01  22363
2016-02-01  22544
2016-03-01  22816
2016-04-01  22678
2016-05-01  22787
2016-06-01  23007
2016-07-01  23076
2016-08-01  22512
2016-09-01  22495
2016-10-01  22203
2016-11-01  22263
2016-12-01  22126
2017-01-01  21967
2017-02-01  22158
2017-03-01  22521
2017-04-01  22440
2017-05-01  22554
2017-06-01  22637
2017-07-01  22759
2017-08-01  22224
2017-09-01  22368
2017-10-01  22235
2017-11-01  22093
2017-12-01  21930
2018-01-01  21987
2018-02-01  22065
2018-03-01  22242
2018-04-01  22200
2018-05-01  22477
2018-06-01  22672
2018-07-01  22736
2018-08-01  22333
2018-09-01  22252
2018-10-01  22384
2018-11-01  22214
