Title:               Civilian Labor Force in Carteret County, NC
Series ID:           NCCART1LFN
Source:              U.S. Bureau of Labor Statistics
Release:             Unemployment in States and Local Areas (all other areas) (Not a Press Release)
Seasonal Adjustment: Not Seasonally Adjusted
Frequency:           Monthly
Units:               Persons
Date Range:          1990-01-01 to 2018-11-01
Last Updated:        2019-01-03 10:14 AM CST
Notes:               

DATE        VALUE
1990-01-01  25522
1990-02-01  25597
1990-03-01  25619
1990-04-01  25383
1990-05-01  25971
1990-06-01  26315
1990-07-01  26214
1990-08-01  25891
1990-09-01  25238
1990-10-01  25152
1990-11-01  25376
1990-12-01  25377
1991-01-01  25865
1991-02-01  25953
1991-03-01  25821
1991-04-01  25989
1991-05-01  26255
1991-06-01  26586
1991-07-01  27185
1991-08-01  26982
1991-09-01  26674
1991-10-01  26294
1991-11-01  26413
1991-12-01  26622
1992-01-01  27533
1992-02-01  27398
1992-03-01  26866
1992-04-01  26788
1992-05-01  27118
1992-06-01  27585
1992-07-01  27966
1992-08-01  27936
1992-09-01  27274
1992-10-01  27129
1992-11-01  27048
1992-12-01  27248
1993-01-01  27824
1993-02-01  27827
1993-03-01  27504
1993-04-01  27024
1993-05-01  27202
1993-06-01  27477
1993-07-01  27929
1993-08-01  27870
1993-09-01  26952
1993-10-01  26903
1993-11-01  26969
1993-12-01  26882
1994-01-01  27149
1994-02-01  27306
1994-03-01  27075
1994-04-01  26659
1994-05-01  27038
1994-06-01  27228
1994-07-01  27928
1994-08-01  28205
1994-09-01  27442
1994-10-01  27444
1994-11-01  27560
1994-12-01  27768
1995-01-01  28277
1995-02-01  27936
1995-03-01  28002
1995-04-01  28193
1995-05-01  28095
1995-06-01  28447
1995-07-01  28955
1995-08-01  28754
1995-09-01  27958
1995-10-01  28065
1995-11-01  28635
1995-12-01  28497
1996-01-01  28567
1996-02-01  28658
1996-03-01  28692
1996-04-01  28537
1996-05-01  29059
1996-06-01  29436
1996-07-01  29941
1996-08-01  29665
1996-09-01  29452
1996-10-01  29629
1996-11-01  30044
1996-12-01  29838
1997-01-01  30396
1997-02-01  30027
1997-03-01  30206
1997-04-01  29899
1997-05-01  30212
1997-06-01  30581
1997-07-01  30845
1997-08-01  31040
1997-09-01  30088
1997-10-01  30352
1997-11-01  30540
1997-12-01  30628
1998-01-01  30612
1998-02-01  30266
1998-03-01  30350
1998-04-01  29771
1998-05-01  30171
1998-06-01  30384
1998-07-01  30751
1998-08-01  30181
1998-09-01  29995
1998-10-01  29929
1998-11-01  30013
1998-12-01  29979
1999-01-01  30295
1999-02-01  30113
1999-03-01  30052
1999-04-01  30071
1999-05-01  30017
1999-06-01  30604
1999-07-01  30712
1999-08-01  30507
1999-09-01  30010
1999-10-01  29955
1999-11-01  30083
1999-12-01  30017
2000-01-01  28476
2000-02-01  28639
2000-03-01  29208
2000-04-01  29653
2000-05-01  30181
2000-06-01  31064
2000-07-01  31527
2000-08-01  30833
2000-09-01  29809
2000-10-01  29091
2000-11-01  28945
2000-12-01  28898
2001-01-01  28782
2001-02-01  28862
2001-03-01  29552
2001-04-01  29628
2001-05-01  29854
2001-06-01  30744
2001-07-01  31114
2001-08-01  30680
2001-09-01  30244
2001-10-01  29518
2001-11-01  29338
2001-12-01  28967
2002-01-01  29029
2002-02-01  29137
2002-03-01  29518
2002-04-01  30049
2002-05-01  30536
2002-06-01  31116
2002-07-01  31331
2002-08-01  30945
2002-09-01  30217
2002-10-01  29814
2002-11-01  29301
2002-12-01  29117
2003-01-01  29952
2003-02-01  29952
2003-03-01  30241
2003-04-01  31403
2003-05-01  31753
2003-06-01  32510
2003-07-01  32852
2003-08-01  32161
2003-09-01  31344
2003-10-01  31266
2003-11-01  31244
2003-12-01  30993
2004-01-01  30629
2004-02-01  30435
2004-03-01  30726
2004-04-01  31835
2004-05-01  32154
2004-06-01  32722
2004-07-01  33351
2004-08-01  33075
2004-09-01  31897
2004-10-01  31343
2004-11-01  31348
2004-12-01  31260
2005-01-01  30694
2005-02-01  31000
2005-03-01  31447
2005-04-01  32249
2005-05-01  32521
2005-06-01  33480
2005-07-01  33921
2005-08-01  33588
2005-09-01  32772
2005-10-01  32060
2005-11-01  31726
2005-12-01  31540
2006-01-01  31119
2006-02-01  31428
2006-03-01  31645
2006-04-01  32960
2006-05-01  33315
2006-06-01  34561
2006-07-01  34950
2006-08-01  33986
2006-09-01  33299
2006-10-01  32772
2006-11-01  32672
2006-12-01  32313
2007-01-01  32444
2007-02-01  32340
2007-03-01  32657
2007-04-01  33185
2007-05-01  33392
2007-06-01  34221
2007-07-01  34917
2007-08-01  33989
2007-09-01  33667
2007-10-01  32774
2007-11-01  32784
2007-12-01  32381
2008-01-01  31519
2008-02-01  31321
2008-03-01  31757
2008-04-01  32613
2008-05-01  33144
2008-06-01  34029
2008-07-01  34725
2008-08-01  33839
2008-09-01  33154
2008-10-01  32386
2008-11-01  32312
2008-12-01  32112
2009-01-01  31475
2009-02-01  31720
2009-03-01  31811
2009-04-01  32479
2009-05-01  33043
2009-06-01  33794
2009-07-01  34520
2009-08-01  33501
2009-09-01  33021
2009-10-01  32188
2009-11-01  32143
2009-12-01  31792
2010-01-01  30220
2010-02-01  30495
2010-03-01  30693
2010-04-01  31595
2010-05-01  31996
2010-06-01  32369
2010-07-01  33101
2010-08-01  32361
2010-09-01  31766
2010-10-01  30910
2010-11-01  30627
2010-12-01  30415
2011-01-01  29832
2011-02-01  30019
2011-03-01  30347
2011-04-01  30902
2011-05-01  31588
2011-06-01  31982
2011-07-01  32322
2011-08-01  31760
2011-09-01  31319
2011-10-01  30785
2011-11-01  30406
2011-12-01  30319
2012-01-01  30160
2012-02-01  30262
2012-03-01  30510
2012-04-01  31346
2012-05-01  32115
2012-06-01  32916
2012-07-01  33004
2012-08-01  32199
2012-09-01  31817
2012-10-01  31504
2012-11-01  31188
2012-12-01  30997
2013-01-01  30276
2013-02-01  30169
2013-03-01  30181
2013-04-01  30940
2013-05-01  31766
2013-06-01  32551
2013-07-01  33082
2013-08-01  32209
2013-09-01  31554
2013-10-01  30764
2013-11-01  30532
2013-12-01  30109
2014-01-01  29627
2014-02-01  29762
2014-03-01  30238
2014-04-01  30841
2014-05-01  31824
2014-06-01  32454
2014-07-01  32918
2014-08-01  32144
2014-09-01  31561
2014-10-01  31005
2014-11-01  30662
2014-12-01  30018
2015-01-01  30150
2015-02-01  30110
2015-03-01  30550
2015-04-01  31191
2015-05-01  32150
2015-06-01  32697
2015-07-01  33142
2015-08-01  32208
2015-09-01  31583
2015-10-01  31006
2015-11-01  30899
2015-12-01  30326
2016-01-01  30122
2016-02-01  30336
2016-03-01  31041
2016-04-01  31505
2016-05-01  32031
2016-06-01  32791
2016-07-01  33068
2016-08-01  32471
2016-09-01  31984
2016-10-01  31399
2016-11-01  31187
2016-12-01  30548
2017-01-01  30630
2017-02-01  31130
2017-03-01  31497
2017-04-01  31883
2017-05-01  32439
2017-06-01  33385
2017-07-01  33534
2017-08-01  32731
2017-09-01  32285
2017-10-01  31988
2017-11-01  31720
2017-12-01  31256
2018-01-01  31005
2018-02-01  30742
2018-03-01  31012
2018-04-01  31679
2018-05-01  32741
2018-06-01  33569
2018-07-01  33837
2018-08-01  33063
2018-09-01  32560
2018-10-01  32465
2018-11-01  31994
