Title:               State Government Tax Collections, Corporation Net Income Taxes in North Carolina
Series ID:           NCCORPINCTX
Source:              U.S. Bureau of the Census
Release:             State Government Tax Collections (Not a Press Release)
Seasonal Adjustment: Not Seasonally Adjusted
Frequency:           Annual
Units:               Thousands of Dollars
Date Range:          1942-01-01 to 2017-01-01
Last Updated:        2019-01-07 1:31 PM CST
Notes:               For more information, see
                     http://www.census.gov/govs/www/statetax.html.

DATE          VALUE
1942-01-01    16376
1943-01-01        .
1944-01-01    24614
1945-01-01        .
1946-01-01    21845
1947-01-01        .
1948-01-01    35280
1949-01-01        .
1950-01-01    30015
1951-01-01    39101
1952-01-01    42564
1953-01-01    38429
1954-01-01    37907
1955-01-01    34957
1956-01-01    44134
1957-01-01    45582
1958-01-01    45575
1959-01-01    41044
1960-01-01    51516
1961-01-01    55330
1962-01-01    56796
1963-01-01    62655
1964-01-01    66218
1965-01-01    79441
1966-01-01    90481
1967-01-01    98494
1968-01-01    96888
1969-01-01   112457
1970-01-01   112408
1971-01-01   116707
1972-01-01   123502
1973-01-01   139239
1974-01-01   153289
1975-01-01   166447
1976-01-01   156661
1977-01-01   204291
1978-01-01   230088
1979-01-01   254778
1980-01-01   291752
1981-01-01   279937
1982-01-01   277460
1983-01-01   306534
1984-01-01   368047
1985-01-01   490296
1986-01-01   512095
1987-01-01   566480
1988-01-01   633049
1989-01-01   789261
1990-01-01   612388
1991-01-01   499958
1992-01-01   643865
1993-01-01   710658
1994-01-01   737260
1995-01-01   906007
1996-01-01   939278
1997-01-01   981378
1998-01-01   999759
1999-01-01   920583
2000-01-01  1197162
2001-01-01   723635
2002-01-01   668124
2003-01-01   898369
2004-01-01   837085
2005-01-01  1271985
2006-01-01  1308022
2007-01-01  1565544
2008-01-01  1206412
2009-01-01   901445
2010-01-01  1294314
2011-01-01  1092078
2012-01-01  1220072
2013-01-01  1285907
2014-01-01  1360628
2015-01-01  1330223
2016-01-01  1066511
2017-01-01   757041
