Title:               Civilian Labor Force in Craven County, NC
Series ID:           NCCRAV5LFN
Source:              U.S. Bureau of Labor Statistics
Release:             Unemployment in States and Local Areas (all other areas) (Not a Press Release)
Seasonal Adjustment: Not Seasonally Adjusted
Frequency:           Monthly
Units:               Persons
Date Range:          1990-01-01 to 2018-11-01
Last Updated:        2019-01-03 10:14 AM CST
Notes:               

DATE        VALUE
1990-01-01  32359
1990-02-01  32603
1990-03-01  33152
1990-04-01  33323
1990-05-01  34246
1990-06-01  34815
1990-07-01  34778
1990-08-01  34415
1990-09-01  33612
1990-10-01  34372
1990-11-01  33769
1990-12-01  33302
1991-01-01  33215
1991-02-01  33476
1991-03-01  33555
1991-04-01  34012
1991-05-01  34604
1991-06-01  35123
1991-07-01  35773
1991-08-01  35622
1991-09-01  35100
1991-10-01  34339
1991-11-01  33656
1991-12-01  33467
1992-01-01  33905
1992-02-01  34257
1992-03-01  34838
1992-04-01  34858
1992-05-01  36354
1992-06-01  37090
1992-07-01  36825
1992-08-01  36697
1992-09-01  35607
1992-10-01  35306
1992-11-01  34925
1992-12-01  34642
1993-01-01  33893
1993-02-01  33646
1993-03-01  33459
1993-04-01  33700
1993-05-01  34281
1993-06-01  34881
1993-07-01  35594
1993-08-01  35566
1993-09-01  34311
1993-10-01  34263
1993-11-01  33914
1993-12-01  33194
1994-01-01  32965
1994-02-01  33204
1994-03-01  33398
1994-04-01  33509
1994-05-01  34467
1994-06-01  35206
1994-07-01  36013
1994-08-01  36085
1994-09-01  35075
1994-10-01  34974
1994-11-01  34536
1994-12-01  34098
1995-01-01  33606
1995-02-01  33665
1995-03-01  34163
1995-04-01  34914
1995-05-01  35343
1995-06-01  36256
1995-07-01  36714
1995-08-01  36498
1995-09-01  35269
1995-10-01  35583
1995-11-01  35490
1995-12-01  34726
1996-01-01  34388
1996-02-01  34729
1996-03-01  35214
1996-04-01  35743
1996-05-01  36834
1996-06-01  37308
1996-07-01  37716
1996-08-01  37455
1996-09-01  36999
1996-10-01  37238
1996-11-01  36859
1996-12-01  36346
1997-01-01  36542
1997-02-01  36464
1997-03-01  37232
1997-04-01  37268
1997-05-01  37955
1997-06-01  38400
1997-07-01  38967
1997-08-01  39157
1997-09-01  38036
1997-10-01  38100
1997-11-01  37860
1997-12-01  37071
1998-01-01  37374
1998-02-01  37198
1998-03-01  37721
1998-04-01  37517
1998-05-01  38170
1998-06-01  38591
1998-07-01  39028
1998-08-01  38307
1998-09-01  38001
1998-10-01  37866
1998-11-01  37538
1998-12-01  37134
1999-01-01  37095
1999-02-01  37113
1999-03-01  37493
1999-04-01  38050
1999-05-01  38276
1999-06-01  39399
1999-07-01  39308
1999-08-01  39053
1999-09-01  38314
1999-10-01  38172
1999-11-01  37920
1999-12-01  37249
2000-01-01  37878
2000-02-01  38128
2000-03-01  38573
2000-04-01  38786
2000-05-01  39009
2000-06-01  39756
2000-07-01  39461
2000-08-01  39273
2000-09-01  38736
2000-10-01  38220
2000-11-01  38213
2000-12-01  38236
2001-01-01  38636
2001-02-01  38731
2001-03-01  39093
2001-04-01  38793
2001-05-01  38713
2001-06-01  39306
2001-07-01  39349
2001-08-01  38743
2001-09-01  38579
2001-10-01  38462
2001-11-01  38326
2001-12-01  37891
2002-01-01  38172
2002-02-01  38451
2002-03-01  38495
2002-04-01  38482
2002-05-01  38779
2002-06-01  39096
2002-07-01  39024
2002-08-01  38711
2002-09-01  38531
2002-10-01  38956
2002-11-01  38392
2002-12-01  38076
2003-01-01  39030
2003-02-01  39265
2003-03-01  39545
2003-04-01  40082
2003-05-01  40161
2003-06-01  40921
2003-07-01  40684
2003-08-01  40203
2003-09-01  39840
2003-10-01  40531
2003-11-01  40611
2003-12-01  40291
2004-01-01  39706
2004-02-01  39615
2004-03-01  39732
2004-04-01  39974
2004-05-01  40218
2004-06-01  40692
2004-07-01  41055
2004-08-01  40459
2004-09-01  39932
2004-10-01  40276
2004-11-01  40379
2004-12-01  40132
2005-01-01  40210
2005-02-01  40306
2005-03-01  40443
2005-04-01  40724
2005-05-01  40835
2005-06-01  41215
2005-07-01  41454
2005-08-01  41120
2005-09-01  40928
2005-10-01  40982
2005-11-01  40865
2005-12-01  40449
2006-01-01  40912
2006-02-01  41129
2006-03-01  41281
2006-04-01  41427
2006-05-01  41715
2006-06-01  42610
2006-07-01  43226
2006-08-01  42429
2006-09-01  42119
2006-10-01  42228
2006-11-01  42452
2006-12-01  41962
2007-01-01  43282
2007-02-01  43132
2007-03-01  43253
