Title:               Civilian Labor Force in Camden County, NC
Series ID:           NCCAMD9LFN
Source:              U.S. Bureau of Labor Statistics
Release:             Unemployment in States and Local Areas (all other areas) (Not a Press Release)
Seasonal Adjustment: Not Seasonally Adjusted
Frequency:           Monthly
Units:               Persons
Date Range:          1990-01-01 to 2018-11-01
Last Updated:        2019-01-03 10:14 AM CST
Notes:               

DATE       VALUE
1990-01-01  2788
1990-02-01  2827
1990-03-01  2844
1990-04-01  2792
1990-05-01  2860
1990-06-01  2854
1990-07-01  2813
1990-08-01  2791
1990-09-01  2767
1990-10-01  2835
1990-11-01  2839
1990-12-01  2853
1991-01-01  2718
1991-02-01  2755
1991-03-01  2764
1991-04-01  2777
1991-05-01  2808
1991-06-01  2795
1991-07-01  2732
1991-08-01  2748
1991-09-01  2727
1991-10-01  2733
1991-11-01  2764
1991-12-01  2735
1992-01-01  2777
1992-02-01  2829
1992-03-01  2811
1992-04-01  2803
1992-05-01  2833
1992-06-01  2845
1992-07-01  2845
1992-08-01  2868
1992-09-01  2875
1992-10-01  2874
1992-11-01  2870
1992-12-01  2859
1993-01-01  2837
1993-02-01  2858
1993-03-01  2861
1993-04-01  2825
1993-05-01  2881
1993-06-01  2910
1993-07-01  2883
1993-08-01  2840
1993-09-01  2804
1993-10-01  2839
1993-11-01  2813
1993-12-01  2819
1994-01-01  2816
1994-02-01  2858
1994-03-01  2868
1994-04-01  2838
1994-05-01  2871
1994-06-01  2866
1994-07-01  2964
1994-08-01  2972
1994-09-01  2949
1994-10-01  2954
1994-11-01  3021
1994-12-01  2963
1995-01-01  2978
1995-02-01  2985
1995-03-01  3023
1995-04-01  3066
1995-05-01  3039
1995-06-01  3064
1995-07-01  3055
1995-08-01  3004
1995-09-01  3030
1995-10-01  3086
1995-11-01  3118
1995-12-01  3058
1996-01-01  3027
1996-02-01  3081
1996-03-01  3124
1996-04-01  3116
1996-05-01  3193
1996-06-01  3180
1996-07-01  3202
1996-08-01  3200
1996-09-01  3176
1996-10-01  3203
1996-11-01  3218
1996-12-01  3169
1997-01-01  3146
1997-02-01  3165
1997-03-01  3228
1997-04-01  3188
1997-05-01  3205
1997-06-01  3277
1997-07-01  3271
1997-08-01  3215
1997-09-01  3207
1997-10-01  3210
1997-11-01  3207
1997-12-01  3156
1998-01-01  3192
1998-02-01  3168
1998-03-01  3213
1998-04-01  3195
1998-05-01  3230
1998-06-01  3240
1998-07-01  3225
1998-08-01  3180
1998-09-01  3221
1998-10-01  3285
1998-11-01  3271
1998-12-01  3274
1999-01-01  3249
1999-02-01  3278
1999-03-01  3297
1999-04-01  3274
1999-05-01  3283
1999-06-01  3306
1999-07-01  3307
1999-08-01  3285
1999-09-01  3323
1999-10-01  3376
1999-11-01  3429
1999-12-01  3319
2000-01-01  3213
2000-02-01  3261
2000-03-01  3338
2000-04-01  3317
2000-05-01  3339
2000-06-01  3417
2000-07-01  3360
2000-08-01  3368
2000-09-01  3343
2000-10-01  3319
2000-11-01  3316
2000-12-01  3312
2001-01-01  3339
2001-02-01  3374
2001-03-01  3395
2001-04-01  3365
2001-05-01  3389
2001-06-01  3436
2001-07-01  3464
2001-08-01  3426
2001-09-01  3435
2001-10-01  3425
2001-11-01  3449
2001-12-01  3415
2002-01-01  3450
2002-02-01  3475
2002-03-01  3505
2002-04-01  3526
2002-05-01  3559
2002-06-01  3594
2002-07-01  3586
2002-08-01  3548
2002-09-01  3544
2002-10-01  3535
2002-11-01  3536
2002-12-01  3523
2003-01-01  3729
2003-02-01  3762
2003-03-01  3818
2003-04-01  3808
2003-05-01  3862
2003-06-01  3901
2003-07-01  3970
2003-08-01  3947
2003-09-01  3891
2003-10-01  3943
2003-11-01  3982
2003-12-01  3972
2004-01-01  4130
2004-02-01  4117
2004-03-01  4121
2004-04-01  4202
2004-05-01  4184
2004-06-01  4218
2004-07-01  4266
2004-08-01  4239
2004-09-01  4193
2004-10-01  4225
2004-11-01  4273
2004-12-01  4264
2005-01-01  4267
2005-02-01  4298
2005-03-01  4313
2005-04-01  4405
2005-05-01  4377
2005-06-01  4416
2005-07-01  4475
2005-08-01  4420
2005-09-01  4398
2005-10-01  4346
2005-11-01  4394
2005-12-01  4374
2006-01-01  4358
2006-02-01  4405
2006-03-01  4417
2006-04-01  4461
2006-05-01  4457
2006-06-01  4518
2006-07-01  4534
2006-08-01  4489
2006-09-01  4577
2006-10-01  4689
2006-11-01  4672
2006-12-01  4660
2007-01-01  4585
2007-02-01  4584
2007-03-01  4590
2007-04-01  4595
