Title:               Quantity Indexes for Real Gross Domestic Product by Industry: Private Industries: Construction for North Carolina
Series ID:           NCCONSTQQGSP
Source:              U.S. Bureau of Economic Analysis
Release:             Gross Domestic Product (GDP) by State
Seasonal Adjustment: Seasonally Adjusted Annual Rate
Frequency:           Quarterly
Units:               Index 2012=100
Date Range:          2005-01-01 to 2018-04-01
Last Updated:        2018-11-19 4:15 PM CST
Notes:               For more information about this release go to
                     http://www.bea.gov/newsreleases/regional/gdp_state/qgsp_newsrelease.htm.

DATE          VALUE
2005-01-01  160.751
2005-04-01  161.707
2005-07-01  162.053
2005-10-01  159.346
2006-01-01  164.437
2006-04-01  162.395
2006-07-01  159.881
2006-10-01  159.012
2007-01-01  162.062
2007-04-01  164.487
2007-07-01  163.427
2007-10-01  158.799
2008-01-01  148.828
2008-04-01  145.791
2008-07-01  140.890
2008-10-01  130.311
2009-01-01  118.139
2009-04-01  114.290
2009-07-01  114.214
2009-10-01  107.838
2010-01-01  100.868
2010-04-01  100.497
2010-07-01   97.778
2010-10-01   94.015
2011-01-01   93.942
2011-04-01   96.263
2011-07-01   96.467
2011-10-01   96.441
2012-01-01  100.237
2012-04-01   99.312
2012-07-01   99.273
2012-10-01  101.178
2013-01-01  102.483
2013-04-01  102.584
2013-07-01  103.873
2013-10-01  102.671
2014-01-01  101.823
2014-04-01  103.406
2014-07-01  103.517
2014-10-01  105.623
2015-01-01  105.562
2015-04-01  109.925
2015-07-01  109.969
2015-10-01  110.422
2016-01-01  112.840
2016-04-01  114.201
2016-07-01  115.821
2016-10-01  117.184
2017-01-01  117.204
2017-04-01  114.888
2017-07-01  116.971
2017-10-01  119.338
2018-01-01  119.385
2018-04-01  120.214
