Title:               Civilian Labor Force in Cabarrus County, NC
Series ID:           NCCABA5LFN
Source:              U.S. Bureau of Labor Statistics
Release:             Unemployment in States and Local Areas (all other areas) (Not a Press Release)
Seasonal Adjustment: Not Seasonally Adjusted
Frequency:           Monthly
Units:               Persons
Date Range:          1990-01-01 to 2018-11-01
Last Updated:        2019-01-03 10:14 AM CST
Notes:               

DATE         VALUE
1990-01-01   53914
1990-02-01   54529
1990-03-01   54674
1990-04-01   54568
1990-05-01   55341
1990-06-01   57092
1990-07-01   56564
1990-08-01   56571
1990-09-01   55579
1990-10-01   55298
1990-11-01   55271
1990-12-01   55238
1991-01-01   54674
1991-02-01   54541
1991-03-01   54667
1991-04-01   55087
1991-05-01   55106
1991-06-01   55917
1991-07-01   56338
1991-08-01   56354
1991-09-01   56401
1991-10-01   56345
1991-11-01   56354
1991-12-01   55694
1992-01-01   55842
1992-02-01   56056
1992-03-01   56287
1992-04-01   55953
1992-05-01   57038
1992-06-01   57542
1992-07-01   58731
1992-08-01   58120
1992-09-01   57283
1992-10-01   57562
1992-11-01   57777
1992-12-01   57693
1993-01-01   56804
1993-02-01   57117
1993-03-01   58029
1993-04-01   56910
1993-05-01   57654
1993-06-01   58131
1993-07-01   58811
1993-08-01   57917
1993-09-01   57067
1993-10-01   58099
1993-11-01   58171
1993-12-01   58391
1994-01-01   57312
1994-02-01   57833
1994-03-01   57899
1994-04-01   58098
1994-05-01   58528
1994-06-01   59162
1994-07-01   60333
1994-08-01   59704
1994-09-01   59618
1994-10-01   59985
1994-11-01   59995
1994-12-01   60132
1995-01-01   59359
1995-02-01   60162
1995-03-01   60154
1995-04-01   60400
1995-05-01   61684
1995-06-01   60934
1995-07-01   61460
1995-08-01   61124
1995-09-01   60760
1995-10-01   61004
1995-11-01   61193
1995-12-01   61806
1996-01-01   61561
1996-02-01   62295
1996-03-01   62830
1996-04-01   62820
1996-05-01   63795
1996-06-01   64129
1996-07-01   64801
1996-08-01   64135
1996-09-01   64123
1996-10-01   64691
1996-11-01   64697
1996-12-01   65147
1997-01-01   64321
1997-02-01   65029
1997-03-01   65552
1997-04-01   65555
1997-05-01   65751
1997-06-01   65991
1997-07-01   65910
1997-08-01   65616
1997-09-01   65170
1997-10-01   64808
1997-11-01   65470
1997-12-01   65384
1998-01-01   65507
1998-02-01   65983
1998-03-01   66255
1998-04-01   65705
1998-05-01   66211
1998-06-01   66458
1998-07-01   67338
1998-08-01   66901
1998-09-01   66603
1998-10-01   66676
1998-11-01   66974
1998-12-01   66891
1999-01-01   68082
1999-02-01   69353
1999-03-01   68670
1999-04-01   68151
1999-05-01   68902
1999-06-01   69179
1999-07-01   70339
1999-08-01   69905
1999-09-01   69478
1999-10-01   70224
1999-11-01   70537
1999-12-01   70806
2000-01-01   70839
2000-02-01   71218
2000-03-01   71440
2000-04-01   72019
2000-05-01   71994
2000-06-01   72576
2000-07-01   73044
2000-08-01   72441
2000-09-01   71692
2000-10-01   73011
2000-11-01   72893
2000-12-01   73356
2001-01-01   73983
2001-02-01   74509
2001-03-01   74916
2001-04-01   74731
2001-05-01   76889
2001-06-01   75156
2001-07-01   75396
2001-08-01   74427
2001-09-01   74469
2001-10-01   75103
2001-11-01   75136
2001-12-01   75039
2002-01-01   74837
2002-02-01   75345
2002-03-01   75471
2002-04-01   75068
2002-05-01   74966
2002-06-01   75286
2002-07-01   75482
2002-08-01   75228
2002-09-01   75088
2002-10-01   75126
2002-11-01   74810
2002-12-01   74355
2003-01-01   75450
2003-02-01   76512
2003-03-01   76740
2003-04-01   77215
2003-05-01   77079
2003-06-01   77723
2003-07-01   78429
2003-08-01   78716
2003-09-01   78756
2003-10-01   79301
2003-11-01   78959
2003-12-01   78028
2004-01-01   77670
2004-02-01   77689
2004-03-01   77537
2004-04-01   76664
2004-05-01   76906
2004-06-01   77068
2004-07-01   76392
2004-08-01   76026
2004-09-01   75924
2004-10-01   76650
2004-11-01   76700
2004-12-01   76016
2005-01-01   75433
2005-02-01   76081
2005-03-01   76075
2005-04-01   76383
2005-05-01   76860
2005-06-01   77156
2005-07-01   77344
2005-08-01   77470
2005-09-01   77645
2005-10-01   78959
2005-11-01   78460
2005-12-01   77972
2006-01-01   78216
2006-02-01   78781
2006-03-01   79223
2006-04-01   79658
2006-05-01   80295
2006-06-01   80474
2006-07-01   81122
2006-08-01   81601
2006-09-01   81845
2006-10-01   82608
2006-11-01   82709
2006-12-01   82021
2007-01-01   81279
2007-02-01   81422
2007-03-01   81919
2007-04-01   82158
2007-05-01   82598
2007-06-01   82575
2007-07-01   83257
2007-08-01   83001
2007-09-01   83229
2007-10-01   83674
2007-11-01   83664
2007-12-01   83182
2008-01-01   83783
2008-02-01   83770
2008-03-01   84256
2008-04-01   84373
2008-05-01   84902
2008-06-01   84813
2008-07-01   85109
2008-08-01   85183
2008-09-01   84981
2008-10-01   85688
2008-11-01   86115
2008-12-01   86050
2009-01-01   85094
2009-02-01   85080
2009-03-01   85236
2009-04-01   84944
2009-05-01   84875
2009-06-01   84707
2009-07-01   84867
2009-08-01   85077
2009-09-01   84478
2009-10-01   84835
2009-11-01   84735
2009-12-01   84293
2010-01-01   87746
2010-02-01   88236
2010-03-01   88934
2010-04-01   89796
2010-05-01   89961
2010-06-01   89100
2010-07-01   89001
2010-08-01   89184
2010-09-01   88822
2010-10-01   89112
2010-11-01   89535
2010-12-01   89159
2011-01-01   89032
2011-02-01   89142
2011-03-01   89655
2011-04-01   89661
2011-05-01   89855
2011-06-01   89720
2011-07-01   89668
2011-08-01   89991
2011-09-01   90217
2011-10-01   90426
2011-11-01   90434
2011-12-01   90148
2012-01-01   89891
2012-02-01   90521
2012-03-01   91033
2012-04-01   90480
2012-05-01   91618
2012-06-01   91253
2012-07-01   91630
2012-08-01   91014
2012-09-01   91795
2012-10-01   92882
2012-11-01   92230
2012-12-01   91983
2013-01-01   92001
2013-02-01   92039
2013-03-01   92148
2013-04-01   92013
2013-05-01   92718
2013-06-01   92339
2013-07-01   92573
2013-08-01   91770
2013-09-01   92155
2013-10-01   92325
2013-11-01   92564
2013-12-01   91964
2014-01-01   92953
2014-02-01   93359
2014-03-01   94296
2014-04-01   93556
2014-05-01   94486
2014-06-01   94239
2014-07-01   94857
2014-08-01   94145
2014-09-01   94424
2014-10-01   95615
2014-11-01   95237
2014-12-01   94914
2015-01-01   95765
2015-02-01   96466
2015-03-01   96712
2015-04-01   96845
2015-05-01   98340
2015-06-01   98079
2015-07-01   98368
2015-08-01   97416
2015-09-01   97434
2015-10-01   98609
2015-11-01   98532
2015-12-01   98734
2016-01-01   99213
2016-02-01   99969
2016-03-01  100747
2016-04-01  100332
2016-05-01  100714
2016-06-01  101017
2016-07-01  101708
2016-08-01  100808
2016-09-01  101777
2016-10-01  102590
2016-11-01  102289
2016-12-01  101755
2017-01-01  102312
2017-02-01  102839
2017-03-01  103768
2017-04-01  103601
2017-05-01  104159
2017-06-01  104527
2017-07-01  105228
2017-08-01  104299
2017-09-01  105529
2017-10-01  105804
2017-11-01  105569
2017-12-01  105195
2018-01-01  105185
2018-02-01  105727
2018-03-01  106610
2018-04-01  106088
2018-05-01  106920
2018-06-01  107234
2018-07-01  107428
2018-08-01  105695
2018-09-01  105910
2018-10-01  107364
2018-11-01  106788
