Title:               Civilian Labor Force in Cumberland County, NC
Series ID:           NCCUMB2LFN
Source:              U.S. Bureau of Labor Statistics
Release:             Unemployment in States and Local Areas (all other areas) (Not a Press Release)
Seasonal Adjustment: Not Seasonally Adjusted
Frequency:           Monthly
Units:               Persons
Date Range:          1990-01-01 to 2018-11-01
Last Updated:        2019-01-03 10:14 AM CST
Notes:               

DATE         VALUE
1990-01-01  101725
1990-02-01  102923
1990-03-01  103186
1990-04-01  103082
1990-05-01  104632
1990-06-01  105468
1990-07-01  105457
1990-08-01  104074
1990-09-01  102289
1990-10-01  103173
1990-11-01  103487
1990-12-01  103069
1991-01-01  103193
1991-02-01  103526
1991-03-01  103737
1991-04-01  105493
1991-05-01  106329
1991-06-01  110631
1991-07-01  110300
1991-08-01  109546
1991-09-01  108928
1991-10-01  108254
1991-11-01  109198
1991-12-01  108520
1992-01-01  106593
1992-02-01  106798
1992-03-01  107827
1992-04-01  108303
1992-05-01  109149
1992-06-01  111770
1992-07-01  110120
1992-08-01  108755
1992-09-01  110037
1992-10-01  111372
1992-11-01  112563
1992-12-01  111496
1993-01-01  109909
1993-02-01  110945
1993-03-01  110851
1993-04-01  110716
1993-05-01  111547
1993-06-01  112761
1993-07-01  112877
1993-08-01  110602
1993-09-01  111081
1993-10-01  112351
1993-11-01  113311
1993-12-01  111881
1994-01-01  109826
1994-02-01  110913
1994-03-01  110409
1994-04-01  110493
1994-05-01  111071
1994-06-01  111950
1994-07-01  111773
1994-08-01  111117
1994-09-01  111935
1994-10-01  112982
1994-11-01  113271
1994-12-01  112272
1995-01-01  111346
1995-02-01  112445
1995-03-01  112435
1995-04-01  113324
1995-05-01  112955
1995-06-01  113301
1995-07-01  113036
1995-08-01  111563
1995-09-01  112735
1995-10-01  114495
1995-11-01  114951
1995-12-01  114330
1996-01-01  114192
1996-02-01  115821
1996-03-01  116483
1996-04-01  116536
1996-05-01  118107
1996-06-01  118561
1996-07-01  117589
1996-08-01  114659
1996-09-01  116105
1996-10-01  118584
1996-11-01  119377
1996-12-01  118431
1997-01-01  118944
1997-02-01  119633
1997-03-01  120035
1997-04-01  119349
1997-05-01  119848
1997-06-01  120474
1997-07-01  118223
1997-08-01  116579
1997-09-01  118227
1997-10-01  118999
1997-11-01  120068
1997-12-01  120015
1998-01-01  120011
1998-02-01  120791
1998-03-01  121292
1998-04-01  120051
1998-05-01  121061
1998-06-01  121601
1998-07-01  119588
1998-08-01  117674
1998-09-01  120107
1998-10-01  120846
1998-11-01  121616
1998-12-01  121549
1999-01-01  121111
1999-02-01  121866
1999-03-01  121756
1999-04-01  122288
1999-05-01  122598
1999-06-01  123009
1999-07-01  122696
1999-08-01  122419
1999-09-01  122973
1999-10-01  124387
1999-11-01  126247
1999-12-01  126038
2000-01-01  119205
2000-02-01  119686
2000-03-01  119654
2000-04-01  119662
2000-05-01  120303
2000-06-01  121434
2000-07-01  119310
2000-08-01  117459
2000-09-01  118474
2000-10-01  119470
2000-11-01  120245
2000-12-01  120396
2001-01-01  120705
2001-02-01  122127
2001-03-01  121803
2001-04-01  120351
2001-05-01  119966
2001-06-01  119886
2001-07-01  117504
2001-08-01  115880
2001-09-01  117892
2001-10-01  118879
2001-11-01  120207
2001-12-01  120275
2002-01-01  118938
2002-02-01  120319
2002-03-01  120516
2002-04-01  120764
2002-05-01  120783
2002-06-01  120964
2002-07-01  119532
2002-08-01  117928
2002-09-01  118823
2002-10-01  120819
2002-11-01  121060
2002-12-01  120972
2003-01-01  121787
2003-02-01  123199
2003-03-01  123239
2003-04-01  123464
2003-05-01  123152
2003-06-01  124578
2003-07-01  121198
2003-08-01  119376
2003-09-01  121345
2003-10-01  123721
2003-11-01  124191
2003-12-01  123106
2004-01-01  121598
2004-02-01  121621
2004-03-01  121869
2004-04-01  122480
2004-05-01  122543
2004-06-01  123787
2004-07-01  122994
2004-08-01  120960
2004-09-01  122815
2004-10-01  123802
2004-11-01  125133
2004-12-01  125096
2005-01-01  125221
2005-02-01  126084
2005-03-01  126272
2005-04-01  126915
2005-05-01  127553
2005-06-01  128175
2005-07-01  127488
2005-08-01  126675
2005-09-01  128597
2005-10-01  127977
2005-11-01  127732
2005-12-01  127136
2006-01-01  126294
2006-02-01  127228
2006-03-01  127812
2006-04-01  128498
2006-05-01  129265
2006-06-01  130603
2006-07-01  130045
2006-08-01  129156
2006-09-01  129626
2006-10-01  130105
2006-11-01  129573
2006-12-01  129976
2007-01-01  128389
2007-02-01  129599
2007-03-01  129232
2007-04-01  129162
2007-05-01  129609
2007-06-01  131010
2007-07-01  129523
2007-08-01  127370
2007-09-01  128617
2007-10-01  129622
2007-11-01  130741
2007-12-01  130218
2008-01-01  130888
2008-02-01  130521
2008-03-01  130769
2008-04-01  132327
2008-05-01  132977
2008-06-01  133608
2008-07-01  133804
2008-08-01  132657
2008-09-01  133681
2008-10-01  134408
2008-11-01  136521
2008-12-01  136321
2009-01-01  136168
2009-02-01  136413
2009-03-01  136576
2009-04-01  136987
2009-05-01  137459
2009-06-01  138302
2009-07-01  137977
2009-08-01  136125
2009-09-01  136865
2009-10-01  137374
2009-11-01  137752
2009-12-01  136603
2010-01-01  129228
2010-02-01  129907
2010-03-01  131127
2010-04-01  132251
2010-05-01  132415
2010-06-01  131994
2010-07-01  130967
2010-08-01  130270
2010-09-01  130849
2010-10-01  131194
2010-11-01  131704
2010-12-01  131242
2011-01-01  131123
2011-02-01  131654
2011-03-01  132427
2011-04-01  132502
2011-05-01  132831
2011-06-01  133311
2011-07-01  132637
2011-08-01  132028
2011-09-01  133174
2011-10-01  133167
2011-11-01  133150
2011-12-01  132458
2012-01-01  131369
2012-02-01  132678
2012-03-01  132926
2012-04-01  132058
2012-05-01  133232
2012-06-01  133754
2012-07-01  131681
2012-08-01  131947
2012-09-01  132296
2012-10-01  133006
2012-11-01  132243
2012-12-01  132001
2013-01-01  132850
2013-02-01  132684
2013-03-01  132453
2013-04-01  131537
2013-05-01  131997
2013-06-01  133227
2013-07-01  130911
2013-08-01  128853
2013-09-01  130036
2013-10-01  128771
2013-11-01  129161
2013-12-01  127814
2014-01-01  128325
2014-02-01  129003
2014-03-01  129835
2014-04-01  127623
2014-05-01  128297
2014-06-01  128559
2014-07-01  127000
2014-08-01  126031
2014-09-01  126586
2014-10-01  127066
2014-11-01  126842
2014-12-01  125933
2015-01-01  125233
2015-02-01  125869
2015-03-01  125980
2015-04-01  126255
2015-05-01  127820
2015-06-01  127476
2015-07-01  125791
2015-08-01  124651
2015-09-01  125647
2015-10-01  126618
2015-11-01  127011
2015-12-01  126759
2016-01-01  127274
2016-02-01  127951
2016-03-01  128424
2016-04-01  127566
2016-05-01  127505
2016-06-01  128042
2016-07-01  126148
2016-08-01  125203
2016-09-01  126846
2016-10-01  127154
2016-11-01  127655
2016-12-01  126686
2017-01-01  127612
2017-02-01  128136
2017-03-01  128378
2017-04-01  127925
2017-05-01  127841
2017-06-01  127827
2017-07-01  126464
2017-08-01  126240
2017-09-01  128053
2017-10-01  127423
2017-11-01  127949
2017-12-01  127558
2018-01-01  127991
2018-02-01  128427
2018-03-01  128885
2018-04-01  128349
2018-05-01  128808
2018-06-01  129232
2018-07-01  128078
2018-08-01  125734
2018-09-01  125622
2018-10-01  128150
2018-11-01  128612
