Title:               Civilian Labor Force in Caswell County, NC
Series ID:           NCCASW3LFN
Source:              U.S. Bureau of Labor Statistics
Release:             Unemployment in States and Local Areas (all other areas) (Not a Press Release)
Seasonal Adjustment: Not Seasonally Adjusted
Frequency:           Monthly
Units:               Persons
Date Range:          1990-01-01 to 2018-11-01
Last Updated:        2019-01-03 10:14 AM CST
Notes:               

DATE        VALUE
1990-01-01   9886
1990-02-01   9937
1990-03-01  10086
1990-04-01  10329
1990-05-01  10686
1990-06-01  10988
1990-07-01   9741
1990-08-01   9618
1990-09-01  10050
1990-10-01  10378
1990-11-01  10398
1990-12-01  10327
1991-01-01  10760
1991-02-01  10786
1991-03-01  11383
1991-04-01  10951
1991-05-01  11194
1991-06-01  11327
1991-07-01  11367
1991-08-01  11204
1991-09-01  11024
1991-10-01  10942
1991-11-01  11128
1991-12-01  10838
1992-01-01  10914
1992-02-01  11217
1992-03-01  11083
1992-04-01  11167
1992-05-01  11571
1992-06-01  11236
1992-07-01  11307
1992-08-01  11082
1992-09-01  10785
1992-10-01  11080
1992-11-01  11528
1992-12-01  10994
1993-01-01  10744
1993-02-01  10922
1993-03-01  10816
1993-04-01  10880
1993-05-01  11085
1993-06-01  11169
1993-07-01  11212
1993-08-01  11080
1993-09-01  10788
1993-10-01  10848
1993-11-01  11014
1993-12-01  10790
1994-01-01  10907
1994-02-01  10981
1994-03-01  10928
1994-04-01  11032
1994-05-01  11487
1994-06-01  11441
1994-07-01  11611
1994-08-01  11531
1994-09-01  11324
1994-10-01  11468
1994-11-01  11819
1994-12-01  11430
1995-01-01  11327
1995-02-01  11424
1995-03-01  11622
1995-04-01  11722
1995-05-01  11783
1995-06-01  11985
1995-07-01  12250
1995-08-01  12013
1995-09-01  11683
1995-10-01  11872
1995-11-01  11954
1995-12-01  11767
1996-01-01  11778
1996-02-01  11856
1996-03-01  11809
1996-04-01  11961
1996-05-01  12184
1996-06-01  12480
1996-07-01  13015
1996-08-01  12722
1996-09-01  12529
1996-10-01  12517
1996-11-01  12243
1996-12-01  12164
1997-01-01  12529
1997-02-01  12832
1997-03-01  12890
1997-04-01  12778
1997-05-01  12959
1997-06-01  13227
1997-07-01  13188
1997-08-01  13003
1997-09-01  12899
1997-10-01  12876
1997-11-01  12727
1997-12-01  12769
1998-01-01  12660
1998-02-01  12827
1998-03-01  12835
1998-04-01  12921
1998-05-01  13035
1998-06-01  13224
1998-07-01  13482
1998-08-01  13199
1998-09-01  13167
1998-10-01  13042
1998-11-01  12981
1998-12-01  12924
1999-01-01  12967
1999-02-01  13080
1999-03-01  13141
1999-04-01  13198
1999-05-01  13264
1999-06-01  13651
1999-07-01  14082
1999-08-01  13903
1999-09-01  13798
1999-10-01  13737
1999-11-01  13391
1999-12-01  13278
2000-01-01  10769
2000-02-01  10852
2000-03-01  10954
2000-04-01  10945
2000-05-01  10973
2000-06-01  11158
2000-07-01  10853
2000-08-01  10814
2000-09-01  10943
2000-10-01  10907
2000-11-01  10902
2000-12-01  10935
2001-01-01  10921
2001-02-01  10988
2001-03-01  11031
2001-04-01  10927
2001-05-01  10846
2001-06-01  11073
2001-07-01  10699
2001-08-01  10547
2001-09-01  10900
2001-10-01  10930
2001-11-01  10983
2001-12-01  10845
2002-01-01  10840
2002-02-01  10929
2002-03-01  10926
2002-04-01  10943
2002-05-01  10998
2002-06-01  11015
2002-07-01  10878
2002-08-01  10637
2002-09-01  10918
2002-10-01  10987
2002-11-01  10938
2002-12-01  10873
2003-01-01  10778
2003-02-01  10915
2003-03-01  10890
2003-04-01  10864
2003-05-01  10946
2003-06-01  10957
2003-07-01  10860
2003-08-01  10658
2003-09-01  10823
2003-10-01  11009
2003-11-01  10950
2003-12-01  10807
2004-01-01  10835
2004-02-01  10799
2004-03-01  10819
2004-04-01  10801
2004-05-01  10775
2004-06-01  10813
2004-07-01  10600
2004-08-01  10469
2004-09-01  10557
2004-10-01  10638
2004-11-01  10594
2004-12-01  10545
2005-01-01  10499
2005-02-01  10614
2005-03-01  10549
2005-04-01  10596
2005-05-01  10619
2005-06-01  10679
2005-07-01  10541
2005-08-01  10470
2005-09-01  10632
2005-10-01  10607
2005-11-01  10620
2005-12-01  10568
2006-01-01  10539
2006-02-01  10606
2006-03-01  10629
2006-04-01  10675
2006-05-01  10693
2006-06-01  10754
2006-07-01  10630
2006-08-01  10669
2006-09-01  10750
2006-10-01  10877
2006-11-01  10959
2006-12-01  10796
2007-01-01  10712
2007-02-01  10741
2007-03-01  10694
2007-04-01  10736
2007-05-01  10728
2007-06-01  10773
2007-07-01  10692
2007-08-01  10544
2007-09-01  10696
2007-10-01  10697
2007-11-01  10790
2007-12-01  10669
2008-01-01  10626
2008-02-01  10530
2008-03-01  10610
2008-04-01  10674
2008-05-01  10685
2008-06-01  10762
2008-07-01  10707
2008-08-01  10665
2008-09-01  10761
2008-10-01  10831
2008-11-01  11093
2008-12-01  11019
2009-01-01  11032
2009-02-01  10918
2009-03-01  10870
2009-04-01  11053
2009-05-01  11002
2009-06-01  10983
2009-07-01  10889
2009-08-01  10720
2009-09-01  10777
2009-10-01  10707
2009-11-01  10749
2009-12-01  10629
2010-01-01  10033
2010-02-01  10051
2010-03-01  10092
2010-04-01  10148
2010-05-01  10117
2010-06-01  10050
2010-07-01  10085
2010-08-01  10039
2010-09-01  10068
2010-10-01  10063
2010-11-01  10122
2010-12-01   9949
2011-01-01  10020
2011-02-01  10052
2011-03-01  10140
2011-04-01  10158
2011-05-01  10163
2011-06-01  10163
2011-07-01  10079
2011-08-01  10087
2011-09-01  10189
2011-10-01  10156
2011-11-01  10113
2011-12-01   9985
2012-01-01   9849
2012-02-01   9939
2012-03-01   9990
2012-04-01   9878
2012-05-01   9979
2012-06-01   9947
2012-07-01   9906
2012-08-01   9934
2012-09-01  10057
2012-10-01  10094
2012-11-01   9998
2012-12-01   9960
2013-01-01   9953
2013-02-01   9931
2013-03-01   9907
2013-04-01   9850
2013-05-01   9939
2013-06-01   9873
2013-07-01   9813
2013-08-01   9754
2013-09-01   9836
2013-10-01   9879
2013-11-01   9830
2013-12-01   9728
2014-01-01   9599
2014-02-01   9654
2014-03-01   9666
2014-04-01   9585
2014-05-01   9695
2014-06-01   9671
2014-07-01   9622
2014-08-01   9538
2014-09-01   9663
2014-10-01   9770
2014-11-01   9764
2014-12-01   9644
2015-01-01   9566
2015-02-01   9644
2015-03-01   9705
2015-04-01   9613
2015-05-01   9661
2015-06-01   9598
2015-07-01   9532
2015-08-01   9464
2015-09-01   9623
2015-10-01   9721
2015-11-01   9712
2015-12-01   9650
2016-01-01   9589
2016-02-01   9617
2016-03-01   9717
2016-04-01   9657
2016-05-01   9703
2016-06-01   9666
2016-07-01   9656
2016-08-01   9550
2016-09-01   9758
2016-10-01   9773
2016-11-01   9769
2016-12-01   9709
2017-01-01   9696
2017-02-01   9767
2017-03-01   9833
2017-04-01   9781
2017-05-01   9729
2017-06-01   9667
2017-07-01   9676
2017-08-01   9516
2017-09-01   9789
2017-10-01   9811
2017-11-01   9774
2017-12-01   9728
2018-01-01   9704
2018-02-01   9750
2018-03-01   9765
2018-04-01   9742
2018-05-01   9835
2018-06-01   9817
2018-07-01   9775
2018-08-01   9573
2018-09-01   9712
2018-10-01   9809
2018-11-01   9876
