Title:               State Government Tax Collections, Corporations in General Licenses in North Carolina
Series ID:           NCCORPLICTAX
Source:              U.S. Bureau of the Census
Release:             State Government Tax Collections (Not a Press Release)
Seasonal Adjustment: Not Seasonally Adjusted
Frequency:           Annual
Units:               Thousands of Dollars
Date Range:          1942-01-01 to 2017-01-01
Last Updated:        2019-01-07 1:32 PM CST
Notes:               For more information, see
                     http://www.census.gov/govs/www/statetax.html.

DATE         VALUE
1942-01-01    2303
1943-01-01       .
1944-01-01    2709
1945-01-01       .
1946-01-01    3023
1947-01-01       .
1948-01-01    3482
1949-01-01       .
1950-01-01    4368
1951-01-01    4595
1952-01-01    5216
1953-01-01    5690
1954-01-01    6047
1955-01-01    6299
1956-01-01    6776
1957-01-01    7140
1958-01-01    7390
1959-01-01    7583
1960-01-01    8193
1961-01-01    8778
1962-01-01    9373
1963-01-01    9962
1964-01-01   10948
1965-01-01   11410
1966-01-01   12393
1967-01-01   13435
1968-01-01   15256
1969-01-01   16628
1970-01-01   20340
1971-01-01   21359
1972-01-01   24163
1973-01-01   26250
1974-01-01   29915
1975-01-01   32617
1976-01-01   34384
1977-01-01   37819
1978-01-01   41530
1979-01-01   45217
1980-01-01   49335
1981-01-01   56127
1982-01-01   64507
1983-01-01   71435
1984-01-01   79023
1985-01-01   86671
1986-01-01   95489
1987-01-01  106048
1988-01-01  121156
1989-01-01  122598
1990-01-01  132668
1991-01-01  154700
1992-01-01  161398
1993-01-01  165328
1994-01-01  164406
1995-01-01  184382
1996-01-01  198197
1997-01-01  230081
1998-01-01  227148
1999-01-01  226999
2000-01-01  158393
2001-01-01  398278
2002-01-01  273669
2003-01-01  311879
2004-01-01  337741
2005-01-01  388000
2006-01-01  357075
2007-01-01  399207
2008-01-01  456035
2009-01-01  534642
2010-01-01  621546
2011-01-01  500226
2012-01-01  523265
2013-01-01  575863
2014-01-01  625656
2015-01-01  631302
2016-01-01  609468
2017-01-01  826775
