Title:               Resident Population in Cleveland County, NC
Series ID:           NCCLEV0POP
Source:              U.S. Bureau of the Census
Release:             Annual Estimates of the Population for Counties (Not a Press Release)
Seasonal Adjustment: Not Seasonally Adjusted
Frequency:           Annual
Units:               Thousands of Persons
Date Range:          1970-01-01 to 2017-01-01
Last Updated:        2018-03-27 3:22 PM CDT
Notes:               Data for "Resident Population" are from estimates as of July 1. Data
                     for 1970 and 1980 are annual census.

DATE         VALUE
1970-01-01  72.556
1971-01-01  74.700
1972-01-01  76.300
1973-01-01  77.600
1974-01-01  79.000
1975-01-01  80.300
1976-01-01  80.900
1977-01-01  81.200
1978-01-01  81.800
1979-01-01  82.300
1980-01-01  83.435
1981-01-01  83.376
1982-01-01  83.144
1983-01-01  82.675
1984-01-01  83.289
1985-01-01  84.172
1986-01-01  83.658
1987-01-01  83.583
1988-01-01  83.910
1989-01-01  84.430
1990-01-01  85.221
1991-01-01  86.159
1992-01-01  87.395
1993-01-01  88.370
1994-01-01  89.210
1995-01-01  90.738
1996-01-01  92.037
1997-01-01  93.017
1998-01-01  94.224
1999-01-01  95.293
2000-01-01  96.421
2001-01-01  97.072
2002-01-01  97.414
2003-01-01  97.684
2004-01-01  97.643
2005-01-01  97.409
2006-01-01  97.632
2007-01-01  98.295
2008-01-01  99.038
2009-01-01  99.192
2010-01-01  97.917
2011-01-01  97.435
2012-01-01  97.314
2013-01-01  96.874
2014-01-01  97.012
2015-01-01  96.868
2016-01-01  97.102
2017-01-01  97.334
