Title:               Resident Population in Chatham County, NC
Series ID:           NCCHAT7POP
Source:              U.S. Bureau of the Census
Release:             Annual Estimates of the Population for Counties (Not a Press Release)
Seasonal Adjustment: Not Seasonally Adjusted
Frequency:           Annual
Units:               Thousands of Persons
Date Range:          1970-01-01 to 2017-01-01
Last Updated:        2018-03-27 3:22 PM CDT
Notes:               Data for "Resident Population" are from estimates as of July 1. Data
                     for 1970 and 1980 are annual census.

DATE         VALUE
1970-01-01  29.554
1971-01-01  30.400
1972-01-01  30.400
1973-01-01  30.500
1974-01-01  30.600
1975-01-01  31.100
1976-01-01  31.600
1977-01-01  32.000
1978-01-01  32.700
1979-01-01  33.400
1980-01-01  33.415
1981-01-01  33.983
1982-01-01  34.430
1983-01-01  34.688
1984-01-01  35.330
1985-01-01  35.811
1986-01-01  36.592
1987-01-01  36.992
1988-01-01  37.587
1989-01-01  38.254
1990-01-01  39.216
1991-01-01  40.107
1992-01-01  41.014
1993-01-01  41.873
1994-01-01  42.766
1995-01-01  43.886
1996-01-01  45.166
1997-01-01  46.339
1998-01-01  47.291
1999-01-01  48.398
2000-01-01  49.815
2001-01-01  51.712
2002-01-01  54.245
2003-01-01  55.612
2004-01-01  56.945
2005-01-01  57.903
2006-01-01  59.850
2007-01-01  61.481
2008-01-01  63.441
2009-01-01  64.649
2010-01-01  63.849
2011-01-01  64.159
2012-01-01  64.590
2013-01-01  65.314
2014-01-01  66.791
2015-01-01  68.418
2016-01-01  69.824
2017-01-01  71.472
