Title:               Civilian Labor Force in Duplin County, NC
Series ID:           NCDUPL1LFN
Source:              U.S. Bureau of Labor Statistics
Release:             Unemployment in States and Local Areas (all other areas) (Not a Press Release)
Seasonal Adjustment: Not Seasonally Adjusted
Frequency:           Monthly
Units:               Persons
Date Range:          1990-01-01 to 2018-11-01
Last Updated:        2019-01-03 10:14 AM CST
Notes:               

DATE        VALUE
2015-01-01  26767
2015-02-01  26514
2015-03-01  27221
2015-04-01  26497
2015-05-01  26704
2015-06-01  26420
2015-07-01  26591
2015-08-01  25960
2015-09-01  26063
2015-10-01  26467
2015-11-01  26711
2015-12-01  25939
2016-01-01  26096
2016-02-01  26209
2016-03-01  27131
2016-04-01  26760
2016-05-01  26927
2016-06-01  26134
2016-07-01  26997
2016-08-01  26274
2016-09-01  26678
2016-10-01  26353
2016-11-01  26258
2016-12-01  25921
2017-01-01  25914
2017-02-01  26448
2017-03-01  26881
2017-04-01  25857
2017-05-01  25445
2017-06-01  24658
2017-07-01  25602
2017-08-01  25176
2017-09-01  25489
2017-10-01  25395
2017-11-01  25013
2017-12-01  25060
2018-01-01  25130
2018-02-01  25664
2018-03-01  25310
2018-04-01  24918
2018-05-01  24859
2018-06-01  24395
2018-07-01  24978
2018-08-01  24495
2018-09-01  24546
2018-10-01  24552
2018-11-01  24243
