Title:               Civilian Labor Force in Dare County, NC
Series ID:           NCDARE5LFN
Source:              U.S. Bureau of Labor Statistics
Release:             Unemployment in States and Local Areas (all other areas) (Not a Press Release)
Seasonal Adjustment: Not Seasonally Adjusted
Frequency:           Monthly
Units:               Persons
Date Range:          1990-01-01 to 2018-11-01
Last Updated:        2019-01-03 10:14 AM CST
Notes:               

DATE        VALUE
1990-01-01  11879
1990-02-01  11847
1990-03-01  12302
1990-04-01  13732
1990-05-01  15190
1990-06-01  16665
1990-07-01  17211
1990-08-01  16934
1990-09-01  14925
1990-10-01  13633
1990-11-01  13048
1990-12-01  12474
1991-01-01  12152
1991-02-01  12060
1991-03-01  12443
1991-04-01  13853
1991-05-01  15413
1991-06-01  17207
1991-07-01  17781
1991-08-01  17636
1991-09-01  15566
1991-10-01  14339
1991-11-01  13617
1991-12-01  13255
1992-01-01  13023
1992-02-01  13142
1992-03-01  13193
1992-04-01  13918
1992-05-01  15494
1992-06-01  17075
1992-07-01  18082
1992-08-01  17867
1992-09-01  16021
1992-10-01  14603
1992-11-01  13713
1992-12-01  13550
1993-01-01  13175
1993-02-01  13090
1993-03-01  13047
1993-04-01  13907
1993-05-01  15550
1993-06-01  17139
1993-07-01  18130
1993-08-01  17852
1993-09-01  16349
1993-10-01  14905
1993-11-01  13829
1993-12-01  13714
1994-01-01  13229
1994-02-01  13348
1994-03-01  13575
1994-04-01  14142
1994-05-01  15717
1994-06-01  17437
1994-07-01  18489
1994-08-01  18352
1994-09-01  16836
1994-10-01  15051
1994-11-01  14343
1994-12-01  14089
1995-01-01  13741
1995-02-01  13488
1995-03-01  13839
1995-04-01  15160
1995-05-01  16411
1995-06-01  18479
1995-07-01  19454
1995-08-01  19233
1995-09-01  17149
1995-10-01  15597
1995-11-01  14852
1995-12-01  14589
1996-01-01  13974
1996-02-01  14060
1996-03-01  14446
1996-04-01  15431
1996-05-01  17248
1996-06-01  19317
1996-07-01  20659
1996-08-01  20257
1996-09-01  17915
1996-10-01  16498
1996-11-01  15742
1996-12-01  15401
1997-01-01  15466
1997-02-01  15105
1997-03-01  15493
1997-04-01  16401
1997-05-01  18398
1997-06-01  20636
1997-07-01  21720
1997-08-01  21247
1997-09-01  18936
1997-10-01  17411
1997-11-01  16474
1997-12-01  16777
1998-01-01  15820
1998-02-01  15396
1998-03-01  15715
1998-04-01  16971
1998-05-01  18477
1998-06-01  20898
1998-07-01  21795
1998-08-01  21006
1998-09-01  18955
1998-10-01  18099
1998-11-01  17209
1998-12-01  16905
1999-01-01  16088
1999-02-01  15909
1999-03-01  16289
1999-04-01  17482
1999-05-01  18448
1999-06-01  20860
1999-07-01  22688
1999-08-01  21966
1999-09-01  19813
1999-10-01  18708
1999-11-01  17572
1999-12-01  17198
2000-01-01  15920
2000-02-01  15888
2000-03-01  16531
2000-04-01  17743
