Title:               Civilian Labor Force in Durham County, NC
Series ID:           NCDURH8LFN
Source:              U.S. Bureau of Labor Statistics
Release:             Unemployment in States and Local Areas (all other areas) (Not a Press Release)
Seasonal Adjustment: Not Seasonally Adjusted
Frequency:           Monthly
Units:               Persons
Date Range:          1990-01-01 to 2018-11-01
Last Updated:        2019-01-03 10:11 AM CST
Notes:               

DATE         VALUE
1990-01-01   98749
1990-02-01  100536
1990-03-01  100873
1990-04-01  101004
1990-05-01  101404
1990-06-01  102301
1990-07-01  104138
1990-08-01  103717
1990-09-01  102669
1990-10-01  102991
1990-11-01  102777
1990-12-01  103165
1991-01-01   99672
1991-02-01  101137
1991-03-01  101457
1991-04-01  102368
1991-05-01  101795
1991-06-01  103246
1991-07-01  104885
1991-08-01  104889
1991-09-01  104944
1991-10-01  106086
1991-11-01  106058
1991-12-01  105424
1992-01-01  102742
1992-02-01  103739
1992-03-01  104333
1992-04-01  103767
1992-05-01  104656
1992-06-01  106004
1992-07-01  108593
1992-08-01  108057
1992-09-01  107228
1992-10-01  107767
1992-11-01  108026
1992-12-01  107725
1993-01-01  104729
1993-02-01  106016
1993-03-01  105695
1993-04-01  105314
1993-05-01  106832
1993-06-01  107169
1993-07-01  108752
1993-08-01  108398
1993-09-01  106664
1993-10-01  105782
1993-11-01  107227
1993-12-01  106650
1994-01-01  105853
1994-02-01  106671
1994-03-01  106703
1994-04-01  106924
1994-05-01  107302
1994-06-01  108199
1994-07-01  107996
1994-08-01  109074
1994-09-01  107582
1994-10-01  108711
1994-11-01  109407
1994-12-01  108746
1995-01-01  105659
1995-02-01  106779
1995-03-01  106967
1995-04-01  106809
1995-05-01  107099
1995-06-01  108137
1995-07-01  110055
1995-08-01  109454
1995-09-01  109603
1995-10-01  111389
1995-11-01  111495
1995-12-01  110500
1996-01-01  108051
1996-02-01  110897
1996-03-01  112076
1996-04-01  111356
1996-05-01  112503
1996-06-01  113300
1996-07-01  115467
1996-08-01  114544
1996-09-01  114286
1996-10-01  116121
1996-11-01  116262
1996-12-01  115474
1997-01-01  113226
1997-02-01  115203
1997-03-01  116149
1997-04-01  116836
1997-05-01  116619
1997-06-01  117267
1997-07-01  118137
1997-08-01  116849
1997-09-01  116096
1997-10-01  118340
1997-11-01  118989
1997-12-01  117798
1998-01-01  115184
1998-02-01  116686
1998-03-01  117179
1998-04-01  118049
1998-05-01  118245
1998-06-01  118399
1998-07-01  118829
1998-08-01  117183
1998-09-01  117674
1998-10-01  118581
1998-11-01  118992
1998-12-01  118706
1999-01-01  115968
1999-02-01  117416
1999-03-01  117704
1999-04-01  118052
1999-05-01  118796
1999-06-01  119936
1999-07-01  120670
1999-08-01  119444
1999-09-01  118944
1999-10-01  120303
1999-11-01  120929
1999-12-01  121182
2000-01-01  120418
2000-02-01  122709
2000-03-01  123089
