Title:               State Government Tax Collections, Death and Gift Taxes in North Carolina
Series ID:           NCDTHGFTAX
Source:              U.S. Bureau of the Census
Release:             State Government Tax Collections (Not a Press Release)
Seasonal Adjustment: Not Seasonally Adjusted
Frequency:           Annual
Units:               Thousands of Dollars
Date Range:          1942-01-01 to 2017-01-01
Last Updated:        2019-01-07 1:31 PM CST
Notes:               For more information, see
                     http://www.census.gov/govs/www/statetax.html.

DATE         VALUE
1942-01-01    1084
1943-01-01       .
1944-01-01    1049
1945-01-01       .
1946-01-01    1809
1947-01-01       .
1948-01-01    1864
1949-01-01       .
1950-01-01    2211
1951-01-01    3300
1952-01-01    4379
1953-01-01    3462
1954-01-01    4568
1955-01-01    5978
1956-01-01    3963
1957-01-01    5156
1958-01-01    5832
1959-01-01    5346
1960-01-01    6644
1961-01-01    7800
1962-01-01    7837
1963-01-01   14594
1964-01-01   10886
1965-01-01   12607
1966-01-01   17901
1967-01-01   13231
1968-01-01   15033
1969-01-01   24224
1970-01-01   18936
1971-01-01   19643
1972-01-01   23215
1973-01-01   35798
1974-01-01   31148
1975-01-01   27724
1976-01-01   29986
1977-01-01   37053
1978-01-01   36934
1979-01-01   39352
1980-01-01   42149
1981-01-01   45603
1982-01-01   45336
1983-01-01   48246
1984-01-01   71586
1985-01-01   76642
1986-01-01   86702
1987-01-01   77477
1988-01-01   65740
1989-01-01   71747
1990-01-01   82993
1991-01-01   84466
1992-01-01   94924
1993-01-01  103173
1994-01-01  119683
1995-01-01  118457
1996-01-01  123949
1997-01-01  144846
1998-01-01  164925
1999-01-01  182851
2000-01-01  188412
2001-01-01  143419
2002-01-01  118141
2003-01-01  131808
2004-01-01  145110
2005-01-01  154108
2006-01-01  149757
2007-01-01  177543
2008-01-01  176254
2009-01-01  116624
2010-01-01   83980
2011-01-01   26788
2012-01-01   58323
2013-01-01  112364
2014-01-01   19932
2015-01-01    3225
2016-01-01    4493
2017-01-01     713
