Title:               Resident Population in Dare County, NC
Series ID:           NCDARE5POP
Source:              U.S. Bureau of the Census
Release:             Annual Estimates of the Population for Counties (Not a Press Release)
Seasonal Adjustment: Not Seasonally Adjusted
Frequency:           Annual
Units:               Thousands of Persons
Date Range:          1970-01-01 to 2017-01-01
Last Updated:        2018-03-27 3:22 PM CDT
Notes:               Data for "Resident Population" are from estimates as of July 1. Data
                     for 1970 and 1980 are annual census.

DATE         VALUE
1970-01-01   6.995
1971-01-01   7.600
1972-01-01   7.700
1973-01-01   8.400
1974-01-01   9.300
1975-01-01   9.800
1976-01-01  10.400
1977-01-01  11.100
1978-01-01  11.900
1979-01-01  12.700
1980-01-01  13.377
1981-01-01  14.066
1982-01-01  14.593
1983-01-01  15.120
1984-01-01  15.981
1985-01-01  17.027
1986-01-01  18.385
1987-01-01  19.580
1988-01-01  20.956
1989-01-01  22.143
1990-01-01  22.929
1991-01-01  23.092
1992-01-01  23.567
1993-01-01  24.197
1994-01-01  24.963
1995-01-01  25.909
1996-01-01  26.670
1997-01-01  27.721
1998-01-01  28.606
1999-01-01  29.366
2000-01-01  30.177
2001-01-01  30.898
2002-01-01  32.021
2003-01-01  32.871
2004-01-01  33.417
2005-01-01  33.626
2006-01-01  33.829
2007-01-01  33.993
2008-01-01  34.076
2009-01-01  34.261
2010-01-01  33.984
2011-01-01  34.178
2012-01-01  34.426
2013-01-01  34.852
2014-01-01  34.907
2015-01-01  35.441
2016-01-01  35.760
2017-01-01  36.099
