Title:               Gross Domestic Product by Industry: Private Industries: Manufacturing: Durable Goods Manufacturing for North Carolina
Series ID:           NCDURMANNQGSP
Source:              U.S. Bureau of Economic Analysis
Release:             Gross Domestic Product (GDP) by State
Seasonal Adjustment: Seasonally Adjusted Annual Rate
Frequency:           Quarterly
Units:               Millions of Dollars
Date Range:          2005-01-01 to 2018-04-01
Last Updated:        2018-11-19 4:15 PM CST
Notes:               For more information about this release go to
                     http://www.bea.gov/newsreleases/regional/gdp_state/qgsp_newsrelease.htm.

DATE          VALUE
2005-01-01  25088.8
2005-04-01  25908.8
2005-07-01  27776.0
2005-10-01  30399.9
2006-01-01  34151.2
2006-04-01  36675.8
2006-07-01  37119.8
2006-10-01  38109.9
2007-01-01  36921.5
2007-04-01  35892.9
2007-07-01  36191.5
2007-10-01  35576.9
2008-01-01  34466.7
2008-04-01  34628.2
2008-07-01  34140.7
2008-10-01  33241.5
2009-01-01  31114.2
2009-04-01  30272.4
2009-07-01  30910.0
2009-10-01  32287.9
2010-01-01  33588.9
2010-04-01  34274.5
2010-07-01  34354.1
2010-10-01  34314.1
2011-01-01  32060.6
2011-04-01  30949.6
2011-07-01  30945.8
2011-10-01  30918.2
2012-01-01  32384.9
2012-04-01  32869.2
2012-07-01  33667.4
2012-10-01  33775.6
2013-01-01  36613.2
2013-04-01  37418.6
2013-07-01  38014.7
2013-10-01  38550.5
2014-01-01  37077.6
2014-04-01  38448.9
2014-07-01  39943.4
2014-10-01  39824.9
2015-01-01  40943.0
2015-04-01  40579.2
2015-07-01  41392.0
2015-10-01  40926.7
2016-01-01  41314.7
2016-04-01  40056.4
2016-07-01  40173.4
2016-10-01  40840.4
2017-01-01  40943.9
2017-04-01  42275.9
2017-07-01  42291.4
2017-10-01  43115.3
2018-01-01  43373.7
2018-04-01  44122.4
