Title:               Civilian Labor Force in Davidson County, NC
Series ID:           NCDAVI4LFN
Source:              U.S. Bureau of Labor Statistics
Release:             Unemployment in States and Local Areas (all other areas) (Not a Press Release)
Seasonal Adjustment: Not Seasonally Adjusted
Frequency:           Monthly
Units:               Persons
Date Range:          1990-01-01 to 2018-11-01
Last Updated:        2019-01-03 10:14 AM CST
Notes:               

DATE        VALUE
1990-01-01  71498
1990-02-01  71974
1990-03-01  71938
1990-04-01  71926
1990-05-01  72690
1990-06-01  73599
1990-07-01  74560
1990-08-01  74105
1990-09-01  72949
1990-10-01  73307
1990-11-01  74328
1990-12-01  73753
1991-01-01  73245
1991-02-01  74033
1991-03-01  73020
1991-04-01  72717
1991-05-01  72972
1991-06-01  73924
1991-07-01  75297
1991-08-01  74356
1991-09-01  73499
1991-10-01  74107
1991-11-01  75210
1991-12-01  73768
1992-01-01  73823
1992-02-01  73859
1992-03-01  74226
1992-04-01  73778
1992-05-01  75438
1992-06-01  75671
1992-07-01  76670
1992-08-01  77213
1992-09-01  74842
1992-10-01  74857
1992-11-01  75319
1992-12-01  74840
1993-01-01  74184
1993-02-01  74209
1993-03-01  74073
1993-04-01  74712
1993-05-01  74752
1993-06-01  75807
1993-07-01  76381
1993-08-01  75574
1993-09-01  74161
1993-10-01  74826
1993-11-01  74975
1993-12-01  75139
1994-01-01  73911
1994-02-01  74765
1994-03-01  73635
1994-04-01  74276
1994-05-01  75415
1994-06-01  75926
1994-07-01  76535
1994-08-01  76055
1994-09-01  75618
1994-10-01  76751
1994-11-01  77005
1994-12-01  76691
1995-01-01  75345
1995-02-01  75717
1995-03-01  75815
1995-04-01  75926
1995-05-01  77144
1995-06-01  76497
1995-07-01  77053
1995-08-01  76769
1995-09-01  76596
1995-10-01  77508
1995-11-01  77687
1995-12-01  77527
1996-01-01  78339
1996-02-01  77652
1996-03-01  78190
1996-04-01  78308
1996-05-01  79038
1996-06-01  79728
1996-07-01  80442
1996-08-01  79801
1996-09-01  79766
1996-10-01  80440
1996-11-01  80432
1996-12-01  80477
1997-01-01  80296
1997-02-01  80355
1997-03-01  81585
1997-04-01  81362
1997-05-01  81290
1997-06-01  81287
1997-07-01  81899
1997-08-01  81579
1997-09-01  80366
1997-10-01  80269
1997-11-01  80922
1997-12-01  81236
1998-01-01  79840
1998-02-01  80056
1998-03-01  80215
1998-04-01  80094
1998-05-01  80484
1998-06-01  80822
1998-07-01  81556
1998-08-01  84501
1998-09-01  80595
1998-10-01  81335
1998-11-01  81608
1998-12-01  81540
1999-01-01  80641
1999-02-01  81365
1999-03-01  81524
1999-04-01  81200
1999-05-01  81793
