Title:               Civilian Labor Force in Mitchell County, NC
Series ID:           NCMITC1LFN
Source:              U.S. Bureau of Labor Statistics
Release:             Unemployment in States and Local Areas (all other areas) (Not a Press Release)
Seasonal Adjustment: Not Seasonally Adjusted
Frequency:           Monthly
Units:               Persons
Date Range:          1990-01-01 to 2018-11-01
Last Updated:        2019-01-03 10:18 AM CST
Notes:               

DATE       VALUE
2015-01-01  6276
2015-02-01  6246
2015-03-01  6280
2015-04-01  6388
2015-05-01  6428
2015-06-01  6343
2015-07-01  6311
2015-08-01  6293
2015-09-01  6310
2015-10-01  6360
2015-11-01  6312
2015-12-01  6175
2016-01-01  6121
2016-02-01  6126
2016-03-01  6215
2016-04-01  6229
2016-05-01  6237
2016-06-01  6150
2016-07-01  6202
2016-08-01  6228
2016-09-01  6255
2016-10-01  6224
2016-11-01  6143
2016-12-01  6044
2017-01-01  6048
2017-02-01  6082
2017-03-01  6154
2017-04-01  6186
2017-05-01  6156
2017-06-01  6072
2017-07-01  6122
2017-08-01  6130
2017-09-01  6249
2017-10-01  6126
2017-11-01  6076
2017-12-01  5971
2018-01-01  5944
2018-02-01  6048
2018-03-01  6093
2018-04-01  6124
2018-05-01  6075
2018-06-01  6002
2018-07-01  5983
2018-08-01  6007
2018-09-01  6034
2018-10-01  6061
2018-11-01  5992
