Title:               Civilian Labor Force in Madison County, NC
Series ID:           NCMADI5LFN
Source:              U.S. Bureau of Labor Statistics
Release:             Unemployment in States and Local Areas (all other areas) (Not a Press Release)
Seasonal Adjustment: Not Seasonally Adjusted
Frequency:           Monthly
Units:               Persons
Date Range:          1990-01-01 to 2018-11-01
Last Updated:        2019-01-03 10:18 AM CST
Notes:               

DATE        VALUE
1990-01-01   8102
1990-02-01   7975
1990-03-01   8008
1990-04-01   8044
1990-05-01   8214
1990-06-01   8529
1990-07-01   8422
1990-08-01   8428
1990-09-01   8259
1990-10-01   8179
1990-11-01   8207
1990-12-01   8216
1991-01-01   8208
1991-02-01   8338
1991-03-01   8294
1991-04-01   8343
1991-05-01   8394
1991-06-01   8644
1991-07-01   8693
1991-08-01   8705
1991-09-01   8723
1991-10-01   8672
1991-11-01   8666
1991-12-01   8609
1992-01-01   8342
1992-02-01   8439
1992-03-01   8344
1992-04-01   8233
1992-05-01   8465
1992-06-01   8665
1992-07-01   8721
1992-08-01   8801
1992-09-01   8615
1992-10-01   8569
1992-11-01   8665
1992-12-01   8690
1993-01-01   8393
1993-02-01   8751
1993-03-01   8621
1993-04-01   8482
1993-05-01   8535
1993-06-01   8629
1993-07-01   8689
1993-08-01   8626
1993-09-01   8456
1993-10-01   8498
1993-11-01   8521
1993-12-01   8534
1994-01-01   8327
1994-02-01   8377
1994-03-01   8491
1994-04-01   8619
1994-05-01   8682
1994-06-01   8749
1994-07-01   8762
1994-08-01   8763
1994-09-01   8565
1994-10-01   8650
1994-11-01   8775
1994-12-01   8704
1995-01-01   8624
1995-02-01   8665
1995-03-01   8627
1995-04-01   8502
1995-05-01   8484
1995-06-01   8508
1995-07-01   8826
1995-08-01   8627
1995-09-01   8575
1995-10-01   8730
1995-11-01   8878
1995-12-01   8864
1996-01-01   9073
1996-02-01   9076
1996-03-01   9002
1996-04-01   9160
1996-05-01   9150
1996-06-01   9125
1996-07-01   9142
1996-08-01   9088
1996-09-01   9042
1996-10-01   9174
1996-11-01   9331
1996-12-01   9334
1997-01-01   9365
1997-02-01   9268
1997-03-01   9295
1997-04-01   9367
1997-05-01   9467
1997-06-01   9433
1997-07-01   9449
1997-08-01   9285
1997-09-01   9364
1997-10-01   9296
1997-11-01   9469
1997-12-01   9468
1998-01-01   9323
1998-02-01   9301
1998-03-01   9327
1998-04-01   9272
1998-05-01   9286
1998-06-01   9338
1998-07-01   9394
1998-08-01   9375
1998-09-01   9350
1998-10-01   9360
1998-11-01   9458
1998-12-01   9423
1999-01-01   9294
1999-02-01   9328
1999-03-01   9381
1999-04-01   9253
1999-05-01   9274
1999-06-01   9161
1999-07-01   9344
1999-08-01   9186
1999-09-01   9230
1999-10-01   9331
1999-11-01   9378
1999-12-01   9482
2000-01-01   9384
2000-02-01   9413
2000-03-01   9428
2000-04-01   9411
2000-05-01   9417
2000-06-01   9476
2000-07-01   9446
2000-08-01   9346
2000-09-01   9345
2000-10-01   9383
2000-11-01   9389
2000-12-01   9426
2001-01-01   9574
2001-02-01   9527
2001-03-01   9523
2001-04-01   9552
2001-05-01   9555
2001-06-01   9592
2001-07-01   9724
2001-08-01   9587
2001-09-01   9604
2001-10-01   9706
2001-11-01   9709
2001-12-01   9696
2002-01-01   9519
2002-02-01   9608
2002-03-01   9594
2002-04-01   9580
2002-05-01   9647
2002-06-01   9624
2002-07-01   9713
2002-08-01   9559
2002-09-01   9554
2002-10-01   9623
2002-11-01   9582
2002-12-01   9552
2003-01-01   9522
2003-02-01   9611
2003-03-01   9633
2003-04-01   9697
2003-05-01   9703
2003-06-01   9786
2003-07-01   9793
2003-08-01   9714
2003-09-01   9693
2003-10-01   9719
2003-11-01   9796
2003-12-01   9703
2004-01-01   9590
2004-02-01   9592
2004-03-01   9570
2004-04-01   9640
2004-05-01   9668
2004-06-01   9791
2004-07-01   9891
2004-08-01   9696
2004-09-01   9583
2004-10-01   9667
2004-11-01   9718
2004-12-01   9705
2005-01-01   9664
2005-02-01   9716
2005-03-01   9710
2005-04-01   9664
2005-05-01   9742
2005-06-01   9740
2005-07-01   9925
2005-08-01   9829
2005-09-01   9807
2005-10-01   9842
2005-11-01   9806
2005-12-01   9737
2006-01-01   9621
2006-02-01   9666
2006-03-01   9786
2006-04-01   9780
2006-05-01   9880
2006-06-01   9957
2006-07-01  10118
2006-08-01   9985
2006-09-01  10022
2006-10-01  10151
2006-11-01  10175
2006-12-01  10077
2007-01-01   9758
2007-02-01   9705
2007-03-01   9790
2007-04-01   9710
2007-05-01   9815
2007-06-01   9915
2007-07-01  10001
2007-08-01   9800
2007-09-01   9893
2007-10-01   9883
2007-11-01   9886
2007-12-01   9799
2008-01-01   9911
2008-02-01   9891
2008-03-01   9904
2008-04-01   9986
2008-05-01  10087
2008-06-01  10121
2008-07-01  10236
2008-08-01  10035
2008-09-01   9998
2008-10-01   9990
2008-11-01  10038
2008-12-01  10007
2009-01-01   9854
2009-02-01   9889
2009-03-01   9805
2009-04-01   9877
2009-05-01   9941
2009-06-01   9928
2009-07-01  10101
2009-08-01   9903
2009-09-01   9886
2009-10-01   9917
2009-11-01   9959
2009-12-01   9838
2010-01-01   9278
2010-02-01   9312
2010-03-01   9344
2010-04-01   9449
2010-05-01   9459
2010-06-01   9477
2010-07-01   9446
2010-08-01   9393
2010-09-01   9381
2010-10-01   9393
2010-11-01   9382
2010-12-01   9356
2011-01-01   9376
2011-02-01   9356
2011-03-01   9399
2011-04-01   9392
2011-05-01   9456
2011-06-01   9514
2011-07-01   9525
2011-08-01   9398
2011-09-01   9475
2011-10-01   9498
2011-11-01   9463
2011-12-01   9375
2012-01-01   9298
2012-02-01   9343
2012-03-01   9370
2012-04-01   9377
2012-05-01   9536
2012-06-01   9563
2012-07-01   9637
2012-08-01   9500
2012-09-01   9568
2012-10-01   9618
2012-11-01   9557
2012-12-01   9500
2013-01-01   9504
2013-02-01   9421
2013-03-01   9393
2013-04-01   9430
2013-05-01   9573
2013-06-01   9617
2013-07-01   9623
2013-08-01   9474
2013-09-01   9511
2013-10-01   9488
2013-11-01   9454
2013-12-01   9347
2014-01-01   9278
2014-02-01   9278
2014-03-01   9382
2014-04-01   9305
2014-05-01   9469
2014-06-01   9433
2014-07-01   9541
2014-08-01   9388
2014-09-01   9416
2014-10-01   9478
2014-11-01   9453
2014-12-01   9369
2015-01-01   9312
2015-02-01   9351
2015-03-01   9383
2015-04-01   9426
2015-05-01   9597
2015-06-01   9545
2015-07-01   9589
2015-08-01   9446
2015-09-01   9460
2015-10-01   9533
2015-11-01   9496
2015-12-01   9499
2016-01-01   9519
2016-02-01   9621
2016-03-01   9693
2016-04-01   9633
2016-05-01   9697
2016-06-01   9727
2016-07-01   9796
2016-08-01   9671
2016-09-01   9733
2016-10-01   9780
2016-11-01   9730
2016-12-01   9689
2017-01-01   9716
2017-02-01   9816
2017-03-01   9855
2017-04-01   9808
2017-05-01   9849
2017-06-01   9860
2017-07-01   9971
2017-08-01   9840
2017-09-01   9975
2017-10-01   9962
2017-11-01   9946
2017-12-01   9869
2018-01-01   9915
2018-02-01   9992
2018-03-01   9984
2018-04-01   9998
2018-05-01  10005
2018-06-01  10092
