Title:               Civilian Labor Force in Martin County, NC
Series ID:           NCMART7LFN
Source:              U.S. Bureau of Labor Statistics
Release:             Unemployment in States and Local Areas (all other areas) (Not a Press Release)
Seasonal Adjustment: Not Seasonally Adjusted
Frequency:           Monthly
Units:               Persons
Date Range:          1990-01-01 to 2018-11-01
Last Updated:        2019-01-03 10:18 AM CST
Notes:               

DATE        VALUE
2015-01-01   9811
2015-02-01   9799
2015-03-01   9933
2015-04-01   9807
2015-05-01   9779
2015-06-01   9645
2015-07-01   9636
2015-08-01   9552
2015-09-01   9630
2015-10-01   9705
2015-11-01   9726
2015-12-01   9577
2016-01-01   9742
2016-02-01   9824
2016-03-01   9989
2016-04-01   9859
2016-05-01   9809
2016-06-01   9746
2016-07-01   9848
2016-08-01   9646
2016-09-01   9855
2016-10-01   9821
2016-11-01   9804
2016-12-01   9697
2017-01-01   9772
2017-02-01   9882
2017-03-01   9979
2017-04-01   9801
2017-05-01   9660
2017-06-01   9458
2017-07-01   9424
2017-08-01   9376
2017-09-01   9607
2017-10-01   9577
2017-11-01   9567
2017-12-01   9530
2018-01-01   9538
2018-02-01   9637
2018-03-01   9630
2018-04-01   9552
2018-05-01   9599
2018-06-01   9449
2018-07-01   9422
2018-08-01   9152
2018-09-01   9291
2018-10-01   9310
2018-11-01   9307
