Title:               State Government Tax Collections, Motor Vehicle Operators Licenses in North Carolina
Series ID:           NCMVOPERTAX
Source:              U.S. Bureau of the Census
Release:             State Government Tax Collections (Not a Press Release)
Seasonal Adjustment: Not Seasonally Adjusted
Frequency:           Annual
Units:               Thousands of Dollars
Date Range:          1951-01-01 to 2017-01-01
Last Updated:        2019-01-07 1:31 PM CST
Notes:               For more information, see
                     http://www.census.gov/govs/www/statetax.html.

DATE         VALUE
1951-01-01     932
1952-01-01     784
1953-01-01     928
1954-01-01     956
1955-01-01     944
1956-01-01    1021
1957-01-01    1058
1958-01-01    1323
1959-01-01    1339
1960-01-01    1376
1961-01-01    1484
1962-01-01    1941
1963-01-01    1960
1964-01-01    2056
1965-01-01    1934
1966-01-01    2182
1967-01-01    2120
1968-01-01    2627
1969-01-01    3050
1970-01-01    4205
1971-01-01    4370
1972-01-01    4870
1973-01-01    5010
1974-01-01    5340
1975-01-01    5224
1976-01-01    6967
1977-01-01    6743
1978-01-01    7887
1979-01-01    8627
1980-01-01    8958
1981-01-01    9425
1982-01-01   21646
1983-01-01   22466
1984-01-01   26062
1985-01-01   27687
1986-01-01   28813
1987-01-01   33132
1988-01-01   37654
1989-01-01   39015
1990-01-01   37699
1991-01-01   41428
1992-01-01   55159
1993-01-01   52973
1994-01-01   52827
1995-01-01   58569
1996-01-01   69018
1997-01-01   68698
1998-01-01   79551
1999-01-01   81795
2000-01-01   59540
2001-01-01   66923
2002-01-01   69477
2003-01-01   70988
2004-01-01   75371
2005-01-01   79893
2006-01-01  111257
2007-01-01  126775
2008-01-01  134196
2009-01-01  130377
2010-01-01  127096
2011-01-01  127852
2012-01-01  123344
2013-01-01  112726
2014-01-01  111132
2015-01-01  116386
2016-01-01  134435
2017-01-01  129086
