Title:               Real Gross Domestic Product by Industry: Private Industries: Professional and Business Services: Management Of Companies and Enterprises for North Carolina
Series ID:           NCMNGCOENTPRRQGSP
Source:              U.S. Bureau of Economic Analysis
Release:             Gross Domestic Product (GDP) by State
Seasonal Adjustment: Seasonally Adjusted Annual Rate
Frequency:           Quarterly
Units:               Millions of Chained 2012 Dollars
Date Range:          2005-01-01 to 2018-04-01
Last Updated:        2018-11-19 4:15 PM CST
Notes:               For more information about this release go to
                     http://www.bea.gov/newsreleases/regional/gdp_state/qgsp_newsrelease.htm.

DATE          VALUE
2005-01-01  10433.3
2005-04-01  10297.4
2005-07-01  10284.6
2005-10-01   9993.6
2006-01-01  10632.0
2006-04-01  10414.6
2006-07-01   9845.7
2006-10-01   9529.5
2007-01-01   9799.8
2007-04-01   9187.0
2007-07-01   9240.3
2007-10-01   9561.4
2008-01-01   9956.5
2008-04-01  10221.3
2008-07-01  10587.3
2008-10-01   9949.1
2009-01-01   8426.5
2009-04-01   9097.5
2009-07-01   9656.5
2009-10-01   9658.4
2010-01-01   9559.7
2010-04-01   9710.1
2010-07-01   9824.3
2010-10-01  10345.4
2011-01-01  10405.1
2011-04-01  10368.9
2011-07-01  10130.3
2011-10-01  10389.2
2012-01-01  10685.8
2012-04-01  10909.6
2012-07-01  11039.3
2012-10-01  11688.3
2013-01-01  10480.7
2013-04-01  10509.1
2013-07-01  10796.7
2013-10-01  11658.2
2014-01-01  12522.4
2014-04-01  11393.3
2014-07-01  12399.2
2014-10-01  12051.4
2015-01-01  12550.7
2015-04-01  12413.2
2015-07-01  12359.7
2015-10-01  12441.3
2016-01-01  12425.9
2016-04-01  12439.9
2016-07-01  12563.7
2016-10-01  12647.9
2017-01-01  12606.9
2017-04-01  12454.0
2017-07-01  13206.7
2017-10-01  13098.8
2018-01-01  12784.2
2018-04-01  12948.8
