Title:               Civilian Labor Force in McDowell County, NC
Series ID:           NCMCDO1LFN
Source:              U.S. Bureau of Labor Statistics
Release:             Unemployment in States and Local Areas (all other areas) (Not a Press Release)
Seasonal Adjustment: Not Seasonally Adjusted
Frequency:           Monthly
Units:               Persons
Date Range:          1990-01-01 to 2018-11-01
Last Updated:        2019-01-03 10:18 AM CST
Notes:               

DATE        VALUE
1990-01-01  19107
1990-02-01  18750
1990-03-01  18409
1990-04-01  18330
1990-05-01  18997
1990-06-01  18948
1990-07-01  19894
1990-08-01  19451
1990-09-01  18986
1990-10-01  19648
1990-11-01  18669
1990-12-01  18698
1991-01-01  18816
1991-02-01  18920
1991-03-01  18937
1991-04-01  19004
1991-05-01  19019
1991-06-01  19789
1991-07-01  20558
1991-08-01  19883
1991-09-01  19529
1991-10-01  19125
1991-11-01  18953
1991-12-01  18668
1992-01-01  18989
1992-02-01  19205
1992-03-01  19116
1992-04-01  19137
1992-05-01  19594
1992-06-01  20198
1992-07-01  20182
1992-08-01  20048
1992-09-01  19596
1992-10-01  19104
1992-11-01  19158
1992-12-01  18957
1993-01-01  18985
1993-02-01  19054
1993-03-01  18853
1993-04-01  19198
1993-05-01  19408
1993-06-01  19606
1993-07-01  20137
1993-08-01  20013
1993-09-01  19385
1993-10-01  19276
1993-11-01  19200
1993-12-01  19402
1994-01-01  19312
1994-02-01  19078
1994-03-01  19181
1994-04-01  19485
1994-05-01  19831
1994-06-01  19928
1994-07-01  20650
1994-08-01  20332
1994-09-01  19914
1994-10-01  20103
1994-11-01  20011
1994-12-01  20063
1995-01-01  19944
1995-02-01  20024
1995-03-01  20144
1995-04-01  20071
1995-05-01  20495
1995-06-01  20986
1995-07-01  22797
1995-08-01  21123
1995-09-01  20619
1995-10-01  20470
1995-11-01  20261
1995-12-01  20129
1996-01-01  20349
1996-02-01  20463
1996-03-01  20706
1996-04-01  20425
1996-05-01  20723
1996-06-01  21114
1996-07-01  21698
1996-08-01  21793
1996-09-01  20791
1996-10-01  20678
1996-11-01  20608
1996-12-01  20499
1997-01-01  20540
1997-02-01  20492
1997-03-01  20703
1997-04-01  20550
1997-05-01  20846
1997-06-01  21268
1997-07-01  21855
1997-08-01  21318
1997-09-01  20963
1997-10-01  20750
1997-11-01  20810
1997-12-01  20887
1998-01-01  20676
1998-02-01  20641
1998-03-01  20886
1998-04-01  20726
1998-05-01  20861
1998-06-01  21041
1998-07-01  21599
1998-08-01  21132
1998-09-01  21014
1998-10-01  20812
1998-11-01  20737
1998-12-01  20817
1999-01-01  20785
1999-02-01  20813
1999-03-01  20662
1999-04-01  20434
1999-05-01  20687
1999-06-01  20785
1999-07-01  21629
1999-08-01  21136
1999-09-01  20429
1999-10-01  20622
1999-11-01  20436
1999-12-01  20288
2000-01-01  21237
2000-02-01  21347
2000-03-01  21728
