Title:               Civilian Labor Force in Mecklenburg County, NC
Series ID:           NCMECK9LFN
Source:              U.S. Bureau of Labor Statistics
Release:             Unemployment in States and Local Areas (all other areas) (Not a Press Release)
Seasonal Adjustment: Not Seasonally Adjusted
Frequency:           Monthly
Units:               Persons
Date Range:          1990-01-01 to 2018-11-01
Last Updated:        2019-01-03 10:14 AM CST
Notes:               

DATE         VALUE
1990-01-01  290550
1990-02-01  293811
1990-03-01  295038
1990-04-01  294757
1990-05-01  298422
1990-06-01  300982
1990-07-01  304899
1990-08-01  303840
1990-09-01  299904
1990-10-01  298599
1990-11-01  298108
1990-12-01  298437
1991-01-01  295129
1991-02-01  295946
1991-03-01  296264
1991-04-01  297612
1991-05-01  299870
1991-06-01  304188
1991-07-01  308296
1991-08-01  307604
1991-09-01  305944
1991-10-01  305973
1991-11-01  303368
1991-12-01  301778
1992-01-01  298406
1992-02-01  299449
1992-03-01  301818
1992-04-01  301185
1992-05-01  304722
1992-06-01  309764
1992-07-01  313857
1992-08-01  314600
1992-09-01  309627
1992-10-01  310605
1992-11-01  311405
1992-12-01  310787
1993-01-01  308249
1993-02-01  310376
1993-03-01  310904
1993-04-01  310809
1993-05-01  315656
1993-06-01  319524
1993-07-01  322917
1993-08-01  319828
1993-09-01  315069
1993-10-01  319306
1993-11-01  319197
1993-12-01  319531
1994-01-01  316119
1994-02-01  318700
1994-03-01  318390
1994-04-01  319988
1994-05-01  322867
1994-06-01  326390
1994-07-01  332528
1994-08-01  330119
1994-09-01  329561
1994-10-01  331752
1994-11-01  331884
1994-12-01  331508
1995-01-01  328955
1995-02-01  331913
1995-03-01  332267
1995-04-01  333612
1995-05-01  333492
1995-06-01  335737
1995-07-01  339390
1995-08-01  337873
1995-09-01  336822
1995-10-01  338982
1995-11-01  338132
1995-12-01  338661
1996-01-01  337229
1996-02-01  342949
1996-03-01  345887
1996-04-01  346265
1996-05-01  351173
1996-06-01  353992
1996-07-01  357036
1996-08-01  354171
1996-09-01  353730
1996-10-01  356486
1996-11-01  356916
1996-12-01  357818
1997-01-01  356313
1997-02-01  358611
1997-03-01  363522
1997-04-01  362311
1997-05-01  365836
1997-06-01  366410
1997-07-01  366803
1997-08-01  365467
1997-09-01  362418
1997-10-01  359896
1997-11-01  361444
1997-12-01  361613
1998-01-01  358119
1998-02-01  361201
1998-03-01  362810
1998-04-01  360927
1998-05-01  365571
1998-06-01  366609
1998-07-01  371591
1998-08-01  368892
1998-09-01  367054
1998-10-01  367085
1998-11-01  367867
1998-12-01  368461
1999-01-01  371547
1999-02-01  374863
1999-03-01  374665
1999-04-01  372342
1999-05-01  376395
1999-06-01  377732
1999-07-01  384450
1999-08-01  382236
1999-09-01  379815
1999-10-01  382418
1999-11-01  384573
1999-12-01  386729
2000-01-01  389862
2000-02-01  392571
2000-03-01  393522
2000-04-01  396151
2000-05-01  396529
2000-06-01  399667
2000-07-01  401651
2000-08-01  397510
2000-09-01  395134
2000-10-01  400262
2000-11-01  400591
2000-12-01  400898
2001-01-01  404993
2001-02-01  407323
2001-03-01  408872
2001-04-01  408981
2001-05-01  409002
2001-06-01  411231
2001-07-01  412609
2001-08-01  407364
2001-09-01  407880
2001-10-01  411585
2001-11-01  410536
2001-12-01  409547
2002-01-01  406119
2002-02-01  412105
2002-03-01  412684
2002-04-01  411099
2002-05-01  411265
2002-06-01  413754
2002-07-01  414024
2002-08-01  413052
2002-09-01  411868
2002-10-01  412836
2002-11-01  410591
2002-12-01  407971
2003-01-01  412500
2003-02-01  417473
2003-03-01  419179
2003-04-01  420803
2003-05-01  421708
2003-06-01  424681
2003-07-01  415464
2003-08-01  413520
2003-09-01  415289
2003-10-01  418757
2003-11-01  420055
2003-12-01  416862
2004-01-01  414737
2004-02-01  415562
2004-03-01  415932
2004-04-01  412963
2004-05-01  414491
2004-06-01  417775
2004-07-01  417700
2004-08-01  415949
2004-09-01  415519
2004-10-01  420907
2004-11-01  421620
2004-12-01  417842
2005-01-01  416594
2005-02-01  419800
2005-03-01  420393
2005-04-01  422284
2005-05-01  425982
2005-06-01  427024
2005-07-01  428099
2005-08-01  428334
2005-09-01  429590
2005-10-01  436129
2005-11-01  433649
2005-12-01  430470
2006-01-01  431269
2006-02-01  434399
2006-03-01  437017
2006-04-01  439307
2006-05-01  443128
2006-06-01  444225
2006-07-01  448040
2006-08-01  450995
2006-09-01  451611
2006-10-01  455617
2006-11-01  456118
2006-12-01  452540
2007-01-01  449698
2007-02-01  450726
2007-03-01  453708
2007-04-01  453157
2007-05-01  454904
2007-06-01  456120
2007-07-01  458888
2007-08-01  458226
2007-09-01  459603
2007-10-01  462761
2007-11-01  462755
2007-12-01  460280
2008-01-01  460755
2008-02-01  461531
2008-03-01  463915
2008-04-01  464704
2008-05-01  467459
2008-06-01  466807
2008-07-01  467909
2008-08-01  469039
2008-09-01  467244
2008-10-01  470797
2008-11-01  472681
2008-12-01  471054
2009-01-01  466684
2009-02-01  466834
2009-03-01  466662
2009-04-01  465701
2009-05-01  466201
2009-06-01  466191
2009-07-01  468227
2009-08-01  468560
2009-09-01  464102
2009-10-01  465243
2009-11-01  464286
2009-12-01  460614
2010-01-01  493166
2010-02-01  495858
2010-03-01  500767
2010-04-01  506479
2010-05-01  507881
2010-06-01  503182
2010-07-01  503028
2010-08-01  503772
2010-09-01  501893
2010-10-01  503571
2010-11-01  505840
2010-12-01  503702
2011-01-01  506062
2011-02-01  508563
2011-03-01  511995
2011-04-01  512743
2011-05-01  514207
2011-06-01  513339
2011-07-01  513582
2011-08-01  514810
2011-09-01  516795
2011-10-01  518052
2011-11-01  518648
2011-12-01  516381
2012-01-01  519048
2012-02-01  522062
2012-03-01  525953
2012-04-01  522696
2012-05-01  529371
2012-06-01  527284
2012-07-01  529282
2012-08-01  525942
2012-09-01  530690
2012-10-01  536210
2012-11-01  533106
2012-12-01  531812
2013-01-01  535044
2013-02-01  535426
2013-03-01  536913
2013-04-01  535892
2013-05-01  539855
2013-06-01  537852
2013-07-01  539139
2013-08-01  534789
2013-09-01  537567
2013-10-01  537704
2013-11-01  539844
2013-12-01  535689
2014-01-01  539238
2014-02-01  542439
2014-03-01  548630
2014-04-01  544012
2014-05-01  549039
2014-06-01  547100
2014-07-01  551025
2014-08-01  547658
2014-09-01  549509
2014-10-01  555197
2014-11-01  552664
2014-12-01  550518
2015-01-01  553851
2015-02-01  558219
2015-03-01  559032
2015-04-01  561385
2015-05-01  570335
2015-06-01  567976
2015-07-01  569445
2015-08-01  564954
2015-09-01  565197
2015-10-01  570915
2015-11-01  570657
2015-12-01  571483
2016-01-01  572282
2016-02-01  577025
2016-03-01  579990
2016-04-01  578496
