Title:               Real Gross Domestic Product by Industry: Private Industries: Mining for North Carolina
Series ID:           NCMINRQGSP
Source:              U.S. Bureau of Economic Analysis
Release:             Gross Domestic Product (GDP) by State
Seasonal Adjustment: Seasonally Adjusted Annual Rate
Frequency:           Quarterly
Units:               Millions of Chained 2012 Dollars
Date Range:          2005-01-01 to 2018-04-01
Last Updated:        2018-11-19 4:15 PM CST
Notes:               For more information about this release go to
                     http://www.bea.gov/newsreleases/regional/gdp_state/qgsp_newsrelease.htm.

DATE         VALUE
2005-01-01  1551.5
2005-04-01  1559.5
2005-07-01  1465.6
2005-10-01  1548.5
2006-01-01  1610.1
2006-04-01  1332.7
2006-07-01  1302.0
2006-10-01  1515.5
2007-01-01  1971.5
2007-04-01  1774.4
2007-07-01  1473.7
2007-10-01  1234.0
2008-01-01  1139.3
2008-04-01   932.9
2008-07-01   927.8
2008-10-01   980.5
2009-01-01   845.4
2009-04-01   951.4
2009-07-01   828.0
2009-10-01   882.5
2010-01-01   614.7
2010-04-01   764.4
2010-07-01   753.8
2010-10-01   624.5
2011-01-01   530.1
2011-04-01   486.4
2011-07-01   430.9
2011-10-01   409.7
2012-01-01   372.8
2012-04-01   369.4
2012-07-01   351.5
2012-10-01   362.0
2013-01-01   386.5
2013-04-01   391.3
2013-07-01   429.9
2013-10-01   467.9
2014-01-01   454.3
2014-04-01   498.1
2014-07-01   486.0
2014-10-01   489.8
2015-01-01   515.1
2015-04-01   502.3
2015-07-01   534.9
2015-10-01   577.3
2016-01-01   673.1
2016-04-01   607.7
2016-07-01   574.9
2016-10-01   536.4
2017-01-01   580.2
2017-04-01   534.0
2017-07-01   544.3
2017-10-01   533.6
2018-01-01   484.5
2018-04-01   495.5
