Title:               Resident Population in McDowell County, NC
Series ID:           NCMCDO1POP
Source:              U.S. Bureau of the Census
Release:             Annual Estimates of the Population for Counties (Not a Press Release)
Seasonal Adjustment: Not Seasonally Adjusted
Frequency:           Annual
Units:               Thousands of Persons
Date Range:          1970-01-01 to 2017-01-01
Last Updated:        2018-03-27 3:22 PM CDT
Notes:               Data for "Resident Population" are from estimates as of July 1. Data
                     for 1970 and 1980 are annual census.

DATE         VALUE
1970-01-01  30.648
1971-01-01  30.900
1972-01-01  31.500
1973-01-01  32.200
1974-01-01  32.500
1975-01-01  33.200
1976-01-01  33.400
1977-01-01  33.500
1978-01-01  33.900
1979-01-01  34.200
1980-01-01  35.135
1981-01-01  35.675
1982-01-01  35.838
1983-01-01  35.745
1984-01-01  35.899
1985-01-01  35.824
1986-01-01  35.612
1987-01-01  35.618
1988-01-01  35.553
1989-01-01  35.661
1990-01-01  35.770
1991-01-01  36.188
1992-01-01  36.473
1993-01-01  36.982
1994-01-01  37.620
1995-01-01  38.171
1996-01-01  39.384
1997-01-01  40.480
1998-01-01  41.229
1999-01-01  41.874
2000-01-01  42.251
2001-01-01  42.688
2002-01-01  42.712
2003-01-01  42.909
2004-01-01  42.972
2005-01-01  43.136
2006-01-01  43.372
2007-01-01  43.656
2008-01-01  44.032
2009-01-01  44.037
2010-01-01  45.098
2011-01-01  45.059
2012-01-01  45.019
2013-01-01  45.069
2014-01-01  45.080
2015-01-01  45.049
2016-01-01  44.989
2017-01-01  45.159
