Title:               Gross Domestic Product by Industry: Private Industries: Manufacturing for North Carolina
Series ID:           NCMANNQGSP
Source:              U.S. Bureau of Economic Analysis
Release:             Gross Domestic Product (GDP) by State
Seasonal Adjustment: Seasonally Adjusted Annual Rate
Frequency:           Quarterly
Units:               Millions of Dollars
Date Range:          2005-01-01 to 2018-04-01
Last Updated:        2018-11-19 4:15 PM CST
Notes:               For more information about this release go to
                     http://www.bea.gov/newsreleases/regional/gdp_state/qgsp_newsrelease.htm.

DATE           VALUE
2005-01-01   69307.5
2005-04-01   69506.8
2005-07-01   73296.8
2005-10-01   76558.0
2006-01-01   81066.1
2006-04-01   85717.5
2006-07-01   86525.8
2006-10-01   87470.4
2007-01-01   86032.7
2007-04-01   86736.4
2007-07-01   85894.5
2007-10-01   86309.3
2008-01-01   82437.1
2008-04-01   83721.7
2008-07-01   85191.7
2008-10-01   82851.9
2009-01-01   84574.0
2009-04-01   86267.0
2009-07-01   88518.0
2009-10-01   89889.0
2010-01-01   87761.3
2010-04-01   85150.1
2010-07-01   84820.1
2010-10-01   86760.7
2011-01-01   85798.9
2011-04-01   89481.7
2011-07-01   87310.8
2011-10-01   86024.1
2012-01-01   84309.3
2012-04-01   82987.6
2012-07-01   84248.5
2012-10-01   84160.9
2013-01-01   90358.7
2013-04-01   90643.0
2013-07-01   92246.4
2013-10-01   93184.2
2014-01-01   89390.8
2014-04-01   90181.5
2014-07-01   91799.4
2014-10-01   92424.3
2015-01-01   95530.2
2015-04-01   97961.2
2015-07-01   98689.3
2015-10-01   95659.3
2016-01-01   96567.1
2016-04-01   95536.5
2016-07-01   94829.9
2016-10-01   95304.2
2017-01-01   97322.5
2017-04-01   99235.0
2017-07-01  100735.8
2017-10-01  103494.6
2018-01-01  102916.2
2018-04-01  105500.6
