Title:               Civilian Labor Force in Macon County, NC
Series ID:           NCMACO3LFN
Source:              U.S. Bureau of Labor Statistics
Release:             Unemployment in States and Local Areas (all other areas) (Not a Press Release)
Seasonal Adjustment: Not Seasonally Adjusted
Frequency:           Monthly
Units:               Persons
Date Range:          1990-01-01 to 2018-11-01
Last Updated:        2019-01-03 10:14 AM CST
Notes:               

DATE        VALUE
1990-01-01  10394
1990-02-01  10303
1990-03-01  10516
1990-04-01  10703
1990-05-01  11255
1990-06-01  11647
1990-07-01  11786
1990-08-01  11672
1990-09-01  11542
1990-10-01  11399
1990-11-01  11144
1990-12-01  11058
1991-01-01  10923
1991-02-01  11017
1991-03-01  10803
1991-04-01  11214
1991-05-01  11619
1991-06-01  12061
1991-07-01  12353
1991-08-01  12164
1991-09-01  12046
1991-10-01  11975
1991-11-01  11581
1991-12-01  11401
1992-01-01  11335
1992-02-01  11213
1992-03-01  11303
1992-04-01  11632
1992-05-01  12054
1992-06-01  12547
1992-07-01  12426
1992-08-01  12431
1992-09-01  12298
1992-10-01  12340
1992-11-01  11917
1992-12-01  11536
1993-01-01  11604
1993-02-01  11828
1993-03-01  11737
1993-04-01  11796
1993-05-01  12351
1993-06-01  12792
1993-07-01  12719
1993-08-01  12649
1993-09-01  12359
1993-10-01  12287
1993-11-01  12032
1993-12-01  11849
1994-01-01  11673
1994-02-01  11689
1994-03-01  11598
1994-04-01  11788
1994-05-01  12242
1994-06-01  12623
1994-07-01  12887
1994-08-01  12754
1994-09-01  12683
1994-10-01  12667
1994-11-01  12339
1994-12-01  12150
1995-01-01  12062
1995-02-01  12227
1995-03-01  12172
1995-04-01  12404
1995-05-01  12614
1995-06-01  13017
1995-07-01  13190
1995-08-01  12967
1995-09-01  13074
1995-10-01  13006
1995-11-01  12824
1995-12-01  12640
1996-01-01  12588
1996-02-01  12614
1996-03-01  12777
1996-04-01  13096
1996-05-01  13560
1996-06-01  13946
1996-07-01  14025
1996-08-01  13690
1996-09-01  13674
1996-10-01  13607
1996-11-01  13420
1996-12-01  13341
1997-01-01  13491
1997-02-01  13554
1997-03-01  13750
1997-04-01  13790
1997-05-01  14034
1997-06-01  14558
1997-07-01  15002
1997-08-01  14672
1997-09-01  14177
1997-10-01  14288
1997-11-01  14131
1997-12-01  13829
1998-01-01  13803
1998-02-01  13679
1998-03-01  13745
1998-04-01  13820
1998-05-01  14410
1998-06-01  14747
1998-07-01  14624
1998-08-01  14197
1998-09-01  14246
1998-10-01  14425
1998-11-01  14098
1998-12-01  13861
1999-01-01  13814
1999-02-01  13726
1999-03-01  13677
1999-04-01  14048
1999-05-01  14290
1999-06-01  14777
1999-07-01  14751
1999-08-01  14483
1999-09-01  14649
1999-10-01  14544
1999-11-01  14398
1999-12-01  14497
2000-01-01  13619
2000-02-01  13660
2000-03-01  13843
2000-04-01  14129
2000-05-01  14388
2000-06-01  14648
2000-07-01  14485
2000-08-01  14436
2000-09-01  14477
2000-10-01  14224
2000-11-01  14092
2000-12-01  13946
2001-01-01  13939
2001-02-01  13964
2001-03-01  14176
2001-04-01  14312
2001-05-01  14462
2001-06-01  14712
2001-07-01  15054
2001-08-01  14869
2001-09-01  14887
2001-10-01  14836
2001-11-01  14672
2001-12-01  14488
2002-01-01  14383
2002-02-01  14515
2002-03-01  14485
2002-04-01  14912
2002-05-01  15243
2002-06-01  15344
2002-07-01  15487
2002-08-01  15337
2002-09-01  15236
2002-10-01  15219
2002-11-01  15046
2002-12-01  14727
2003-01-01  14676
2003-02-01  14793
2003-03-01  14867
2003-04-01  15353
2003-05-01  15624
2003-06-01  15823
2003-07-01  15943
2003-08-01  15851
2003-09-01  15776
2003-10-01  15691
2003-11-01  15371
2003-12-01  15095
2004-01-01  14805
2004-02-01  14805
2004-03-01  14940
2004-04-01  15280
2004-05-01  15596
2004-06-01  15866
2004-07-01  15981
2004-08-01  15712
2004-09-01  15376
2004-10-01  15615
2004-11-01  15540
2004-12-01  15201
2005-01-01  15027
2005-02-01  15046
2005-03-01  15046
2005-04-01  15393
2005-05-01  15707
2005-06-01  15926
2005-07-01  16271
2005-08-01  15999
2005-09-01  15969
2005-10-01  15924
